#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1129192,24723248,BCP8-2_002,BCP8-2_002,-,-,-,-,putative minor structural protein II,protein-coding,-,-,-,putative minor structural protein II,20200909,-
1129192,24723249,BCP8-2_003,BCP8-2_003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723250,BCP8-2_004,BCP8-2_004,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20200909,-
1129192,24723251,BCP8-2_005,BCP8-2_005,-,-,-,-,putative tail lysin I,protein-coding,-,-,-,putative tail lysin I,20200909,-
1129192,24723252,BCP8-2_006,BCP8-2_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723253,BCP8-2_007,BCP8-2_007,-,-,-,-,putative tail lysin II,protein-coding,-,-,-,putative tail lysin II,20200909,-
1129192,24723254,BCP8-2_008,BCP8-2_008,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20200909,-
1129192,24723255,BCP8-2_009,BCP8-2_009,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200909,-
1129192,24723256,BCP8-2_010,BCP8-2_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723257,BCP8-2_011,BCP8-2_011,-,-,-,-,putative L-alanoyl-D-glutamate peptidase,protein-coding,-,-,-,putative L-alanoyl-D-glutamate peptidase,20200909,-
1129192,24723258,BCP8-2_012,BCP8-2_012,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200909,-
1129192,24723259,BCP8-2_013,BCP8-2_013,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200909,-
1129192,24723260,BCP8-2_014,BCP8-2_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723261,BCP8-2_015,BCP8-2_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723262,BCP8-2_016,BCP8-2_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723263,BCP8-2_017,BCP8-2_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723264,BCP8-2_018,BCP8-2_018,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200909,-
1129192,24723265,BCP8-2_019,BCP8-2_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723266,BCP8-2_020,BCP8-2_020,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200909,-
1129192,24723267,BCP8-2_021,BCP8-2_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723268,BCP8-2_022,BCP8-2_022,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200909,-
1129192,24723269,BCP8-2_023,BCP8-2_023,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200909,-
1129192,24723270,BCP8-2_024,BCP8-2_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723271,BCP8-2_025,BCP8-2_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723272,BCP8-2_026,BCP8-2_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723273,BCP8-2_t001,BCP8-2_t001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723274,BCP8-2_t002,BCP8-2_t002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723275,BCP8-2_t003,BCP8-2_t003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723276,BCP8-2_t004,BCP8-2_t004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723277,BCP8-2_t005,BCP8-2_t005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723278,BCP8-2_t006,BCP8-2_t006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723279,BCP8-2_t007,BCP8-2_t007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
