#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1566990,24725330,ACQ35_gp02,ACQ35_gp02,SpSL1_31,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1566990,24725331,ACQ35_gp03,ACQ35_gp03,SpSL1_32,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1566990,24725332,ACQ35_gp04,ACQ35_gp04,SpSL1_33,-,-,-,HK97 familygprohead protease,protein-coding,-,-,-,HK97 familygprohead protease,20201221,-
1566990,24725333,ACQ35_gp05,ACQ35_gp05,SpSL1_34,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
1566990,24725334,ACQ35_gp06,ACQ35_gp06,SpSL1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725335,ACQ35_gp07,ACQ35_gp07,SpSL1_36,-,-,-,head-tail adapter protein,protein-coding,-,-,-,head-tail adapter protein,20200629,-
1566990,24725336,ACQ35_gp08,ACQ35_gp08,SpSL1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725337,ACQ35_gp09,ACQ35_gp09,SpSL1_38,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201221,-
1566990,24725338,ACQ35_gp10,ACQ35_gp10,SpSL1_39,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1566990,24725339,ACQ35_gp11,ACQ35_gp11,SpSL1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725340,ACQ35_gp12,ACQ35_gp12,SpSL1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725341,ACQ35_gp13,ACQ35_gp13,SpSL1_42,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200629,-
1566990,24725342,ACQ35_gp14,ACQ35_gp14,SpSL1_43,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1566990,24725343,ACQ35_gp16,ACQ35_gp16,SpSL1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725344,ACQ35_gp17,ACQ35_gp17,SpSL1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725345,ACQ35_gp18,ACQ35_gp18,SpSL1_47,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1566990,24725346,hol1,ACQ35_gp19,SpSL1_48,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1566990,24725347,ACQ35_gp20,ACQ35_gp20,SpSL1_49,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200629,-
1566990,24725348,ACQ35_gp21,ACQ35_gp21,SpSL1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725349,int,ACQ35_gp22,SpSL1_01,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1566990,24725350,ACQ35_gp23,ACQ35_gp23,SpSL1_02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725351,ACQ35_gp24,ACQ35_gp24,SpSL1_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725352,ACQ35_gp25,ACQ35_gp25,SpSL1_04,-,-,-,CI repressor,protein-coding,-,-,-,CI repressor,20200629,-
1566990,24725353,ACQ35_gp26,ACQ35_gp26,SpSL1_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725354,ACQ35_gp27,ACQ35_gp27,SpSL1_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725355,ACQ35_gp28,ACQ35_gp28,SpSL1_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725356,ACQ35_gp29,ACQ35_gp29,SpSL1_08,-,-,-,prophage antirepressor protein,protein-coding,-,-,-,prophage antirepressor protein,20200629,-
1566990,24725357,ACQ35_gp30,ACQ35_gp30,SpSL1_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725358,ACQ35_gp31,ACQ35_gp31,SpSL1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725359,dnaD,ACQ35_gp32,SpSL1_11,-,-,-,DnaD,protein-coding,-,-,-,DnaD,20200629,-
1566990,24725360,ACQ35_gp33,ACQ35_gp33,SpSL1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
