#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591204,55618348,2,HWC36_gp02,SEA_STAB_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
2591204,55618349,3,HWC36_gp03,SEA_STAB_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2591204,55618350,4,HWC36_gp04,SEA_STAB_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2591204,55618351,5,HWC36_gp05,SEA_STAB_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618352,6,HWC36_gp06,SEA_STAB_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2591204,55618353,7,HWC36_gp07,SEA_STAB_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618354,8,HWC36_gp08,SEA_STAB_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200912,-
2591204,55618355,9,HWC36_gp09,SEA_STAB_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
2591204,55618356,10,HWC36_gp10,SEA_STAB_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618357,11,HWC36_gp11,SEA_STAB_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618358,12,HWC36_gp12,SEA_STAB_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2591204,55618359,14,HWC36_gp13,SEA_STAB_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2591204,55618360,15,HWC36_gp15,SEA_STAB_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201118,-
