#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1244856,13997402,D877_gp02,D877_gp02,-,-,-,-,"putative terminase, large subunit",protein-coding,-,-,-,"putative terminase, large subunit",20201221,-
1244856,13997403,D877_gp03,D877_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997404,D877_gp04,D877_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997405,D877_gp05,D877_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997406,D877_gp06,D877_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997407,D877_gp07,D877_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997408,D877_gp08,D877_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997409,D877_gp09,D877_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997410,D877_gp10,D877_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997411,D877_gp11,D877_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997412,D877_gp12,D877_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997413,D877_gp13,D877_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997414,D877_gp14,D877_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997415,D877_gp15,D877_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997416,D877_gp16,D877_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997417,D877_gp17,D877_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997418,D877_gp18,D877_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997419,D877_gp19,D877_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997420,D877_gp20,D877_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1244856,13997421,D877_gp21,D877_gp21,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210212,-
1244856,13997422,D877_gp22,D877_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1244856,13997423,D877_gp23,D877_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997424,D877_gp24,D877_gp24,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1244856,13997425,D877_gp25,D877_gp25,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210212,-
1244856,13997426,D877_gp26,D877_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997427,D877_gp27,D877_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1244856,13997428,D877_gp28,D877_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997429,D877_gp29,D877_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997430,D877_gp30,D877_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1244856,13997431,D877_gp31,D877_gp31,-,-,-,-,putative DNA ligase-product DNA complex-adenylate,protein-coding,-,-,-,putative DNA ligase-product DNA complex-adenylate,20210212,-
1244856,13997432,D877_gp32,D877_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1244856,13997433,D877_gp33,D877_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997434,D877_gp34,D877_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997435,D877_gp35,D877_gp35,-,-,-,-,putative tailspike protein,protein-coding,-,-,-,putative tailspike protein,20201221,-
1244856,13997436,D877_gp36,D877_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997437,D877_gp37,D877_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1244856,13997438,D877_gp38,D877_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997439,D877_gp39,D877_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997440,D877_gp40,D877_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997441,D877_gp41,D877_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997442,D877_gp42,D877_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997443,D877_gp43,D877_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997444,D877_gp44,D877_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997445,D877_gp45,D877_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997446,D877_gp46,D877_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997447,D877_gp47,D877_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997448,D877_gp48,D877_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1244856,13997449,D877_gp01,D877_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1244856,14007764,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Edwardsiella tarda phage KF-1).,other,-,-,-,-,20200513,-
