#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2725606,55630598,2,HWD33_gp02,SEA_PHEDRO_2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210306,-
2725606,55630599,3,HWD33_gp03,SEA_PHEDRO_3,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210327,-
2725606,55630600,4,HWD33_gp04,SEA_PHEDRO_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630601,5,HWD33_gp05,SEA_PHEDRO_5,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210327,-
2725606,55630602,6,HWD33_gp06,SEA_PHEDRO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630603,7,HWD33_gp07,SEA_PHEDRO_7,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210327,-
2725606,55630604,8,HWD33_gp08,SEA_PHEDRO_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630605,9,HWD33_gp09,SEA_PHEDRO_9,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210327,-
2725606,55630606,10,HWD33_gp10,SEA_PHEDRO_10,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210327,-
2725606,55630607,11,HWD33_gp11,SEA_PHEDRO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630608,12,HWD33_gp12,SEA_PHEDRO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630609,13,HWD33_gp13,SEA_PHEDRO_13,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210327,-
2725606,55630610,14,HWD33_gp14,SEA_PHEDRO_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630611,15,HWD33_gp15,SEA_PHEDRO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630612,16,HWD33_gp16,SEA_PHEDRO_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630613,17,HWD33_gp17,SEA_PHEDRO_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630614,18,HWD33_gp18,SEA_PHEDRO_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2725606,55630615,19,HWD33_gp19,SEA_PHEDRO_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630616,20,HWD33_gp20,SEA_PHEDRO_20,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2725606,55630617,21,HWD33_gp21,SEA_PHEDRO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630618,22,HWD33_gp22,SEA_PHEDRO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630619,23,HWD33_gp23,SEA_PHEDRO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630620,24,HWD33_gp24,SEA_PHEDRO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630621,25,HWD33_gp25,SEA_PHEDRO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630622,26,HWD33_gp26,SEA_PHEDRO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630623,27,HWD33_gp27,SEA_PHEDRO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630624,28,HWD33_gp28,SEA_PHEDRO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630625,29,HWD33_gp29,SEA_PHEDRO_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2725606,55630626,30,HWD33_gp30,SEA_PHEDRO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630627,31,HWD33_gp31,SEA_PHEDRO_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630628,32,HWD33_gp32,SEA_PHEDRO_32,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2725606,55630629,33,HWD33_gp33,SEA_PHEDRO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630630,34,HWD33_gp34,SEA_PHEDRO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630631,35,HWD33_gp35,SEA_PHEDRO_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2725606,55630632,36,HWD33_gp36,SEA_PHEDRO_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210306,-
2725606,55630633,37,HWD33_gp37,SEA_PHEDRO_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2725606,55630634,38,HWD33_gp38,SEA_PHEDRO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630635,39,HWD33_gp39,SEA_PHEDRO_39,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210327,-
2725606,55630636,40,HWD33_gp40,SEA_PHEDRO_40,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2725606,55630637,41,HWD33_gp41,SEA_PHEDRO_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2725606,55630638,42,HWD33_gp42,SEA_PHEDRO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630639,43,HWD33_gp43,SEA_PHEDRO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630640,44,HWD33_gp44,SEA_PHEDRO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630641,45,HWD33_gp45,SEA_PHEDRO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630642,46,HWD33_gp46,SEA_PHEDRO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630643,47,HWD33_gp47,SEA_PHEDRO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630644,48,HWD33_gp48,SEA_PHEDRO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630645,49,HWD33_gp49,SEA_PHEDRO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630646,50,HWD33_gp50,SEA_PHEDRO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630647,51,HWD33_gp51,SEA_PHEDRO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2725606,55630648,52,HWD33_gp52,SEA_PHEDRO_52,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2725606,55630649,53,HWD33_gp53,SEA_PHEDRO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630650,54,HWD33_gp54,SEA_PHEDRO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630651,55,HWD33_gp55,SEA_PHEDRO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55630652,1,HWD33_gp01,SEA_PHEDRO_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2725606,55636177,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
