#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182347,65113031,2,KNT89_gp02,PBI_PETRA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2182347,65113032,3,KNT89_gp03,PBI_PETRA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2182347,65113033,4,KNT89_gp04,PBI_PETRA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210607,-
2182347,65113034,5,KNT89_gp05,PBI_PETRA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210607,-
2182347,65113035,6,KNT89_gp06,PBI_PETRA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2182347,65113036,7,KNT89_gp07,PBI_PETRA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113037,8,KNT89_gp08,PBI_PETRA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113038,9,KNT89_gp09,PBI_PETRA_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210607,-
2182347,65113039,10,KNT89_gp10,PBI_PETRA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113040,11,KNT89_gp11,PBI_PETRA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113041,12,KNT89_gp12,PBI_PETRA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113042,13,KNT89_gp13,PBI_PETRA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113043,14,KNT89_gp14,PBI_PETRA_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113044,15,KNT89_gp15,PBI_PETRA_15,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210607,-
2182347,65113045,16,KNT89_gp16,PBI_PETRA_16,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2182347,65113046,18,KNT89_gp17,PBI_PETRA_18,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2182347,65113047,19,KNT89_gp19,PBI_PETRA_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2182347,65113048,17,KNT89_gp18,PBI_PETRA_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2182347,65113049,20,KNT89_gp20,PBI_PETRA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2182347,65113050,21,KNT89_gp21,PBI_PETRA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2182347,65113051,22,KNT89_gp22,PBI_PETRA_22,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2182347,65113052,23,KNT89_gp23,PBI_PETRA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113053,24,KNT89_gp24,PBI_PETRA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113054,25,KNT89_gp25,PBI_PETRA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113055,26,KNT89_gp26,PBI_PETRA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113056,27,KNT89_gp27,PBI_PETRA_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2182347,65113057,28,KNT89_gp28,PBI_PETRA_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2182347,65113058,29,KNT89_gp29,PBI_PETRA_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2182347,65113059,30,KNT89_gp30,PBI_PETRA_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2182347,65113060,31,KNT89_gp31,PBI_PETRA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113061,32,KNT89_gp32,PBI_PETRA_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2182347,65113062,33,KNT89_gp33,PBI_PETRA_33,-,-,-,acetyltransferase,protein-coding,-,-,-,acetyltransferase,20210607,-
2182347,65113063,34,KNT89_gp34,PBI_PETRA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113064,35,KNT89_gp35,PBI_PETRA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113065,36,KNT89_gp36,PBI_PETRA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113066,37,KNT89_gp37,PBI_PETRA_37,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210607,-
2182347,65113067,38,KNT89_gp38,PBI_PETRA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113068,39,KNT89_gp39,PBI_PETRA_39,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210607,-
2182347,65113069,40,KNT89_gp40,PBI_PETRA_40,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2182347,65113070,41,KNT89_gp41,PBI_PETRA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113071,42,KNT89_gp42,PBI_PETRA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113072,43,KNT89_gp43,PBI_PETRA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
