#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1690425,26633591,AVT22_gp02,AVT22_gp02,SEA_CALIBURN_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1690425,26633592,AVT22_gp03,AVT22_gp03,SEA_CALIBURN_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633593,AVT22_gp04,AVT22_gp04,SEA_CALIBURN_4,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20201221,-
1690425,26633594,AVT22_gp05,AVT22_gp05,SEA_CALIBURN_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633595,AVT22_gp06,AVT22_gp06,SEA_CALIBURN_6,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1690425,26633596,AVT22_gp07,AVT22_gp07,SEA_CALIBURN_7,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1690425,26633597,AVT22_gp08,AVT22_gp08,SEA_CALIBURN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633598,AVT22_gp09,AVT22_gp09,SEA_CALIBURN_9,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1690425,26633599,AVT22_gp10,AVT22_gp10,SEA_CALIBURN_10,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1690425,26633600,AVT22_gp11,AVT22_gp11,SEA_CALIBURN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633601,AVT22_gp12,AVT22_gp12,SEA_CALIBURN_12,-,-,-,head-tail adaptor,protein-coding,-,-,-,head-tail adaptor,20201221,-
1690425,26633602,AVT22_gp13,AVT22_gp13,SEA_CALIBURN_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633603,AVT22_gp14,AVT22_gp14,SEA_CALIBURN_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633604,AVT22_gp15,AVT22_gp15,SEA_CALIBURN_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633605,AVT22_gp16,AVT22_gp16,SEA_CALIBURN_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1690425,26633606,AVT22_gp18,AVT22_gp18,SEA_CALIBURN_18,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1690425,26633607,AVT22_gp17,AVT22_gp17,SEA_CALIBURN_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1690425,26633608,AVT22_gp19,AVT22_gp19,SEA_CALIBURN_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633609,AVT22_gp20,AVT22_gp20,SEA_CALIBURN_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633610,AVT22_gp21,AVT22_gp21,SEA_CALIBURN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633611,AVT22_gp22,AVT22_gp22,SEA_CALIBURN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633612,AVT22_gp23,AVT22_gp23,SEA_CALIBURN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633613,AVT22_gp24,AVT22_gp24,SEA_CALIBURN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633614,AVT22_gp25,AVT22_gp25,SEA_CALIBURN_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633615,AVT22_gp26,AVT22_gp26,SEA_CALIBURN_26,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1690425,26633616,AVT22_gp27,AVT22_gp27,SEA_CALIBURN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633617,AVT22_gp28,AVT22_gp28,SEA_CALIBURN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633618,AVT22_gp29,AVT22_gp29,SEA_CALIBURN_29,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1690425,26633619,AVT22_gp30,AVT22_gp30,SEA_CALIBURN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633620,AVT22_gp31,AVT22_gp31,SEA_CALIBURN_31,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1690425,26633621,AVT22_gp32,AVT22_gp32,SEA_CALIBURN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633622,AVT22_gp33,AVT22_gp33,SEA_CALIBURN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633623,AVT22_gp34,AVT22_gp34,SEA_CALIBURN_34,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
1690425,26633624,AVT22_gp35,AVT22_gp35,SEA_CALIBURN_35,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201221,-
1690425,26633625,AVT22_gp36,AVT22_gp36,SEA_CALIBURN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633626,AVT22_gp37,AVT22_gp37,SEA_CALIBURN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633627,AVT22_gp38,AVT22_gp38,SEA_CALIBURN_38,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1690425,26633628,AVT22_gp39,AVT22_gp39,SEA_CALIBURN_39,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1690425,26633629,AVT22_gp40,AVT22_gp40,SEA_CALIBURN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633630,AVT22_gp41,AVT22_gp41,SEA_CALIBURN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633631,AVT22_gp42,AVT22_gp42,SEA_CALIBURN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633632,AVT22_gp43,AVT22_gp43,SEA_CALIBURN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633633,AVT22_gp44,AVT22_gp44,SEA_CALIBURN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633634,AVT22_gp45,AVT22_gp45,SEA_CALIBURN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633635,AVT22_gp46,AVT22_gp46,SEA_CALIBURN_46,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201221,-
1690425,26633636,AVT22_gp47,AVT22_gp47,SEA_CALIBURN_47,-,-,-,Lsr2,protein-coding,-,-,-,Lsr2,20201221,-
1690425,26633637,AVT22_gp48,AVT22_gp48,SEA_CALIBURN_48,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20201221,-
1690425,26633638,AVT22_gp49,AVT22_gp49,SEA_CALIBURN_49,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20201221,-
1690425,26633639,AVT22_gp50,AVT22_gp50,SEA_CALIBURN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633640,AVT22_gp51,AVT22_gp51,SEA_CALIBURN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633641,AVT22_gp52,AVT22_gp52,SEA_CALIBURN_52,-,-,-,DNA polymerase III subunit alpha,protein-coding,-,-,-,DNA polymerase III subunit alpha,20201221,-
1690425,26633642,AVT22_gp53,AVT22_gp53,SEA_CALIBURN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633643,AVT22_gp54,AVT22_gp54,SEA_CALIBURN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633644,AVT22_gp55,AVT22_gp55,SEA_CALIBURN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633645,AVT22_gp56,AVT22_gp56,SEA_CALIBURN_56,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20201221,-
1690425,26633646,AVT22_gp57,AVT22_gp57,SEA_CALIBURN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633647,AVT22_gp58,AVT22_gp58,SEA_CALIBURN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633648,AVT22_gp59,AVT22_gp59,SEA_CALIBURN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633649,AVT22_gp60,AVT22_gp60,SEA_CALIBURN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633650,AVT22_gp61,AVT22_gp61,SEA_CALIBURN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633651,AVT22_gp62,AVT22_gp62,SEA_CALIBURN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633652,AVT22_gp63,AVT22_gp63,SEA_CALIBURN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633653,AVT22_gp64,AVT22_gp64,SEA_CALIBURN_64,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20201221,-
1690425,26633654,AVT22_gp65,AVT22_gp65,SEA_CALIBURN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633655,AVT22_gp66,AVT22_gp66,SEA_CALIBURN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633656,AVT22_gp67,AVT22_gp67,SEA_CALIBURN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633657,AVT22_gp68,AVT22_gp68,SEA_CALIBURN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633658,AVT22_gp69,AVT22_gp69,SEA_CALIBURN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633659,AVT22_gp70,AVT22_gp70,SEA_CALIBURN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633660,AVT22_gp71,AVT22_gp71,SEA_CALIBURN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633661,AVT22_gp72,AVT22_gp72,SEA_CALIBURN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26633662,AVT22_gp01,AVT22_gp01,SEA_CALIBURN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690425,26680897,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
