#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2776873,60333812,2,I5H88_gp002,SEA_SEABASTIAN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210529,-
2776873,60333813,3,I5H88_gp003,SEA_SEABASTIAN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2776873,60333814,4,I5H88_gp004,SEA_SEABASTIAN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2776873,60333815,5,I5H88_gp005,SEA_SEABASTIAN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2776873,60333816,6,I5H88_gp006,SEA_SEABASTIAN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201129,-
2776873,60333817,7,I5H88_gp007,SEA_SEABASTIAN_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2776873,60333818,8,I5H88_gp008,SEA_SEABASTIAN_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2776873,60333819,9,I5H88_gp009,SEA_SEABASTIAN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2776873,60333820,10,I5H88_gp010,SEA_SEABASTIAN_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2776873,60333821,11,I5H88_gp011,SEA_SEABASTIAN_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2776873,60333822,13,I5H88_gp012,SEA_SEABASTIAN_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2776873,60333823,14,I5H88_gp014,SEA_SEABASTIAN_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2776873,60333824,12,I5H88_gp013,SEA_SEABASTIAN_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2776873,60333825,15,I5H88_gp015,SEA_SEABASTIAN_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776873,60333826,16,I5H88_gp016,SEA_SEABASTIAN_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776873,60333827,17,I5H88_gp017,SEA_SEABASTIAN_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776873,60333828,18,I5H88_gp018,SEA_SEABASTIAN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776873,60333829,19,I5H88_gp019,SEA_SEABASTIAN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2776873,60333830,20,I5H88_gp020,SEA_SEABASTIAN_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2776873,60333831,21,I5H88_gp021,SEA_SEABASTIAN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776873,60333832,22,I5H88_gp022,SEA_SEABASTIAN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776873,60333833,23,I5H88_gp023,SEA_SEABASTIAN_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776873,60333834,24,I5H88_gp024,SEA_SEABASTIAN_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776873,60333835,25,I5H88_gp025,SEA_SEABASTIAN_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2776873,60333836,26,I5H88_gp026,SEA_SEABASTIAN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776873,60333837,27,I5H88_gp027,SEA_SEABASTIAN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776873,60333838,28,I5H88_gp028,SEA_SEABASTIAN_28,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2776873,60333839,29,I5H88_gp029,SEA_SEABASTIAN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
