#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099640,60332133,2,I5H72_gp002,SEA_OGOPOGO_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2099640,60332134,3,I5H72_gp003,SEA_OGOPOGO_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332135,4,I5H72_gp004,SEA_OGOPOGO_4,-,-,-,terminase,protein-coding,-,-,-,terminase,20210417,-
2099640,60332136,5,I5H72_gp005,SEA_OGOPOGO_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2099640,60332137,6,I5H72_gp006,SEA_OGOPOGO_6,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2099640,60332138,7,I5H72_gp007,SEA_OGOPOGO_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2099640,60332139,8,I5H72_gp008,SEA_OGOPOGO_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2099640,60332140,9,I5H72_gp009,SEA_OGOPOGO_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332141,10,I5H72_gp010,SEA_OGOPOGO_10,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201129,-
2099640,60332142,11,I5H72_gp011,SEA_OGOPOGO_11,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2099640,60332143,12,I5H72_gp012,SEA_OGOPOGO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2099640,60332144,13,I5H72_gp013,SEA_OGOPOGO_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2099640,60332145,14,I5H72_gp014,SEA_OGOPOGO_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2099640,60332146,16,I5H72_gp015,SEA_OGOPOGO_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2099640,60332147,17,I5H72_gp017,SEA_OGOPOGO_17,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210417,-
2099640,60332148,15,I5H72_gp016,SEA_OGOPOGO_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2099640,60332149,18,I5H72_gp018,SEA_OGOPOGO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2099640,60332150,19,I5H72_gp019,SEA_OGOPOGO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2099640,60332151,20,I5H72_gp020,SEA_OGOPOGO_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2099640,60332152,21,I5H72_gp021,SEA_OGOPOGO_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2099640,60332153,22,I5H72_gp022,SEA_OGOPOGO_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2099640,60332154,23,I5H72_gp023,SEA_OGOPOGO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332155,24,I5H72_gp024,SEA_OGOPOGO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332156,25,I5H72_gp025,SEA_OGOPOGO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332157,26,I5H72_gp026,SEA_OGOPOGO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332158,27,I5H72_gp027,SEA_OGOPOGO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332159,28,I5H72_gp028,SEA_OGOPOGO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332160,29,I5H72_gp029,SEA_OGOPOGO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332161,30,I5H72_gp030,SEA_OGOPOGO_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2099640,60332162,31,I5H72_gp031,SEA_OGOPOGO_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2099640,60332163,32,I5H72_gp032,SEA_OGOPOGO_32,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2099640,60332164,33,I5H72_gp033,SEA_OGOPOGO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2099640,60332165,34,I5H72_gp034,SEA_OGOPOGO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332166,35,I5H72_gp035,SEA_OGOPOGO_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20201129,-
2099640,60332167,36,I5H72_gp036,SEA_OGOPOGO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332168,37,I5H72_gp037,SEA_OGOPOGO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332169,38,I5H72_gp038,SEA_OGOPOGO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332170,39,I5H72_gp039,SEA_OGOPOGO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332171,40,I5H72_gp040,SEA_OGOPOGO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332172,41,I5H72_gp041,SEA_OGOPOGO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332173,42,I5H72_gp042,SEA_OGOPOGO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332174,43,I5H72_gp043,SEA_OGOPOGO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2099640,60332175,44,I5H72_gp044,SEA_OGOPOGO_44,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2099640,60332176,45,I5H72_gp045,SEA_OGOPOGO_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2099640,60332177,46,I5H72_gp046,SEA_OGOPOGO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099640,60332178,47,I5H72_gp047,SEA_OGOPOGO_47,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210417,-
2099640,60332179,48,I5H72_gp048,SEA_OGOPOGO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099640,60332180,49,I5H72_gp049,SEA_OGOPOGO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332181,50,I5H72_gp050,SEA_OGOPOGO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332182,51,I5H72_gp051,SEA_OGOPOGO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332183,52,I5H72_gp052,SEA_OGOPOGO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332184,53,I5H72_gp053,SEA_OGOPOGO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332185,54,I5H72_gp054,SEA_OGOPOGO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332186,55,I5H72_gp055,SEA_OGOPOGO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332187,56,I5H72_gp056,SEA_OGOPOGO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332188,57,I5H72_gp057,SEA_OGOPOGO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332189,58,I5H72_gp058,SEA_OGOPOGO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332190,59,I5H72_gp059,SEA_OGOPOGO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332191,60,I5H72_gp060,SEA_OGOPOGO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332192,61,I5H72_gp061,SEA_OGOPOGO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332193,62,I5H72_gp062,SEA_OGOPOGO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
