#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
738,3293172,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Haemophilus parasuis.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210327,-
738,55632842,HTU52_RS00015,HTU52_RS00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200619,-
738,55632843,HTU52_RS00005,HTU52_RS00005,-,-,-,-,MobC family plasmid mobilization relaxosome protein,protein-coding,-,-,-,MobC family plasmid mobilization relaxosome protein,20210417,-
738,55632844,HTU52_RS00010,HTU52_RS00010,-,-,-,-,relaxase/mobilization nuclease domain-containing protein,protein-coding,-,-,-,relaxase/mobilization nuclease domain-containing protein,20200926,-
738,55632845,HTU52_RS00020,HTU52_RS00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200619,-
738,55632846,tetR(H),HTU52_RS00025,-,-,-,-,tetracycline resistance transcriptional repressor TetR(H),protein-coding,-,-,-,tetracycline resistance transcriptional repressor TetR(H),20201010,-
738,55632847,tet(H),HTU52_RS00030,-,-,-,-,tetracycline efflux MFS transporter Tet(H),protein-coding,-,-,-,tetracycline efflux MFS transporter Tet(H),20200622,-
738,55632848,HTU52_RS00035,HTU52_RS00035,-,-,-,-,-,pseudo,-,-,-,-,20200619,-
738,55632849,HTU79_RS00005,HTU79_RS00005,-,-,-,-,MobC family plasmid mobilization relaxosome protein,protein-coding,-,-,-,MobC family plasmid mobilization relaxosome protein,20200622,-
738,55632850,HTU79_RS00010,HTU79_RS00010,-,-,-,-,relaxase/mobilization nuclease domain-containing protein,protein-coding,-,-,-,relaxase/mobilization nuclease domain-containing protein,20200926,-
738,55632851,tet(O),HTU79_RS00015,-,-,-,-,tetracycline resistance ribosomal protection protein Tet(O),protein-coding,-,-,-,tetracycline resistance ribosomal protection protein Tet(O),20200622,-
738,55632852,HTU79_RS00020,HTU79_RS00020,-,-,-,-,cysteine-rich KTR domain-containing protein,protein-coding,-,-,-,cysteine-rich KTR domain-containing protein,20210212,-
738,55632853,HTU79_RS00025,HTU79_RS00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200619,-
738,55632854,HTU56_RS00010,HTU56_RS00010,-,-,-,-,-,pseudo,-,-,-,-,20200619,-
738,55632855,tet(O),HTU56_RS00020,-,-,-,-,tetracycline resistance ribosomal protection protein Tet(O),protein-coding,-,-,-,tetracycline resistance ribosomal protection protein Tet(O),20200622,-
738,55632856,HTU56_RS00015,HTU56_RS00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200619,-
738,55632857,HTU56_RS00025,HTU56_RS00025,-,-,-,-,cysteine-rich KTR domain-containing protein,protein-coding,-,-,-,cysteine-rich KTR domain-containing protein,20210212,-
738,55632858,HTU56_RS00005,HTU56_RS00005,-,-,-,-,MobC family plasmid mobilization relaxosome protein,protein-coding,-,-,-,MobC family plasmid mobilization relaxosome protein,20200622,-
738,55632859,HTU56_RS00030,HTU56_RS00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200619,-
