#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250319,54997724,2,HOT72_gp002,SEA_APRICOT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210403,-
2250319,54997725,3,HOT72_gp003,SEA_APRICOT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2250319,54997726,4,HOT72_gp004,SEA_APRICOT_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2250319,54997727,5,HOT72_gp005,SEA_APRICOT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2250319,54997728,6,HOT72_gp006,SEA_APRICOT_6,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20201221,-
2250319,54997729,7,HOT72_gp007,SEA_APRICOT_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2250319,54997730,8,HOT72_gp008,SEA_APRICOT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997731,9,HOT72_gp009,SEA_APRICOT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997732,10,HOT72_gp010,SEA_APRICOT_10,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2250319,54997733,11,HOT72_gp011,SEA_APRICOT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997734,12,HOT72_gp012,SEA_APRICOT_12,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2250319,54997735,13,HOT72_gp013,SEA_APRICOT_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2250319,54997736,15,HOT72_gp014,SEA_APRICOT_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2250319,54997737,16,HOT72_gp016,SEA_APRICOT_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997738,14,HOT72_gp015,SEA_APRICOT_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2250319,54997739,17,HOT72_gp017,SEA_APRICOT_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2250319,54997740,18,HOT72_gp018,SEA_APRICOT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2250319,54997741,19,HOT72_gp019,SEA_APRICOT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2250319,54997742,20,HOT72_gp020,SEA_APRICOT_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2250319,54997743,21,HOT72_gp021,SEA_APRICOT_21,-,-,-,"lysin A, peptidase domain",protein-coding,-,-,-,"lysin A, peptidase domain",20210403,-
2250319,54997744,22,HOT72_gp022,SEA_APRICOT_22,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210403,-
