#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
637730,8683579,orf00002,phiSboM-AG3_gp002,-,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20200909,-
637730,8683580,orf00003,phiSboM-AG3_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683581,orf00004,phiSboM-AG3_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683582,orf00005,phiSboM-AG3_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683583,orf00006,phiSboM-AG3_gp006,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200909,-
637730,8683584,orf00008,phiSboM-AG3_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683585,orf00009,phiSboM-AG3_gp008,-,-,-,-,putative histone-like protein,protein-coding,-,-,-,putative histone-like protein,20200909,-
637730,8683586,orf00009.1,phiSboM-AG3_gp009,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683587,orf00010,phiSboM-AG3_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683588,orf00011,phiSboM-AG3_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683589,orf00014,phiSboM-AG3_gp012,-,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20200909,-
637730,8683590,orf00015,phiSboM-AG3_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683591,orf00017,phiSboM-AG3_gp014,-,-,-,-,gp52 topoisomerase II medium subunit,protein-coding,-,-,-,gp52 topoisomerase II medium subunit,20200909,-
637730,8683592,orf00018,phiSboM-AG3_gp015,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683593,orf00020,phiSboM-AG3_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683594,orf00021,phiSboM-AG3_gp017,-,-,-,-,Arn.3 conserved hypothetical protein,protein-coding,-,-,-,Arn.3 conserved hypothetical protein,20200909,-
637730,8683595,orf00022,phiSboM-AG3_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683596,orf00024,phiSboM-AG3_gp019,-,-,-,-,Tk.4 protein,protein-coding,-,-,-,Tk.4 protein,20200909,-
637730,8683597,orf00026,phiSboM-AG3_gp020,-,-,-,-,DexA exonuclease,protein-coding,-,-,-,DexA exonuclease,20200909,-
637730,8683598,orf00027,phiSboM-AG3_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683599,orf00028,phiSboM-AG3_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683600,orf00029,phiSboM-AG3_gp023,-,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20200909,-
637730,8683601,orf00030,phiSboM-AG3_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683602,orf00031,phiSboM-AG3_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683603,orf00032,phiSboM-AG3_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683604,orf00033,phiSboM-AG3_gp027,-,-,-,-,Cd allosteric enzyme,protein-coding,-,-,-,Cd allosteric enzyme,20200909,-
637730,8683605,orf00034,phiSboM-AG3_gp028,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20210123,-
637730,8683606,orf00035,phiSboM-AG3_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683607,orf00036,phiSboM-AG3_gp030,-,-,-,-,Gp4 head completion protein,protein-coding,-,-,-,Gp4 head completion protein,20200909,-
637730,8683608,orf00037,phiSboM-AG3_gp031,-,-,-,-,Gp48 putative tail tube associated base plate protein,protein-coding,-,-,-,Gp48 putative tail tube associated base plate protein,20200909,-
637730,8683609,orf00038,phiSboM-AG3_gp032,-,-,-,-,Gp53 baseplate wedge subunit,protein-coding,-,-,-,Gp53 baseplate wedge subunit,20210123,-
637730,8683610,orf00039,phiSboM-AG3_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683611,orf00040,phiSboM-AG3_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683612,orf00041,phiSboM-AG3_gp035,-,-,-,-,Gp59 T4-like loader of gp41 DNA helicase,protein-coding,-,-,-,Gp59 T4-like loader of gp41 DNA helicase,20200909,-
637730,8683613,orf00042,phiSboM-AG3_gp036,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20200909,-
637730,8683614,orf00043,phiSboM-AG3_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683615,orf00044.1,phiSboM-AG3_gp038,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683616,orf00044,phiSboM-AG3_gp039,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683617,orf00045,phiSboM-AG3_gp040,-,-,-,-,gp30 DNA ligase,protein-coding,-,-,-,gp30 DNA ligase,20200909,-
637730,8683618,orf00046,phiSboM-AG3_gp041,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683619,orf00047.1,phiSboM-AG3_gp042,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683620,orf00047,phiSboM-AG3_gp043,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683621,orf00048,phiSboM-AG3_gp044,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683622,orf00049,phiSboM-AG3_gp045,-,-,-,-,e.6 conserved hypothetical protein,protein-coding,-,-,-,e.6 conserved hypothetical protein,20200909,-
637730,8683623,orf00050,phiSboM-AG3_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683624,orf00051,phiSboM-AG3_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683625,orf00053,phiSboM-AG3_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683626,orf00054,phiSboM-AG3_gp049,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683627,orf00055,phiSboM-AG3_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683628,orf00057,phiSboM-AG3_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683629,orf00058,phiSboM-AG3_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683630,orf00059,phiSboM-AG3_gp053,-,-,-,-,Gp41 DNA primase-helicase subunit,protein-coding,-,-,-,Gp41 DNA primase-helicase subunit,20200909,-
637730,8683631,orf00060,phiSboM-AG3_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683632,orf00061,phiSboM-AG3_gp055,-,-,-,-,UvsX RecA-like recombination protein,protein-coding,-,-,-,UvsX RecA-like recombination protein,20200909,-
637730,8683633,orf00062,phiSboM-AG3_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683634,orf00063,phiSboM-AG3_gp057,-,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20210406,-
637730,8683635,orf00065,phiSboM-AG3_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683636,orf00066,phiSboM-AG3_gp059,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200909,-
637730,8683637,orf00067,phiSboM-AG3_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
637730,8683638,orf00069,phiSboM-AG3_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683639,orf00070,phiSboM-AG3_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683640,orf00071,phiSboM-AG3_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683641,orf00072,phiSboM-AG3_gp064,-,-,-,-,Gp2 DNA end protector protein,protein-coding,-,-,-,Gp2 DNA end protector protein,20200909,-
637730,8683642,orf00073,phiSboM-AG3_gp065,-,-,-,-,Gp54 baseplate tail tube initiator,protein-coding,-,-,-,Gp54 baseplate tail tube initiator,20200909,-
637730,8683643,orf00074,phiSboM-AG3_gp066,-,-,-,-,Gp32 T4-like ssDNA binding protein,protein-coding,-,-,-,Gp32 T4-like ssDNA binding protein,20200909,-
637730,8683644,orf00075,phiSboM-AG3_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683645,orf00076,phiSboM-AG3_gp068,-,-,-,-,Gp33 T4-like late promoter transcription accessory protein,protein-coding,-,-,-,Gp33 T4-like late promoter transcription accessory protein,20200909,-
637730,8683646,orf00077,phiSboM-AG3_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683647,orf00078,phiSboM-AG3_gp070,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683648,orf00079,phiSboM-AG3_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
637730,8683649,orf00080,phiSboM-AG3_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683650,orf00081,phiSboM-AG3_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683651,orf00082,phiSboM-AG3_gp074,-,-,-,-,Gp26 baseplate hub subunit,protein-coding,-,-,-,Gp26 baseplate hub subunit,20200909,-
637730,8683652,orf00083,phiSboM-AG3_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683653,orf00084,phiSboM-AG3_gp076,-,-,-,-,Gp5 baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,Gp5 baseplate hub subunit and tail lysozyme,20210123,-
637730,8683654,orf00085,phiSboM-AG3_gp077,-,-,-,-,putative Gp25 baseplate wedge subunit,protein-coding,-,-,-,putative Gp25 baseplate wedge subunit,20210123,-
637730,8683655,orf00086,phiSboM-AG3_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683656,orf00087,phiSboM-AG3_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683657,orf00088,phiSboM-AG3_gp080,-,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20200909,-
637730,8683658,orf00090,phiSboM-AG3_gp081,-,-,-,-,NrdB ribonucleotide reductase subunit beta,protein-coding,-,-,-,NrdB ribonucleotide reductase subunit beta,20210406,-
637730,8683659,orf00091,phiSboM-AG3_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683660,orf00093,phiSboM-AG3_gp083,-,-,-,-,NrdA ribonucleoside-diphosphate reductase alpha subunit,protein-coding,-,-,-,NrdA ribonucleoside-diphosphate reductase alpha subunit,20200909,-
637730,8683661,orf00095,phiSboM-AG3_gp084,-,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20200909,-
637730,8683662,orf00096,phiSboM-AG3_gp085,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20200909,-
637730,8683663,orf00097,phiSboM-AG3_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683664,orf00098,phiSboM-AG3_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683665,orf00099,phiSboM-AG3_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683666,orf00100,phiSboM-AG3_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683667,orf00101,phiSboM-AG3_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683668,orf00102,phiSboM-AG3_gp091,-,-,-,-,Gp61 DNA primase subunit,protein-coding,-,-,-,Gp61 DNA primase subunit,20200909,-
637730,8683669,orf00103,phiSboM-AG3_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683670,orf00104,phiSboM-AG3_gp093,-,-,-,-,MobD.6 conserved hypothetical phage protein,protein-coding,-,-,-,MobD.6 conserved hypothetical phage protein,20210406,-
637730,8683671,orf00105,phiSboM-AG3_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683672,orf00107,phiSboM-AG3_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683673,orf00109,phiSboM-AG3_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683674,orf00110.1,phiSboM-AG3_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
