#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
50948,1725270,hoc,RB49p168,-,-,-,-,Hoc head outer capsid protein,protein-coding,-,-,-,Hoc head outer capsid protein,20201220,-
50948,1725271,cd.2,RB49p219,-,-,-,-,Cd.2 conserved hypothetical protein,protein-coding,-,-,-,Cd.2 conserved hypothetical protein,20201220,-
50948,1725272,RB49p186,RB49p186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725273,RB49p118,RB49p118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725274,RB49p040,RB49p040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725275,23,RB49p161,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
50948,1725276,RB49p127,RB49p127,57A,-,-,-,gp57A chaperone for tail fiber formation,protein-coding,-,-,-,gp57A chaperone for tail fiber formation,20201220,-
50948,1725277,RB49p256,RB49p256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725278,RB49p012,RB49p012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725279,nrdH,RB49p047,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201220,-
50948,1725280,dc1,RB49p020,-,-,-,-,Dc1,protein-coding,-,-,-,Dc1,20201220,-
50948,1725281,inh,RB49p169,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20201220,-
50948,1725282,5.1,RB49p135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725283,RB49p120,RB49p120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725284,RB49p076,RB49p076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725285,uvsY,RB49p173,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20210212,-
50948,1725286,RB49p072,RB49p072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725287,RB49p115,RB49p115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725288,20,RB49p156,-,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20201220,-
50948,1725289,RB49p078,RB49p078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725290,RB49p102,RB49p102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725291,RB49p110,RB49p110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725292,RB49p071,RB49p071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725293,RB49p182,RB49p182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725294,RB49p162,RB49p162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725295,RB49p037,RB49p037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725296,RB49p260,RB49p260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725297,nrdA,RB49p234,-,-,-,-,ribonucleoside-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleoside-diphosphate reductase subunit alpha,20201220,-
50948,1725298,RB49p183,RB49p183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725299,RB49p082,RB49p082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725300,regA,RB49p027,-,-,-,-,translation repressor protein,protein-coding,-,-,-,translation repressor protein,20201220,-
50948,1725301,RB49p060,RB49p060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725302,vs,RB49p092,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20201220,-
50948,1725303,RB49p198,RB49p198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725304,51,RB49p176,-,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20201220,-
50948,1725305,RB49p130,RB49p130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725306,RB49p178,RB49p178,28,-,-,-,gp28 baseplate hub distal subunit,protein-coding,-,-,-,gp28 baseplate hub distal subunit,20201220,-
50948,1725307,14,RB49p150,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201220,-
50948,1725308,RB49p025,RB49p025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725309,nrdC.11,RB49p098,-,-,-,-,NrdC.11,protein-coding,-,-,-,NrdC.11,20210212,-
50948,1725310,wac,RB49p148,-,-,-,-,fibritin,protein-coding,-,-,-,fibritin,20201220,-
50948,1725311,RB49p211,RB49p211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725312,dda,RB49p011,-,-,-,-,Dda DNA helicase,protein-coding,-,-,-,Dda DNA helicase,20201220,-
50948,1725313,dam,RB49p063,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20201220,-
50948,1725314,RB49p266,RB49p266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725315,RB49p201,RB49p201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725316,RB49p193,RB49p193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725317,RB49p239,RB49p239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725318,41,RB49p022,-,-,-,-,41 helicase,protein-coding,-,-,-,41 helicase,20201220,-
50948,1725319,19,RB49p155,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201220,-
50948,1725320,21,RB49p159,-,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20201220,-
50948,1725321,RB49p004,RB49p004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
