#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2530132,64367817,2,KD930_gp02,SEA_KEVIN1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2530132,64367818,3,KD930_gp03,SEA_KEVIN1_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367819,4,KD930_gp04,SEA_KEVIN1_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210423,-
2530132,64367820,5,KD930_gp05,SEA_KEVIN1_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210423,-
2530132,64367821,6,KD930_gp06,SEA_KEVIN1_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210423,-
2530132,64367822,7,KD930_gp07,SEA_KEVIN1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367823,8,KD930_gp08,SEA_KEVIN1_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210423,-
2530132,64367824,9,KD930_gp09,SEA_KEVIN1_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210423,-
2530132,64367825,10,KD930_gp10,SEA_KEVIN1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367826,11,KD930_gp11,SEA_KEVIN1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367827,12,KD930_gp12,SEA_KEVIN1_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210423,-
2530132,64367828,13,KD930_gp13,SEA_KEVIN1_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210423,-
2530132,64367829,15,KD930_gp14,SEA_KEVIN1_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2530132,64367830,16,KD930_gp16,SEA_KEVIN1_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210423,-
2530132,64367831,14,KD930_gp15,SEA_KEVIN1_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2530132,64367832,17,KD930_gp17,SEA_KEVIN1_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2530132,64367833,18,KD930_gp18,SEA_KEVIN1_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2530132,64367834,19,KD930_gp19,SEA_KEVIN1_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2530132,64367835,20,KD930_gp20,SEA_KEVIN1_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2530132,64367836,21,KD930_gp21,SEA_KEVIN1_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2530132,64367837,22,KD930_gp22,SEA_KEVIN1_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
