#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10493,2947735,FV3gorf15R,FV3gorf15R,-,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20201220,-
10493,2947736,FV3gorf16R,FV3gorf16R,-,-,-,-,putative integrase-like protein,protein-coding,-,-,-,putative integrase-like protein,20201220,-
10493,2947737,FV3gorf17L,FV3gorf17L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947738,FV3gorf18L,FV3gorf18L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947739,FV3gorf19R,FV3gorf19R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
10493,2947740,FV3gorf20R,FV3gorf20R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
10493,2947741,FV3gorf21L,FV3gorf21L,-,-,-,-,orf56L protein-like protein,protein-coding,-,-,-,orf56L protein-like protein,20200629,-
10493,2947742,FV3gorf22R,FV3gorf22R,-,-,-,-,putative D5 family NTPase/ATPase,protein-coding,-,-,-,putative D5 family NTPase/ATPase,20200629,-
10493,2947743,FV3gorf23R,FV3gorf23R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
10493,2947744,FV3gorf24R,FV3gorf24R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
10493,2947745,FV3gorf25R,FV3gorf25R,-,-,-,-,p31K protein,protein-coding,-,-,-,p31K protein,20201220,-
10493,2947746,FV3gorf26R,FV3gorf26R,-,-,-,-,truncated putative e1F-2alpha-like protein,protein-coding,-,-,-,truncated putative e1F-2alpha-like protein,20201220,-
10493,2947747,FV3gorf27R,FV3gorf27R,-,-,-,-,putative tyrosine kinase,protein-coding,-,-,-,putative tyrosine kinase,20201220,-
10493,2947748,FV3gorf28R,FV3gorf28R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947749,FV3gorf29L,FV3gorf29L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947750,FV3gorf30R,FV3gorf30R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947751,FV3gorf31R,FV3gorf31R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947752,FV3gorf32R,FV3gorf32R,-,-,-,-,neurofilament triplet H1-like protein,protein-coding,-,-,-,neurofilament triplet H1-like protein,20200629,-
10493,2947753,FV3gorf33R,FV3gorf33R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947754,FV3gorf55L,FV3gorf55L,-,-,-,-,helicase-like protein,protein-coding,-,-,-,helicase-like protein,20201220,-
10493,2947755,FV3gorf55R,FV3gorf55R,-,-,-,-,40 kDa protein,protein-coding,-,-,-,40 kDa protein,20201220,-
10493,2947756,FV3gorf56R,FV3gorf56R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947757,FV3gorf57R,FV3gorf57R,-,-,-,-,putative phosphotransferase,protein-coding,-,-,-,putative phosphotransferase,20201220,-
10493,2947758,FV3gorf58R,FV3gorf58R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947759,FV3gorf59L,FV3gorf59L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947760,FV3gorf60R,FV3gorf60R,-,-,-,-,DNA polymerase-like protein,protein-coding,-,-,-,DNA polymerase-like protein,20200629,-
10493,2947761,FV3gorf61L,FV3gorf61L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
