#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483666,65116847,2,KNU18_gp02,SEA_BIBWIT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483666,65116848,3,KNU18_gp03,SEA_BIBWIT_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116849,4,KNU18_gp04,SEA_BIBWIT_4,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2483666,65116850,6,KNU18_gp06,SEA_BIBWIT_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116851,5,KNU18_gp05,SEA_BIBWIT_5,-,-,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210607,-
2483666,65116852,7,KNU18_gp07,SEA_BIBWIT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116853,8,KNU18_gp08,SEA_BIBWIT_8,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483666,65116854,9,KNU18_gp09,SEA_BIBWIT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116855,10,KNU18_gp10,SEA_BIBWIT_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210607,-
2483666,65116856,11,KNU18_gp11,SEA_BIBWIT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116857,12,KNU18_gp12,SEA_BIBWIT_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2483666,65116858,13,KNU18_gp13,SEA_BIBWIT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116859,14,KNU18_gp14,SEA_BIBWIT_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116860,15,KNU18_gp15,SEA_BIBWIT_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
2483666,65116861,16,KNU18_gp16,SEA_BIBWIT_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116862,17,KNU18_gp17,SEA_BIBWIT_17,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2483666,65116863,18,KNU18_gp18,SEA_BIBWIT_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116864,19,KNU18_gp19,SEA_BIBWIT_19,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2483666,65116865,20,KNU18_gp20,SEA_BIBWIT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116866,21,KNU18_gp21,SEA_BIBWIT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116867,22,KNU18_gp22,SEA_BIBWIT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116868,23,KNU18_gp23,SEA_BIBWIT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116869,24,KNU18_gp24,SEA_BIBWIT_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2483666,65116870,25,KNU18_gp25,SEA_BIBWIT_25,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210607,-
2483666,65116871,26,KNU18_gp26,SEA_BIBWIT_26,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2483666,65116872,27,KNU18_gp27,SEA_BIBWIT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116873,28,KNU18_gp28,SEA_BIBWIT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116874,29,KNU18_gp29,SEA_BIBWIT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116875,30,KNU18_gp30,SEA_BIBWIT_30,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2483666,65116876,31,KNU18_gp31,SEA_BIBWIT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116877,32,KNU18_gp32,SEA_BIBWIT_32,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2483666,65116878,33,KNU18_gp33,SEA_BIBWIT_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483666,65116879,34,KNU18_gp34,SEA_BIBWIT_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483666,65116880,35,KNU18_gp35,SEA_BIBWIT_35,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210609,-
2483666,65116881,36,KNU18_gp36,SEA_BIBWIT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116882,37,KNU18_gp37,SEA_BIBWIT_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483666,65116883,38,KNU18_gp38,SEA_BIBWIT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
