#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1777059,65105912,KNT13_gp002,KNT13_gp002,phiE142_2,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20210607,-
1777059,65105913,KNT13_gp003,KNT13_gp003,phiE142_3,-,-,-,tail fiber adhesin,protein-coding,-,-,-,tail fiber adhesin,20210607,-
1777059,65105914,KNT13_gp004,KNT13_gp004,phiE142_4,-,-,-,holin lysis mediator,protein-coding,-,-,-,holin lysis mediator,20210607,-
1777059,65105915,KNT13_gp005,KNT13_gp005,phiE142_5,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210612,-
1777059,65105916,KNT13_gp006,KNT13_gp006,phiE142_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1777059,65105917,KNT13_gp007,KNT13_gp007,phiE142_7,-,-,-,inhibitor of MrcBC restriction nuclease,protein-coding,-,-,-,inhibitor of MrcBC restriction nuclease,20210607,-
1777059,65105918,KNT13_gp008,KNT13_gp008,phiE142_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1777059,65105919,KNT13_gp009,KNT13_gp009,phiE142_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1777059,65105920,KNT13_gp010,KNT13_gp010,phiE142_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1777059,65105921,KNT13_gp011,KNT13_gp011,phiE142_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1777059,65105922,KNT13_gp012,KNT13_gp012,phiE142_12,-,-,-,middle transcription regulator,protein-coding,-,-,-,middle transcription regulator,20210607,-
1777059,65105923,KNT13_gp013,KNT13_gp013,phiE142_13,-,-,-,DNA topisomerase II medium subunit,protein-coding,-,-,-,DNA topisomerase II medium subunit,20210607,-
1777059,65105924,KNT13_gp014,KNT13_gp014,phiE142_14,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20210607,-
1777059,65105925,KNT13_gp015,KNT13_gp015,phiE142_15,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
1777059,65105926,KNT13_gp016,KNT13_gp016,phiE142_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1777059,65105927,KNT13_gp017,KNT13_gp017,phiE142_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1777059,65105928,KNT13_gp018,KNT13_gp018,phiE142_18,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20210607,-
1777059,65105929,KNT13_gp019,KNT13_gp019,phiE142_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1777059,65105930,KNT13_gp020,KNT13_gp020,phiE142_20,-,-,-,anti-prophage protein,protein-coding,-,-,-,anti-prophage protein,20210607,-
1777059,65105931,KNT13_gp021,KNT13_gp021,phiE142_21,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
