#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1540823,22807812,LSPA1_02,LSPA1_02,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20201221,-
1540823,22807813,LSPA1_03,LSPA1_03,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1540823,22807814,LSPA1_04,LSPA1_04,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1540823,22807815,LSPA1_05,LSPA1_05,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1540823,22807816,LSPA1_06,LSPA1_06,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1540823,22807817,LSPA1_07,LSPA1_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807818,LSPA1_08,LSPA1_08,-,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201221,-
1540823,22807819,LSPA1_09,LSPA1_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807820,LSPA1_10,LSPA1_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807821,LSPA1_11,LSPA1_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807822,LSPA1_12,LSPA1_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807823,LSPA1_13,LSPA1_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807824,LSPA1_14,LSPA1_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807825,LSPA1_15,LSPA1_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807826,LSPA1_16,LSPA1_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807827,LSPA1_17,LSPA1_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807828,LSPA1_18,LSPA1_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807829,LSPA1_19,LSPA1_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807830,LSPA1_20,LSPA1_20,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1540823,22807831,LSPA1_21,LSPA1_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807832,LSPA1_22,LSPA1_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807833,LSPA1_23,LSPA1_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807834,LSPA1_24,LSPA1_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807835,LSPA1_25,LSPA1_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807836,LSPA1_26,LSPA1_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807837,LSPA1_27,LSPA1_27,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
