#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047788,40096679,FDJ08_gp02,FDJ08_gp02,GC1_00002,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
2047788,40096680,FDJ08_gp03,FDJ08_gp03,GC1_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096681,FDJ08_gp04,FDJ08_gp04,GC1_00004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096682,FDJ08_gp05,FDJ08_gp05,GC1_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096683,FDJ08_gp06,FDJ08_gp06,GC1_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096684,FDJ08_gp07,FDJ08_gp07,GC1_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096685,FDJ08_gp08,FDJ08_gp08,GC1_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096686,FDJ08_gp09,FDJ08_gp09,GC1_00009,-,-,-,DNA packaging ATPase,protein-coding,-,-,-,DNA packaging ATPase,20201221,-
2047788,40096687,FDJ08_gp10,FDJ08_gp10,GC1_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096688,FDJ08_gp11,FDJ08_gp11,GC1_00011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096689,FDJ08_gp12,FDJ08_gp12,GC1_00012,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2047788,40096690,FDJ08_gp13,FDJ08_gp13,GC1_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096691,FDJ08_gp14,FDJ08_gp14,GC1_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096692,FDJ08_gp15,FDJ08_gp15,GC1_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096693,FDJ08_gp16,FDJ08_gp16,GC1_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096694,FDJ08_gp17,FDJ08_gp17,GC1_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
