#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
374422,13827551,D281_gp02,D281_gp02,TG1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
374422,13827552,D281_gp03,D281_gp03,TG1_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
374422,13827553,D281_gp04,D281_gp04,TG1_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
374422,13827554,D281_gp05,D281_gp05,TG1_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
374422,13827555,D281_gp06,D281_gp06,TG1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827556,D281_gp07,D281_gp07,TG1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827557,D281_gp08,D281_gp08,TG1_8,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
374422,13827558,D281_gp09,D281_gp09,TG1_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827559,D281_gp10,D281_gp10,TG1_10,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
374422,13827560,D281_gp11,D281_gp11,TG1_11,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
374422,13827561,D281_gp12,D281_gp12,TG1_12,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
374422,13827562,D281_gp13,D281_gp13,TG1_13,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
374422,13827563,D281_gp14,D281_gp14,TG1_14,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
374422,13827564,D281_gp15,D281_gp15,TG1_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
374422,13827565,D281_gp16,D281_gp16,TG1_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
374422,13827566,D281_gp17,D281_gp17,TG1_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827567,D281_gp18,D281_gp18,TG1_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
374422,13827568,D281_gp19,D281_gp19,TG1_19,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
374422,13827569,D281_gp20,D281_gp20,TG1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827570,D281_gp21,D281_gp21,TG1_21,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20200927,-
374422,13827571,D281_gp22,D281_gp22,TG1_22,-,-,-,repressor,protein-coding,-,-,-,repressor,20200927,-
374422,13827572,D281_gp23,D281_gp23,TG1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827573,D281_gp24,D281_gp24,TG1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827574,D281_gp25,D281_gp25,TG1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827575,D281_gp26,D281_gp26,TG1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827576,D281_gp27,D281_gp27,TG1_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827577,D281_gp28,D281_gp28,TG1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827578,D281_gp29,D281_gp29,TG1_29,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
374422,13827579,D281_gp30,D281_gp30,TG1_30,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200927,-
374422,13827580,D281_gp31,D281_gp31,TG1_31,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
374422,13827581,D281_gp32,D281_gp32,TG1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827582,D281_gp33,D281_gp33,TG1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827583,D281_gp34,D281_gp34,TG1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827584,D281_gp35,D281_gp35,TG1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827585,D281_gp36,D281_gp36,TG1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827586,D281_gp37,D281_gp37,TG1_37,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200927,-
374422,13827587,D281_gp38,D281_gp38,TG1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827588,D281_gp39,D281_gp39,TG1_39,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200927,-
374422,13827589,D281_gp40,D281_gp40,TG1_40,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20200927,-
374422,13827590,D281_gp41,D281_gp41,TG1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827591,D281_gp42,D281_gp42,TG1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827592,D281_gp43,D281_gp43,TG1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827593,D281_gp44,D281_gp44,TG1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827594,D281_gp45,D281_gp45,TG1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827595,D281_gp46,D281_gp46,TG1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827596,D281_gp48,D281_gp48,TG1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827597,D281_gp49,D281_gp49,TG1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827598,D281_gp50,D281_gp50,TG1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827599,D281_gp51,D281_gp51,TG1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827600,D281_gp52,D281_gp52,TG1_51,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20200927,-
374422,13827601,D281_gt01,D281_gt01,TG1_52,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
374422,13827602,D281_gp54,D281_gp54,TG1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827603,D281_gp53,D281_gp53,TG1_54,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
374422,13827604,D281_gp47,D281_gp47,TG1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
374422,13827605,D281_gp01,D281_gp01,TG1_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
374422,36167699,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage TG1; Streptomyce phage TG1; Streptomyces actinophage TG1; Streptomyces phage TG1).,other,-,-,-,-,20200610,-
