#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2603257,55813576,2,HYP98_gp02,SEA_ZARTROSA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200912,-
2603257,55813577,3,HYP98_gp03,SEA_ZARTROSA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2603257,55813578,4,HYP98_gp04,SEA_ZARTROSA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210306,-
2603257,55813579,5,HYP98_gp05,SEA_ZARTROSA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813580,6,HYP98_gp06,SEA_ZARTROSA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813581,7,HYP98_gp07,SEA_ZARTROSA_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2603257,55813582,8,HYP98_gp08,SEA_ZARTROSA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813583,9,HYP98_gp09,SEA_ZARTROSA_9,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2603257,55813584,10,HYP98_gp10,SEA_ZARTROSA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813585,11,HYP98_gp11,SEA_ZARTROSA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813586,12,HYP98_gp12,SEA_ZARTROSA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2603257,55813587,13,HYP98_gp13,SEA_ZARTROSA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813588,14,HYP98_gp14,SEA_ZARTROSA_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813589,15,HYP98_gp15,SEA_ZARTROSA_15,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200704,-
2603257,55813590,16,HYP98_gp16,SEA_ZARTROSA_16,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200704,-
2603257,55813591,17,HYP98_gp17,SEA_ZARTROSA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813592,18,HYP98_gp18,SEA_ZARTROSA_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813593,19,HYP98_gp19,SEA_ZARTROSA_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200829,-
2603257,55813594,20,HYP98_gp20,SEA_ZARTROSA_20,-,-,-,LysM-like peptidoglycan-binding protein,protein-coding,-,-,-,LysM-like peptidoglycan-binding protein,20200912,-
2603257,55813595,21,HYP98_gp21,SEA_ZARTROSA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2603257,55813596,22,HYP98_gp22,SEA_ZARTROSA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813597,23,HYP98_gp23,SEA_ZARTROSA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2603257,55813598,24,HYP98_gp24,SEA_ZARTROSA_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2603257,55813599,25,HYP98_gp25,SEA_ZARTROSA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813600,26,HYP98_gp26,SEA_ZARTROSA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813601,27,HYP98_gp27,SEA_ZARTROSA_27,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2603257,55813602,28,HYP98_gp28,SEA_ZARTROSA_28,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210424,-
2603257,55813603,29,HYP98_gp29,SEA_ZARTROSA_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2603257,55813604,30,HYP98_gp30,SEA_ZARTROSA_30,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210123,-
2603257,55813605,31,HYP98_gp31,SEA_ZARTROSA_31,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20210424,-
2603257,55813606,32,HYP98_gp32,SEA_ZARTROSA_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200704,-
2603257,55813607,33,HYP98_gp33,SEA_ZARTROSA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813608,34,HYP98_gp34,SEA_ZARTROSA_34,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2603257,55813609,35,HYP98_gp35,SEA_ZARTROSA_35,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2603257,55813610,36,HYP98_gp36,SEA_ZARTROSA_36,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2603257,55813611,37,HYP98_gp37,SEA_ZARTROSA_37,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20200829,-
2603257,55813612,38,HYP98_gp38,SEA_ZARTROSA_38,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200912,-
2603257,55813613,39,HYP98_gp39,SEA_ZARTROSA_39,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2603257,55813614,40,HYP98_gp40,SEA_ZARTROSA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813615,41,HYP98_gp41,SEA_ZARTROSA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813616,42,HYP98_gp42,SEA_ZARTROSA_42,-,-,-,RusA-like resolvase (endonuclease),protein-coding,-,-,-,RusA-like resolvase (endonuclease),20200704,-
2603257,55813617,43,HYP98_gp43,SEA_ZARTROSA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813618,44,HYP98_gp44,SEA_ZARTROSA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813619,45,HYP98_gp45,SEA_ZARTROSA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813620,46,HYP98_gp46,SEA_ZARTROSA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813621,47,HYP98_gp47,SEA_ZARTROSA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813622,48,HYP98_gp48,SEA_ZARTROSA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
