#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315475,55610567,HWB88_gp02,HWB88_gp02,CPT_Seifer_002,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2315475,55610568,HWB88_gp03,HWB88_gp03,CPT_Seifer_003,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200620,-
2315475,55610569,HWB88_gp04,HWB88_gp04,CPT_Seifer_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610570,HWB88_gp05,HWB88_gp05,CPT_Seifer_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610571,HWB88_gp06,HWB88_gp06,CPT_Seifer_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315475,55610572,HWB88_gp07,HWB88_gp07,CPT_Seifer_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315475,55610573,HWB88_gp08,HWB88_gp08,CPT_Seifer_008,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2315475,55610574,HWB88_gp09,HWB88_gp09,CPT_Seifer_009,-,-,-,holiday junction resolvase,protein-coding,-,-,-,holiday junction resolvase,20210424,-
2315475,55610575,HWB88_gp10,HWB88_gp10,CPT_Seifer_010,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2315475,55610576,HWB88_gp11,HWB88_gp11,CPT_Seifer_011,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210424,-
2315475,55610577,HWB88_gp12,HWB88_gp12,CPT_Seifer_012,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2315475,55610578,HWB88_gp13,HWB88_gp13,CPT_Seifer_013,-,-,-,head to tail joining protein,protein-coding,-,-,-,head to tail joining protein,20210424,-
2315475,55610579,HWB88_gp14,HWB88_gp14,CPT_Seifer_014,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2315475,55610580,HWB88_gp15,HWB88_gp15,CPT_Seifer_015,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2315475,55610581,HWB88_gp16,HWB88_gp16,CPT_Seifer_016,-,-,-,capsid decorator,protein-coding,-,-,-,capsid decorator,20210424,-
2315475,55610582,HWB88_gp17,HWB88_gp17,CPT_Seifer_017,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2315475,55610583,HWB88_gp18,HWB88_gp18,CPT_Seifer_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315475,55610584,HWB88_gp19,HWB88_gp19,CPT_Seifer_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610585,HWB88_gp20,HWB88_gp20,CPT_Seifer_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610586,HWB88_gp21,HWB88_gp21,CPT_Seifer_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610587,HWB88_gp22,HWB88_gp22,CPT_Seifer_022,-,-,-,Ig-like protein,protein-coding,-,-,-,Ig-like protein,20210424,-
2315475,55610588,HWB88_gp23,HWB88_gp23,CPT_Seifer_024,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2315475,55610589,HWB88_gp25,HWB88_gp25,CPT_Seifer_025,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2315475,55610590,HWB88_gp24,HWB88_gp24,CPT_Seifer_023,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2315475,55610591,HWB88_gp26,HWB88_gp26,CPT_Seifer_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315475,55610592,HWB88_gp27,HWB88_gp27,CPT_Seifer_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
