#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713306,55818207,HYQ36_gp002,HYQ36_gp002,moki_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210123,-
2713306,55818208,HYQ36_gp003,HYQ36_gp003,moki_3,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200910,-
2713306,55818209,HYQ36_gp004,HYQ36_gp004,moki_4,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713306,55818210,HYQ36_gp005,HYQ36_gp005,moki_5,-,-,-,hemolysin-type calcium-binding protein,protein-coding,-,-,-,hemolysin-type calcium-binding protein,20210320,-
2713306,55818211,HYQ36_gp006,HYQ36_gp006,moki_6,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210320,-
2713306,55818212,HYQ36_gp007,HYQ36_gp007,moki_7,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210320,-
2713306,55818213,HYQ36_gp008,HYQ36_gp008,moki_8,-,-,-,tail spike protein 3,protein-coding,-,-,-,tail spike protein 3,20210320,-
2713306,55818214,HYQ36_gp009,HYQ36_gp009,moki_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818215,HYQ36_gp010,HYQ36_gp010,moki_10,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210320,-
2713306,55818216,HYQ36_gp011,HYQ36_gp011,moki_11,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713306,55818217,HYQ36_gp012,HYQ36_gp012,moki_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818218,HYQ36_gp013,HYQ36_gp013,moki_13,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713306,55818219,HYQ36_gp014,HYQ36_gp014,moki_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818220,HYQ36_gp015,HYQ36_gp015,moki_15,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713306,55818221,HYQ36_gp016,HYQ36_gp016,moki_16,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210313,-
2713306,55818222,HYQ36_gp017,HYQ36_gp017,moki_17,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200919,-
2713306,55818223,HYQ36_gp018,HYQ36_gp018,moki_18,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20210320,-
2713306,55818224,HYQ36_gp019,HYQ36_gp019,moki_19,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210320,-
2713306,55818225,HYQ36_gp020,HYQ36_gp020,moki_20,-,-,-,putative GIY-YIG endonuclease,protein-coding,-,-,-,putative GIY-YIG endonuclease,20210320,-
2713306,55818226,HYQ36_gp021,HYQ36_gp021,moki_21,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200926,-
2713306,55818227,HYQ36_gp022,HYQ36_gp022,moki_22,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20210313,-
2713306,55818228,HYQ36_gp023,HYQ36_gp023,moki_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818229,HYQ36_gp024,HYQ36_gp024,moki_24,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20200910,-
2713306,55818230,HYQ36_gp025,HYQ36_gp025,moki_25,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20210313,-
2713306,55818231,HYQ36_gp026,HYQ36_gp026,moki_26,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210327,-
2713306,55818232,HYQ36_gp027,HYQ36_gp027,moki_27,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210129,-
2713306,55818233,HYQ36_gp028,HYQ36_gp028,moki_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818234,HYQ36_gp029,HYQ36_gp029,moki_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818235,HYQ36_gp030,HYQ36_gp030,moki_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818236,HYQ36_gp031,HYQ36_gp031,moki_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818237,HYQ36_gp032,HYQ36_gp032,moki_32,-,-,-,nucleotide-binding protein,protein-coding,-,-,-,nucleotide-binding protein,20200910,-
2713306,55818238,HYQ36_gp033,HYQ36_gp033,moki_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818239,HYQ36_gp034,HYQ36_gp034,moki_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818240,HYQ36_gp035,HYQ36_gp035,moki_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818241,HYQ36_gp036,HYQ36_gp036,moki_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818242,HYQ36_gp037,HYQ36_gp037,moki_37,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20210320,-
2713306,55818243,HYQ36_gp038,HYQ36_gp038,moki_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818244,HYQ36_gp039,HYQ36_gp039,moki_39,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210320,-
2713306,55818245,HYQ36_gp040,HYQ36_gp040,moki_40,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713306,55818246,HYQ36_gp041,HYQ36_gp041,moki_41,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200919,-
2713306,55818247,HYQ36_gp042,HYQ36_gp042,moki_42,-,-,-,putative DNA repair/recombination protein,protein-coding,-,-,-,putative DNA repair/recombination protein,20210313,-
2713306,55818248,HYQ36_gp043,HYQ36_gp043,moki_43,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210320,-
2713306,55818249,HYQ36_gp044,HYQ36_gp044,moki_44,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210320,-
2713306,55818250,HYQ36_gp045,HYQ36_gp045,moki_45,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
2713306,55818251,HYQ36_gp046,HYQ36_gp046,moki_46,-,-,-,sliding clamp protein,protein-coding,-,-,-,sliding clamp protein,20200919,-
2713306,55818252,HYQ36_gp047,HYQ36_gp047,moki_47,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20200919,-
2713306,55818253,HYQ36_gp048,HYQ36_gp048,moki_48,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210313,-
2713306,55818254,HYQ36_gp049,HYQ36_gp049,moki_49,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200919,-
2713306,55818255,HYQ36_gp050,HYQ36_gp050,moki_50,-,-,-,nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,nucleoside triphosphate pyrophosphohydrolase,20210320,-
2713306,55818256,HYQ36_gp051,HYQ36_gp051,moki_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713306,55818257,HYQ36_gp052,HYQ36_gp052,moki_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818258,HYQ36_gp053,HYQ36_gp053,moki_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713306,55818259,HYQ36_gp054,HYQ36_gp054,moki_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818260,HYQ36_gp055,HYQ36_gp055,moki_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713306,55818261,HYQ36_gp056,HYQ36_gp056,moki_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818262,HYQ36_gp057,HYQ36_gp057,moki_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
