#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772082,65130817,KNV49_gs01,KNV49_gs01,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20210608,-
2772082,65130818,KNV49_gp88,KNV49_gp88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130819,KNV49_gt03,KNV49_gt03,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772082,65130820,KNV49_gp65,KNV49_gp65,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2772082,65130821,KNV49_gp02,KNV49_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130822,KNV49_gp03,KNV49_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130823,KNV49_gp04,KNV49_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130824,KNV49_gp05,KNV49_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130825,KNV49_gp06,KNV49_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130826,KNV49_gp07,KNV49_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130827,KNV49_gp08,KNV49_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130828,KNV49_gp09,KNV49_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130829,KNV49_gp10,KNV49_gp10,-,-,-,-,RNA polymerase sigma-W factor,protein-coding,-,-,-,RNA polymerase sigma-W factor,20210608,-
2772082,65130830,KNV49_gp11,KNV49_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130831,KNV49_gp12,KNV49_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130832,KNV49_gp13,KNV49_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130833,KNV49_gt01,KNV49_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772082,65130834,KNV49_gp87,KNV49_gp87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130835,KNV49_gp86,KNV49_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130836,KNV49_gp85,KNV49_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130837,KNV49_gp84,KNV49_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130838,KNV49_gp83,KNV49_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130839,KNV49_gp82,KNV49_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130840,KNV49_gp81,KNV49_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130841,KNV49_gp80,KNV49_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130842,KNV49_gp79,KNV49_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130843,KNV49_gp78,KNV49_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130844,KNV49_gp77,KNV49_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130845,KNV49_gp76,KNV49_gp76,-,-,-,-,putative chaperonin,protein-coding,-,-,-,putative chaperonin,20210608,-
2772082,65130846,KNV49_gp75,KNV49_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130847,KNV49_gp74,KNV49_gp74,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2772082,65130848,KNV49_gp73,KNV49_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130849,KNV49_gp72,KNV49_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130850,KNV49_gp71,KNV49_gp71,-,-,-,-,VOG3488,protein-coding,-,-,-,VOG3488,20210608,-
2772082,65130851,KNV49_gp70,KNV49_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130852,KNV49_gp69,KNV49_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130853,KNV49_gp68,KNV49_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130854,KNV49_gp67,KNV49_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130855,KNV49_gp66,KNV49_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130856,KNV49_gt02,KNV49_gt02,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772082,65130857,KNV49_gp64,KNV49_gp64,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2772082,65130858,KNV49_gp63,KNV49_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130859,KNV49_gp62,KNV49_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130860,KNV49_gp61,KNV49_gp61,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2772082,65130861,KNV49_gp60,KNV49_gp60,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210608,-
2772082,65130862,KNV49_gp59,KNV49_gp59,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2772082,65130863,KNV49_gp58,KNV49_gp58,-,-,-,-,RecA protein,protein-coding,-,-,-,RecA protein,20210608,-
2772082,65130864,KNV49_gp57,KNV49_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130865,KNV49_gp56,KNV49_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130866,KNV49_gp55,KNV49_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130867,KNV49_gp54,KNV49_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130868,KNV49_gp53,KNV49_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130869,KNV49_gp52,KNV49_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130870,KNV49_gp51,KNV49_gp51,-,-,-,-,VOG4599,protein-coding,-,-,-,VOG4599|minor structural protein,20210608,-
2772082,65130871,KNV49_gp50,KNV49_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130872,KNV49_gp49,KNV49_gp49,-,-,-,-,phosphatase,protein-coding,-,-,-,phosphatase,20210608,-
2772082,65130873,KNV49_gp48,KNV49_gp48,-,-,-,-,internalin-like protein,protein-coding,-,-,-,internalin-like protein,20210608,-
2772082,65130874,KNV49_gp47,KNV49_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130875,KNV49_gp46,KNV49_gp46,-,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20210608,-
2772082,65130876,KNV49_gp45,KNV49_gp45,-,-,-,-,"L,D-carboxypeptidase/transpeptidase",protein-coding,-,-,-,"L,D-carboxypeptidase/transpeptidase",20210608,-
2772082,65130877,KNV49_gp44,KNV49_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130878,KNV49_gp43,KNV49_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130879,KNV49_gp42,KNV49_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130880,KNV49_gp41,KNV49_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130881,KNV49_gp40,KNV49_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130882,KNV49_gp39,KNV49_gp39,-,-,-,-,sulfatase-like protein,protein-coding,-,-,-,sulfatase-like protein,20210608,-
2772082,65130883,KNV49_gp38,KNV49_gp38,-,-,-,-,reverse transcriptase,protein-coding,-,-,-,reverse transcriptase,20210608,-
2772082,65130884,KNV49_gp37,KNV49_gp37,-,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2772082,65130885,KNV49_gp36,KNV49_gp36,-,-,-,-,lysis regulatory protein-like protein,protein-coding,-,-,-,lysis regulatory protein-like protein,20210608,-
2772082,65130886,KNV49_gp35,KNV49_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130887,KNV49_gp34,KNV49_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130888,KNV49_gp33,KNV49_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130889,KNV49_gp32,KNV49_gp32,-,-,-,-,peptidoglycan-associated protein-like protein,protein-coding,-,-,-,peptidoglycan-associated protein-like protein,20210608,-
2772082,65130890,KNV49_gp31,KNV49_gp31,-,-,-,-,tail tubular protein,protein-coding,-,-,-,tail tubular protein,20210608,-
2772082,65130891,KNV49_gp30,KNV49_gp30,-,-,-,-,stabilization protein,protein-coding,-,-,-,stabilization protein,20210608,-
2772082,65130892,KNV49_gp29,KNV49_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130893,KNV49_gp28,KNV49_gp28,-,-,-,-,nuclear pore complex protein-like protein,protein-coding,-,-,-,nuclear pore complex protein-like protein,20210608,-
2772082,65130894,KNV49_gp27,KNV49_gp27,-,-,-,-,nuclear pore complex protein-like protein,protein-coding,-,-,-,nuclear pore complex protein-like protein,20210608,-
2772082,65130895,KNV49_gp26,KNV49_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130896,KNV49_gp25,KNV49_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130897,KNV49_gp24,KNV49_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130898,KNV49_gp23,KNV49_gp23,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2772082,65130899,KNV49_gp22,KNV49_gp22,-,-,-,-,DNA double-strand break repair protein,protein-coding,-,-,-,DNA double-strand break repair protein,20210608,-
2772082,65130900,KNV49_gp21,KNV49_gp21,-,-,-,-,non-ATPase regulatory subunit,protein-coding,-,-,-,non-ATPase regulatory subunit,20210608,-
2772082,65130901,KNV49_gp20,KNV49_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130902,KNV49_gp19,KNV49_gp19,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2772082,65130903,KNV49_gp18,KNV49_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130904,KNV49_gp17,KNV49_gp17,-,-,-,-,flagella-related protein H,protein-coding,-,-,-,flagella-related protein H,20210608,-
2772082,65130905,KNV49_gp16,KNV49_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772082,65130906,KNV49_gp15,KNV49_gp15,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2772082,65130907,KNV49_gp14,KNV49_gp14,-,-,-,-,segregation and condensation protein B,protein-coding,-,-,-,segregation and condensation protein B,20210608,-
2772082,65130908,KNV49_gp01,KNV49_gp01,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2772082,65243555,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
