#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1720493,26628816,AVU05_gp02,AVU05_gp02,-,-,-,-,ATPase [Enterobacteria phage 9g],protein-coding,-,-,-,ATPase [Enterobacteria phage 9g],20201221,-
1720493,26628817,AVU05_gp03,AVU05_gp03,-,-,-,-,ATP-dependent DNA ligase [Enterobacteria phage 9g],protein-coding,-,-,-,ATP-dependent DNA ligase [Enterobacteria phage 9g],20201221,-
1720493,26628818,AVU05_gp04,AVU05_gp04,-,-,-,-,RNAse H [Enterobacteria phage 9g],protein-coding,-,-,-,RNAse H [Enterobacteria phage 9g],20201221,-
1720493,26628819,AVU05_gp05,AVU05_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628820,AVU05_gp06,AVU05_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628821,AVU05_gp07,AVU05_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628822,AVU05_gp08,AVU05_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628823,AVU05_gp09,AVU05_gp09,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase [Erwinia phage vB_EamM-Y2],protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase [Erwinia phage vB_EamM-Y2],20201221,-
1720493,26628824,AVU05_gp10,AVU05_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628825,AVU05_gp11,AVU05_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628826,AVU05_gp12,AVU05_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628827,AVU05_gp13,AVU05_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628828,AVU05_gp14,AVU05_gp14,-,-,-,-,primase [Burkholderia phage KL1],protein-coding,-,-,-,primase [Burkholderia phage KL1],20201221,-
1720493,26628829,AVU05_gp15,AVU05_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628830,AVU05_gp16,AVU05_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628831,AVU05_gp17,AVU05_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628832,AVU05_gp18,AVU05_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628833,AVU05_gp19,AVU05_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628834,AVU05_gp20,AVU05_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628835,AVU05_gp21,AVU05_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628836,AVU05_gp22,AVU05_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628837,AVU05_gp23,AVU05_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628838,AVU05_gp24,AVU05_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628839,AVU05_gp25,AVU05_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628840,AVU05_gp26,AVU05_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628841,AVU05_gp27,AVU05_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628842,AVU05_gp28,AVU05_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628843,AVU05_gp29,AVU05_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628844,AVU05_gp30,AVU05_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628845,AVU05_gp31,AVU05_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628846,AVU05_gp32,AVU05_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628847,AVU05_gp33,AVU05_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628848,AVU05_gp34,AVU05_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628849,AVU05_gp35,AVU05_gp35,-,-,-,-,gp40 [Escherichia phage phiEB49],protein-coding,-,-,-,gp40 [Escherichia phage phiEB49],20201221,-
1720493,26628850,AVU05_gp36,AVU05_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628851,AVU05_gp37,AVU05_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628852,AVU05_gp38,AVU05_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628853,AVU05_gp39,AVU05_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628854,AVU05_gp40,AVU05_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628855,AVU05_gp41,AVU05_gp41,-,-,-,-,terminase large subunit [Enterobacteria phage 9g],protein-coding,-,-,-,terminase large subunit [Enterobacteria phage 9g],20201221,-
1720493,26628856,AVU05_gp42,AVU05_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628857,AVU05_gp43,AVU05_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628858,AVU05_gp44,AVU05_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628859,AVU05_gp45,AVU05_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628860,AVU05_gp46,AVU05_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628861,AVU05_gp47,AVU05_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628862,AVU05_gp48,AVU05_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628863,AVU05_gp49,AVU05_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628864,AVU05_gp50,AVU05_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628865,AVU05_gp51,AVU05_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628866,AVU05_gp52,AVU05_gp52,-,-,-,-,tail subunit [Enterobacteria phage 9g],protein-coding,-,-,-,tail subunit [Enterobacteria phage 9g],20201221,-
1720493,26628867,AVU05_gp53,AVU05_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628868,AVU05_gp54,AVU05_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628869,AVU05_gp55,AVU05_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628870,AVU05_gp56,AVU05_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628871,AVU05_gp57,AVU05_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628872,AVU05_gp58,AVU05_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628873,AVU05_gp59,AVU05_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628874,AVU05_gp60,AVU05_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628875,AVU05_gp61,AVU05_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628876,AVU05_gp62,AVU05_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628877,AVU05_gp63,AVU05_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628878,AVU05_gp64,AVU05_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628879,AVU05_gp65,AVU05_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628880,AVU05_gp66,AVU05_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628881,AVU05_gp67,AVU05_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628882,AVU05_gp68,AVU05_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628883,AVU05_gp69,AVU05_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628884,AVU05_gp70,AVU05_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628885,AVU05_gp71,AVU05_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628886,AVU05_gp72,AVU05_gp72,-,-,-,-,DNA polymerase elongation subunit 1 [Enterobacteria phage 9g],protein-coding,-,-,-,DNA polymerase elongation subunit 1 [Enterobacteria phage 9g],20201221,-
1720493,26628887,AVU05_gp73,AVU05_gp73,-,-,-,-,DNA polymerase beta subunit [Enterobacteria phage 9g],protein-coding,-,-,-,DNA polymerase beta subunit [Enterobacteria phage 9g],20201221,-
1720493,26628888,AVU05_gp74,AVU05_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628889,AVU05_gp75,AVU05_gp75,-,-,-,-,queuosine tRNA-ribosyltransferase [Enterobacteria phage 9g],protein-coding,-,-,-,queuosine tRNA-ribosyltransferase [Enterobacteria phage 9g],20201221,-
1720493,26628890,AVU05_gp76,AVU05_gp76,-,-,-,-,putative endonuclease [Salmonella phage Vi06],protein-coding,-,-,-,putative endonuclease [Salmonella phage Vi06],20201221,-
1720493,26628891,AVU05_gp77,AVU05_gp77,-,-,-,-,GTP cyclohydrolase 1 [Enterobacteria phage 9g],protein-coding,-,-,-,GTP cyclohydrolase 1 [Enterobacteria phage 9g],20201221,-
1720493,26628892,AVU05_gp78,AVU05_gp78,-,-,-,-,"6-carboxy-5,6,7,8-tetrahydropterin synthase [Enterobacteria phage 9g]",protein-coding,-,-,-,"6-carboxy-5,6,7,8-tetrahydropterin synthase [Enterobacteria phage 9g]",20201221,-
1720493,26628893,AVU05_gp79,AVU05_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628894,AVU05_gp80,AVU05_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628895,AVU05_gp81,AVU05_gp81,-,-,-,-,BcepGomrgp35 [Burkholderia phage BcepGomr],protein-coding,-,-,-,BcepGomrgp35 [Burkholderia phage BcepGomr],20201221,-
1720493,26628896,AVU05_gp82,AVU05_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628897,AVU05_gp83,AVU05_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628898,AVU05_gp84,AVU05_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628899,AVU05_gp85,AVU05_gp85,-,-,-,-,organic radical activating enzyme [Enterobacteria phage 9g],protein-coding,-,-,-,organic radical activating enzyme [Enterobacteria phage 9g],20201221,-
1720493,26628900,AVU05_gp86,AVU05_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628901,AVU05_gp87,AVU05_gp87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628902,AVU05_gp88,AVU05_gp88,-,-,-,-,superfamily II DNA/RNA helicase [Enterobacteria phage 9g],protein-coding,-,-,-,superfamily II DNA/RNA helicase [Enterobacteria phage 9g],20201221,-
1720493,26628903,AVU05_gp89,AVU05_gp89,-,-,-,-,HNH endonuclease [Cronobacter phage vB_CsaM_GAP32],protein-coding,-,-,-,HNH endonuclease [Cronobacter phage vB_CsaM_GAP32],20201221,-
1720493,26628904,AVU05_gp90,AVU05_gp90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26628905,AVU05_gp01,AVU05_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1720493,26680981,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
