#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2719209,60334672,2,I5H96_gp02,SEA_VETERAN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
2719209,60334673,3,I5H96_gp03,SEA_VETERAN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210313,-
2719209,60334674,4,I5H96_gp04,SEA_VETERAN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2719209,60334675,5,I5H96_gp05,SEA_VETERAN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210313,-
2719209,60334676,6,I5H96_gp06,SEA_VETERAN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210313,-
2719209,60334677,7,I5H96_gp07,SEA_VETERAN_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2719209,60334678,8,I5H96_gp08,SEA_VETERAN_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2719209,60334679,9,I5H96_gp09,SEA_VETERAN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2719209,60334680,10,I5H96_gp10,SEA_VETERAN_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2719209,60334681,11,I5H96_gp11,SEA_VETERAN_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2719209,60334682,13,I5H96_gp12,SEA_VETERAN_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2719209,60334683,14,I5H96_gp14,SEA_VETERAN_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210313,-
2719209,60334684,12,I5H96_gp13,SEA_VETERAN_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2719209,60334685,15,I5H96_gp15,SEA_VETERAN_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2719209,60334686,16,I5H96_gp16,SEA_VETERAN_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2719209,60334687,17,I5H96_gp17,SEA_VETERAN_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2719209,60334688,18,I5H96_gp18,SEA_VETERAN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2719209,60334689,19,I5H96_gp19,SEA_VETERAN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210313,-
2719209,60334690,20,I5H96_gp20,SEA_VETERAN_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2719209,60334691,21,I5H96_gp21,SEA_VETERAN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334692,22,I5H96_gp22,SEA_VETERAN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334693,23,I5H96_gp23,SEA_VETERAN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334694,24,I5H96_gp24,SEA_VETERAN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334695,25,I5H96_gp25,SEA_VETERAN_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2719209,60334696,26,I5H96_gp26,SEA_VETERAN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334697,27,I5H96_gp27,SEA_VETERAN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334698,28,I5H96_gp28,SEA_VETERAN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334699,29,I5H96_gp29,SEA_VETERAN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334700,30,I5H96_gp30,SEA_VETERAN_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210313,-
2719209,60334701,31,I5H96_gp31,SEA_VETERAN_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2719209,60334702,32,I5H96_gp32,SEA_VETERAN_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2719209,60334703,33,I5H96_gp33,SEA_VETERAN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2719209,60334704,34,I5H96_gp34,SEA_VETERAN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334705,35,I5H96_gp35,SEA_VETERAN_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2719209,60334706,36,I5H96_gp36,SEA_VETERAN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334707,37,I5H96_gp37,SEA_VETERAN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334708,38,I5H96_gp38,SEA_VETERAN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334709,39,I5H96_gp39,SEA_VETERAN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334710,40,I5H96_gp40,SEA_VETERAN_40,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210313,-
2719209,60334711,41,I5H96_gp41,SEA_VETERAN_41,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210129,-
2719209,60334712,42,I5H96_gp42,SEA_VETERAN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334713,43,I5H96_gp43,SEA_VETERAN_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2719209,60334714,44,I5H96_gp44,SEA_VETERAN_44,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210313,-
2719209,60334715,45,I5H96_gp45,SEA_VETERAN_45,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210129,-
2719209,60334716,46,I5H96_gp46,SEA_VETERAN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334717,47,I5H96_gp47,SEA_VETERAN_47,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2719209,60334718,48,I5H96_gp48,SEA_VETERAN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334719,49,I5H96_gp49,SEA_VETERAN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334720,50,I5H96_gp50,SEA_VETERAN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334721,51,I5H96_gp51,SEA_VETERAN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334722,52,I5H96_gp52,SEA_VETERAN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334723,53,I5H96_gp53,SEA_VETERAN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2719209,60334724,54,I5H96_gp54,SEA_VETERAN_54,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210320,-
2719209,60334725,55,I5H96_gp55,SEA_VETERAN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719209,60334726,56,I5H96_gp56,SEA_VETERAN_56,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210320,-
2719209,60334727,57,I5H96_gp57,SEA_VETERAN_57,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210320,-
2719209,60334728,58,I5H96_gp58,SEA_VETERAN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334729,59,I5H96_gp59,SEA_VETERAN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334730,60,I5H96_gp60,SEA_VETERAN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719209,60334731,61,I5H96_gp61,SEA_VETERAN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2719209,60334732,62,I5H96_gp62,SEA_VETERAN_62,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210320,-
2719209,60334733,63,I5H96_gp63,SEA_VETERAN_63,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210320,-
2719209,60334734,64,I5H96_gp64,SEA_VETERAN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719209,60334735,65,I5H96_gp65,SEA_VETERAN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334736,66,I5H96_gp66,SEA_VETERAN_66,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210320,-
2719209,60334737,67,I5H96_gp67,SEA_VETERAN_67,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2719209,60334738,68,I5H96_gp68,SEA_VETERAN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334739,69,I5H96_gp69,SEA_VETERAN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334740,70,I5H96_gp70,SEA_VETERAN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334741,71,I5H96_gp71,SEA_VETERAN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334742,72,I5H96_gp72,SEA_VETERAN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334743,73,I5H96_gp73,SEA_VETERAN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2719209,60334744,74,I5H96_gp74,SEA_VETERAN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334745,75,I5H96_gp75,SEA_VETERAN_75,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2719209,60334746,76,I5H96_gp76,SEA_VETERAN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334747,77,I5H96_gp77,SEA_VETERAN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334748,78,I5H96_gp78,SEA_VETERAN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334749,79,I5H96_gp79,SEA_VETERAN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334750,80,I5H96_gp80,SEA_VETERAN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334751,81,I5H96_gp81,SEA_VETERAN_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334752,82,I5H96_gp82,SEA_VETERAN_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
