#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2029658,55807014,HYP24_gp02,HYP24_gp02,05601_02,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
2029658,55807015,HYP24_gp03,HYP24_gp03,05601_03,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210424,-
2029658,55807016,HYP24_gp04,HYP24_gp04,05601_04,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210424,-
2029658,55807017,HYP24_gp05,HYP24_gp05,05601_05,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20210424,-
2029658,55807018,HYP24_gp06,HYP24_gp06,05601_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2029658,55807019,HYP24_gp07,HYP24_gp07,05601_07,-,-,-,structural protein 1,protein-coding,-,-,-,structural protein 1,20200704,-
2029658,55807020,HYP24_gp08,HYP24_gp08,05601_08,-,-,-,structural protein 2,protein-coding,-,-,-,structural protein 2,20200704,-
2029658,55807021,HYP24_gp09,HYP24_gp09,05601_09,-,-,-,structural protein 3,protein-coding,-,-,-,structural protein 3,20200704,-
2029658,55807022,HYP24_gp10,HYP24_gp10,05601_10,-,-,-,structural protein 4,protein-coding,-,-,-,structural protein 4,20200704,-
2029658,55807023,HYP24_gp11,HYP24_gp11,05601_11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210424,-
2029658,55807024,HYP24_gp12,HYP24_gp12,05601_12,-,-,-,structural protein 5,protein-coding,-,-,-,structural protein 5,20200704,-
2029658,55807025,HYP24_gp13,HYP24_gp13,05601_13,-,-,-,structural protein 6,protein-coding,-,-,-,structural protein 6,20200704,-
2029658,55807026,HYP24_gp14,HYP24_gp14,05601_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2029658,55807027,HYP24_gp15,HYP24_gp15,05601_15,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210424,-
2029658,55807028,HYP24_gp16,HYP24_gp16,05601_16,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210424,-
2029658,55807029,HYP24_gp17,HYP24_gp17,05601_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807030,HYP24_gp18,HYP24_gp18,05601_18,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20210424,-
2029658,55807031,HYP24_gp19,HYP24_gp19,05601_19,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200704,-
2029658,55807032,HYP24_gp20,HYP24_gp20,05601_20,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20210424,-
2029658,55807033,HYP24_gp21,HYP24_gp21,05601_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2029658,55807034,HYP24_gp22,HYP24_gp22,05601_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807035,HYP24_gp23,HYP24_gp23,05601_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807036,HYP24_gp24,HYP24_gp24,05601_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807037,HYP24_gp25,HYP24_gp25,05601_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807038,HYP24_gp26,HYP24_gp26,05601_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807039,HYP24_gp27,HYP24_gp27,05601_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807040,HYP24_gp28,HYP24_gp28,05601_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807041,HYP24_gp29,HYP24_gp29,05601_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807042,HYP24_gp30,HYP24_gp30,05601_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807043,HYP24_gp31,HYP24_gp31,05601_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807044,HYP24_gp32,HYP24_gp32,05601_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807045,HYP24_gp33,HYP24_gp33,05601_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807046,HYP24_gp34,HYP24_gp34,05601_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2029658,55807047,HYP24_gp35,HYP24_gp35,05601_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807048,HYP24_gp36,HYP24_gp36,05601_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807049,HYP24_gp37,HYP24_gp37,05601_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2029658,55807050,HYP24_gp38,HYP24_gp38,05601_38,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
2029658,55807051,HYP24_gp39,HYP24_gp39,05601_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807052,HYP24_gp40,HYP24_gp40,05601_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807053,HYP24_gp41,HYP24_gp41,05601_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807054,HYP24_gp42,HYP24_gp42,05601_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807055,HYP24_gp43,HYP24_gp43,05601_43,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210424,-
2029658,55807056,HYP24_gp44,HYP24_gp44,05601_44,-,-,-,Sak protein,protein-coding,-,-,-,Sak protein,20210424,-
2029658,55807057,HYP24_gp45,HYP24_gp45,05601_45,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210424,-
2029658,55807058,HYP24_gp46,HYP24_gp46,05601_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807059,HYP24_gp47,HYP24_gp47,05601_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807060,HYP24_gp48,HYP24_gp48,05601_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807061,HYP24_gp49,HYP24_gp49,05601_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807062,HYP24_gp50,HYP24_gp50,05601_50,-,-,-,putative DNA polymerase subunit,protein-coding,-,-,-,putative DNA polymerase subunit,20210424,-
2029658,55807063,HYP24_gp51,HYP24_gp51,05601_51,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
2029658,55807064,HYP24_gp52,HYP24_gp52,05601_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807065,HYP24_gp53,HYP24_gp53,05601_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807066,HYP24_gp54,HYP24_gp54,05601_54,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210406,-
2029658,55807067,HYP24_gp55,HYP24_gp55,05601_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2029658,55807068,HYP24_gp56,HYP24_gp56,05601_56,-,-,-,middle expressed protein 1,protein-coding,-,-,-,middle expressed protein 1,20200704,-
2029658,55807069,HYP24_gp57,HYP24_gp57,05601_57,-,-,-,middle expressed protein 2,protein-coding,-,-,-,middle expressed protein 2,20200704,-
2029658,55807070,HYP24_gp58,HYP24_gp58,05601_58,-,-,-,RucV-like holliday junction endonuclease,protein-coding,-,-,-,RucV-like holliday junction endonuclease,20210424,-
2029658,55807071,HYP24_gp59,HYP24_gp59,05601_59,-,-,-,middle expressed protein 4,protein-coding,-,-,-,middle expressed protein 4,20200704,-
2029658,55807072,HYP24_gp01,HYP24_gp01,05601_01,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210424,-
2029658,55863461,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
