#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10726,2777497,D3,T5.113,-,-,-,-,D3 protein,protein-coding,-,-,-,D3 protein,20201220,-
10726,2777498,T5.114,T5.114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777499,T5.115,T5.115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
10726,2777500,ligA,T5.116,D4,-,-,-,"NAD-dependent DNA ligase, subunit A",protein-coding,-,-,-,"NAD-dependent DNA ligase, subunit A",20210417,-
10726,2777501,T5.134,T5.134,orf123aa,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777502,T5.053,T5.053,ORF24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777503,hegE,T5.051,-,-,-,-,H-N-H-endonuclease F-TflV,protein-coding,-,-,-,H-N-H-endonuclease F-TflV,20201220,-
10726,2777504,T5.052,T5.052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777505,T5.038,T5.038,orf8c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777506,rnaIII,T5s01,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200908,-
10726,2777507,rnaI,T5s02,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200908,-
10726,2777508,T5.014,T5.014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777509,T5.008,T5.008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777510,T5.069,T5.069,ORF172 aa|ORF9|trn2.8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777511,T5.066,T5.066,ORF12|trn2.11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777512,rna2H,T5s04,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200908,-
10726,2777513,T5.076,T5.076,ORF2|trn2.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777514,T5.077,T5.077,ORF3c-ORF4c|orf321aa,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
