#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
365048,5179246,GPGV1_gp37,GPGV1_gp37,-,-,-,-,late competence protein,protein-coding,-,-,-,late competence protein,20200629,-
365048,5179247,GPGV1_gp36,GPGV1_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179248,GPGV1_gp35,GPGV1_gp35,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200629,-
365048,5179249,GPGV1_gp34,GPGV1_gp34,-,-,-,-,phage-related lysis protein,protein-coding,-,-,-,phage-related lysis protein,20200629,-
365048,5179250,GPGV1_gp33,GPGV1_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179251,GPGV1_gp32,GPGV1_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179253,GPGV1_gp30,GPGV1_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179254,GPGV1_gp29,GPGV1_gp29,-,-,-,-,TMP repeat protein,protein-coding,-,-,-,TMP repeat protein,20200629,-
365048,5179255,GPGV1_gp28,GPGV1_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179256,GPGV1_gp27,GPGV1_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179257,GPGV1_gp26,GPGV1_gp26,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
365048,5179258,GPGV1_gp25,GPGV1_gp25,-,-,-,-,aminopeptidase,protein-coding,-,-,-,aminopeptidase,20200629,-
365048,5179259,GPGV1_gp24,GPGV1_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179260,GPGV1_gp23,GPGV1_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179261,GPGV1_gp22,GPGV1_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179262,GPGV1_gp21,GPGV1_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179263,GPGV1_gp20,GPGV1_gp20,-,-,-,-,phage major capsid protein,protein-coding,-,-,-,phage major capsid protein,20200629,-
365048,5179264,GPGV1_gp19,GPGV1_gp19,-,-,-,-,phage prohead,protein-coding,-,-,-,phage prohead,20200629,-
365048,5179265,GPGV1_gp18,GPGV1_gp18,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20200629,-
365048,5179266,GPGV1_gp17,GPGV1_gp17,-,-,-,-,phage terminase,protein-coding,-,-,-,phage terminase,20200629,-
365048,5179267,GPGV1_gp16,GPGV1_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179268,GPGV1_gp15,GPGV1_gp15,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
365048,5179269,GPGV1_gp14,GPGV1_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179270,GPGV1_gp13,GPGV1_gp13,-,-,-,-,GepA protein,protein-coding,-,-,-,GepA protein,20200629,-
365048,5179271,GPGV1_gp12,GPGV1_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179272,GPGV1_gp11,GPGV1_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179273,GPGV1_gp10,GPGV1_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179274,GPGV1_gp09,GPGV1_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179275,GPGV1_gp08,GPGV1_gp08,-,-,-,-,putative recombination protein U,protein-coding,-,-,-,putative recombination protein U,20200629,-
365048,5179276,GPGV1_gp01,GPGV1_gp01,-,-,-,-,YqaJ,protein-coding,-,-,-,YqaJ|viral recombinase,20200629,-
365048,5179277,GPGV1_gp02,GPGV1_gp02,-,-,-,-,DNA-binding phage-related protein,protein-coding,-,-,-,DNA-binding phage-related protein,20200629,-
365048,5179278,GPGV1_gp03,GPGV1_gp03,-,-,-,-,phage replication protein,protein-coding,-,-,-,phage replication protein,20200629,-
