#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591131,55618634,2,HWC38_gp02,SEA_SLEEPYHEAD_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2591131,55618635,3,HWC38_gp03,SEA_SLEEPYHEAD_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2591131,55618636,4,HWC38_gp04,SEA_SLEEPYHEAD_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200620,-
2591131,55618637,5,HWC38_gp05,SEA_SLEEPYHEAD_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200620,-
2591131,55618638,6,HWC38_gp06,SEA_SLEEPYHEAD_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2591131,55618639,7,HWC38_gp07,SEA_SLEEPYHEAD_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618640,8,HWC38_gp08,SEA_SLEEPYHEAD_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200620,-
2591131,55618641,9,HWC38_gp09,SEA_SLEEPYHEAD_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200620,-
2591131,55618642,10,HWC38_gp10,SEA_SLEEPYHEAD_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618643,11,HWC38_gp11,SEA_SLEEPYHEAD_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618644,12,HWC38_gp12,SEA_SLEEPYHEAD_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200620,-
2591131,55618645,13,HWC38_gp13,SEA_SLEEPYHEAD_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
