#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713281,55817383,HYQ32_gp002,HYQ32_gp002,bering_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210320,-
2713281,55817384,HYQ32_gp003,HYQ32_gp003,bering_3,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200910,-
2713281,55817385,HYQ32_gp004,HYQ32_gp004,bering_4,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713281,55817386,HYQ32_gp005,HYQ32_gp005,bering_5,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20200910,-
2713281,55817387,HYQ32_gp006,HYQ32_gp006,bering_6,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210306,-
2713281,55817388,HYQ32_gp007,HYQ32_gp007,bering_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713281,55817389,HYQ32_gp008,HYQ32_gp008,bering_8,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210320,-
2713281,55817390,HYQ32_gp009,HYQ32_gp009,bering_9,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210320,-
2713281,55817391,HYQ32_gp010,HYQ32_gp010,bering_10,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713281,55817392,HYQ32_gp011,HYQ32_gp011,bering_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817393,HYQ32_gp012,HYQ32_gp012,bering_12,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713281,55817394,HYQ32_gp013,HYQ32_gp013,bering_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817395,HYQ32_gp014,HYQ32_gp014,bering_14,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713281,55817396,HYQ32_gp015,HYQ32_gp015,bering_15,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210129,-
2713281,55817397,HYQ32_gp016,HYQ32_gp016,bering_16,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200926,-
2713281,55817398,HYQ32_gp017,HYQ32_gp017,bering_17,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210320,-
2713281,55817399,HYQ32_gp018,HYQ32_gp018,bering_18,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210320,-
2713281,55817400,HYQ32_gp019,HYQ32_gp019,bering_19,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210403,-
2713281,55817401,HYQ32_gp020,HYQ32_gp020,bering_20,-,-,-,putative GIY-YIG endonuclease,protein-coding,-,-,-,putative GIY-YIG endonuclease,20210327,-
2713281,55817402,HYQ32_gp021,HYQ32_gp021,bering_21,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200926,-
2713281,55817403,HYQ32_gp022,HYQ32_gp022,bering_22,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20210403,-
2713281,55817404,HYQ32_gp023,HYQ32_gp023,bering_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817405,HYQ32_gp024,HYQ32_gp024,bering_24,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20200910,-
2713281,55817406,HYQ32_gp025,HYQ32_gp025,bering_25,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20210327,-
2713281,55817407,HYQ32_gp026,HYQ32_gp026,bering_26,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210320,-
2713281,55817408,HYQ32_gp027,HYQ32_gp027,bering_27,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210116,-
2713281,55817409,HYQ32_gp028,HYQ32_gp028,bering_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817410,HYQ32_gp029,HYQ32_gp029,bering_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817411,HYQ32_gp030,HYQ32_gp030,bering_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817412,HYQ32_gp031,HYQ32_gp031,bering_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817413,HYQ32_gp032,HYQ32_gp032,bering_32,-,-,-,nucleotide-binding protein,protein-coding,-,-,-,nucleotide-binding protein,20200910,-
2713281,55817414,HYQ32_gp033,HYQ32_gp033,bering_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817415,HYQ32_gp034,HYQ32_gp034,bering_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817416,HYQ32_gp035,HYQ32_gp035,bering_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817417,HYQ32_gp036,HYQ32_gp036,bering_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817418,HYQ32_gp037,HYQ32_gp037,bering_37,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20210403,-
2713281,55817419,HYQ32_gp038,HYQ32_gp038,bering_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817420,HYQ32_gp039,HYQ32_gp039,bering_39,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713281,55817421,HYQ32_gp040,HYQ32_gp040,bering_40,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713281,55817422,HYQ32_gp041,HYQ32_gp041,bering_41,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210116,-
2713281,55817423,HYQ32_gp042,HYQ32_gp042,bering_42,-,-,-,putative DNA repair/recombination protein,protein-coding,-,-,-,putative DNA repair/recombination protein,20210313,-
2713281,55817424,HYQ32_gp043,HYQ32_gp043,bering_43,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210313,-
2713281,55817425,HYQ32_gp044,HYQ32_gp044,bering_44,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210116,-
2713281,55817426,HYQ32_gp045,HYQ32_gp045,bering_45,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20210116,-
2713281,55817427,HYQ32_gp046,HYQ32_gp046,bering_46,-,-,-,sliding clamp protein,protein-coding,-,-,-,sliding clamp protein,20200919,-
2713281,55817428,HYQ32_gp047,HYQ32_gp047,bering_47,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20200919,-
2713281,55817429,HYQ32_gp048,HYQ32_gp048,bering_48,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210403,-
2713281,55817430,HYQ32_gp049,HYQ32_gp049,bering_49,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200919,-
2713281,55817431,HYQ32_gp050,HYQ32_gp050,bering_50,-,-,-,nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,nucleoside triphosphate pyrophosphohydrolase,20210403,-
2713281,55817432,HYQ32_gp051,HYQ32_gp051,bering_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713281,55817433,HYQ32_gp052,HYQ32_gp052,bering_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817434,HYQ32_gp053,HYQ32_gp053,bering_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713281,55817435,HYQ32_gp054,HYQ32_gp054,bering_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817436,HYQ32_gp055,HYQ32_gp055,bering_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713281,55817437,HYQ32_gp056,HYQ32_gp056,bering_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713281,55817438,HYQ32_gp057,HYQ32_gp057,bering_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817439,HYQ32_gp058,HYQ32_gp058,bering_58,-,-,-,putative vWa containing protein,protein-coding,-,-,-,putative vWa containing protein,20210320,-
2713281,55817440,HYQ32_gp059,HYQ32_gp059,bering_59,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20210320,-
2713281,55817441,HYQ32_gp060,HYQ32_gp060,bering_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817442,HYQ32_gp061,HYQ32_gp061,bering_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817443,HYQ32_gp062,HYQ32_gp062,bering_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817444,HYQ32_gp063,HYQ32_gp063,bering_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817445,HYQ32_gp064,HYQ32_gp064,bering_64,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713281,55817446,HYQ32_gp065,HYQ32_gp065,bering_65,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
2713281,55817447,HYQ32_gp066,HYQ32_gp066,bering_66,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713281,55817448,HYQ32_gp067,HYQ32_gp067,bering_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817449,HYQ32_gp068,HYQ32_gp068,bering_68,-,-,-,ImpD,protein-coding,-,-,-,ImpD,20200910,-
2713281,55817450,HYQ32_gp069,HYQ32_gp069,bering_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817451,HYQ32_gp070,HYQ32_gp070,bering_70,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20210320,-
2713281,55817452,HYQ32_gp071,HYQ32_gp071,bering_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713281,55817453,HYQ32_gp072,HYQ32_gp072,bering_72,-,-,-,SPFH domain band 7 family protein,protein-coding,-,-,-,SPFH domain band 7 family protein,20200910,-
2713281,55817454,HYQ32_gp073,HYQ32_gp073,bering_73,-,-,-,SPFH domain band 7 family protein,protein-coding,-,-,-,SPFH domain band 7 family protein,20210320,-
2713281,55817455,HYQ32_gp074,HYQ32_gp074,bering_74,-,-,-,DNA-binding family protein,protein-coding,-,-,-,DNA-binding family protein,20210129,-
2713281,55817456,HYQ32_gp075,HYQ32_gp075,bering_75,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210320,-
2713281,55817457,HYQ32_gp076,HYQ32_gp076,bering_76,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713281,55817458,HYQ32_gp077,HYQ32_gp077,bering_77,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20210320,-
2713281,55817459,HYQ32_gp078,HYQ32_gp078,bering_78,-,-,-,sigma factor involved in late transcription,protein-coding,-,-,-,sigma factor involved in late transcription,20200919,-
2713281,55817460,HYQ32_gp079,HYQ32_gp079,bering_79,-,-,-,recombination protein subunit,protein-coding,-,-,-,recombination protein subunit,20210320,-
2713281,55817461,HYQ32_gp080,HYQ32_gp080,bering_80,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210320,-
2713281,55817462,HYQ32_gp081,HYQ32_gp081,bering_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2713281,55817463,HYQ32_gp082,HYQ32_gp082,bering_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817464,HYQ32_gp083,HYQ32_gp083,bering_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817465,HYQ32_gp084,HYQ32_gp084,bering_84,-,-,-,protein RegB,protein-coding,-,-,-,protein RegB,20200910,-
2713281,55817466,HYQ32_gp085,HYQ32_gp085,bering_85,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
