#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
185431,2828229,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Trypanosoma brucei TREU927; Trypanosoma brucei brucei strain 927/4 GUTat10.1; Trypanosoma brucei strain TREU927).,other,-,-,-,-,20200224,-
185431,3655286,Tb927.2.100,Tb927.2.100,3B10.5,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655291,Tb927.2.150,Tb927.2.150,3B10.30,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655292,Tb927.2.160,Tb927.2.160,3B10.35,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655293,Tb927.2.170,Tb927.2.170,3B10.40,-,2,-,"leucine-rich repeat protein (LRRP), putative",protein-coding,-,-,-,"leucine-rich repeat protein (LRRP), putative",20200919,-
185431,3655296,Tb927.2.200,Tb927.2.200,3B10.55,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655298,Tb927.2.220,Tb927.2.220,3B10.65,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655300,Tb927.2.240,Tb927.2.240,3B10.75,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655303,Tb927.2.270,Tb927.2.270,3B10.90,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655304,Tb927.2.280,Tb927.2.280,3B10.95,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655306,Tb927.2.300,Tb927.2.300,3B10.105,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655310,Tb927.2.340,Tb927.2.340,3B10.125,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655313,Tb927.2.370,Tb927.2.370,3B10.140,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655314,Tb927.2.380,Tb927.2.380,3B10.145,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655316,Tb927.2.400,Tb927.2.400,3B10.155,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655318,Tb927.2.420,Tb927.2.420,3B10.165,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655321,Tb927.2.450,Tb927.2.450,3B10.180,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655322,Tb927.2.460,Tb927.2.460,3B10.185,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655323,Tb927.2.470,Tb927.2.470,3B10.190,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
