#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698712,26640677,POPTART_2,POPTART_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1698712,26640678,POPTART_3,POPTART_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1698712,26640679,POPTART_4,POPTART_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1698712,26640680,POPTART_5,POPTART_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1698712,26640681,POPTART_6,POPTART_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1698712,26640682,POPTART_7,POPTART_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1698712,26640683,POPTART_8,POPTART_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1698712,26640684,POPTART_9,POPTART_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1698712,26640685,POPTART_10,POPTART_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1698712,26640686,POPTART_11,POPTART_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1698712,26640687,POPTART_13,POPTART_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1698712,26640688,POPTART_14,POPTART_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
1698712,26640689,POPTART_12,POPTART_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1698712,26640690,POPTART_15,POPTART_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698712,26640691,POPTART_16,POPTART_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698712,26640692,POPTART_17,POPTART_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698712,26640693,POPTART_18,POPTART_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698712,26640694,POPTART_19,POPTART_19,-,-,-,-,D-ala-D-ala-decarboxylase,protein-coding,-,-,-,D-ala-D-ala-decarboxylase,20210424,-
1698712,26640695,POPTART_20,POPTART_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698712,26640696,POPTART_21,POPTART_21,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698712,26640697,POPTART_22,POPTART_22,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698712,26640698,POPTART_23,POPTART_23,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698712,26640699,POPTART_24,POPTART_24,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698712,26640700,POPTART_25,POPTART_25,-,-,-,-,helix-turn-helix DNA binding domain,protein-coding,-,-,-,helix-turn-helix DNA binding domain,20210424,-
1698712,26640701,POPTART_26,POPTART_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640702,POPTART_27,POPTART_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640703,POPTART_28,POPTART_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
