#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
139871,5839459,LJ771_010,LJ771_010,-,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20200629,-
139871,5839460,LJ771_033,LJ771_033,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20200629,-
139871,5839461,LJ771_032,LJ771_032,-,-,-,-,scaffolding protein SbcC-like protein,protein-coding,-,-,-,scaffolding protein SbcC-like protein,20200629,-
139871,5839462,LJ771_041,LJ771_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839463,LJ771_049,LJ771_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839464,LJ771_020,LJ771_020,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201220,-
139871,5839465,LJ771_046,LJ771_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
139871,5839466,LJ771_009,LJ771_009,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201220,-
139871,5839467,LJ771_035,LJ771_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839468,LJ771_039,LJ771_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839469,LJ771_054,LJ771_054,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210417,-
139871,5839470,LJ771_053,LJ771_053,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
139871,5839471,LJ771_011,LJ771_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839472,LJ771_044,LJ771_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839473,Maz_055,LJ771_055,-,-,-,-,Maz-like protein,protein-coding,-,-,-,Maz-like protein,20200629,-
139871,5839474,LJ771_045,LJ771_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839476,LJ771_016,LJ771_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839477,LJ771_042,LJ771_042,-,-,-,-,minor tail protein gp26-like protein,protein-coding,-,-,-,minor tail protein gp26-like protein,20200629,-
139871,5839478,LJ771_028,LJ771_028,-,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20200629,-
139871,5839479,LJ771_007,LJ771_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839480,LJ771_050,LJ771_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839481,LJ771_052,LJ771_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839482,LJ771_051,LJ771_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839483,LJ771_021,LJ771_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839484,LJ771_001,LJ771_001,-,-,-,-,integrase XerC-like protein,protein-coding,-,-,-,integrase XerC-like protein,20200629,-
139871,5839485,LJ771_017,LJ771_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839486,LJ771_023,LJ771_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839487,LJ771_005,LJ771_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839488,LJ771_031,LJ771_031,-,-,-,-,minor head protein,protein-coding,-,-,-,minor head protein,20200629,-
139871,5839489,LJ771_038,LJ771_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839490,LJ771_012,LJ771_012,-,-,-,-,anti-repressor,protein-coding,-,-,-,anti-repressor,20200629,-
139871,5839491,LJ771_030,LJ771_030,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
139871,5839492,LJ771_037,LJ771_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839493,LJ771_025,LJ771_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839494,LJ771_024,LJ771_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839495,LJ771_008,LJ771_008,-,-,-,-,DUF1351 domain-containing protein,protein-coding,-,-,-,DUF1351 domain-containing protein,20201220,-
139871,5839496,LJ771_019,LJ771_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839497,LJ771_004,LJ771_004,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
139871,5839498,LJ771_034,LJ771_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839499,LJ771_002,LJ771_002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839500,LJ771_040,LJ771_040,-,-,-,-,sheath tail protein,protein-coding,-,-,-,sheath tail protein,20200629,-
139871,5839501,LJ771_048,LJ771_048,-,-,-,-,DUF2313 domain-containing protein,protein-coding,-,-,-,DUF2313 domain-containing protein,20201220,-
139871,5839502,LJ771_022,LJ771_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839503,LJ771_036,LJ771_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839504,MazF_056,LJ771_056,-,-,-,-,MazF-like protein,protein-coding,-,-,-,MazF-like protein,20200629,-
139871,5839505,LJ771_043,LJ771_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839506,LJ771_027,LJ771_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839507,LJ771_003,LJ771_003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
139871,5839508,LJ771_026,LJ771_026,-,-,-,-,putative adenine methyltransferase,protein-coding,-,-,-,putative adenine methyltransferase,20200629,-
139871,5839509,LJ771_014,LJ771_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839510,LJ771_006,LJ771_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839511,LJ771_047,LJ771_047,-,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20201220,-
139871,5839512,LJ771_018,LJ771_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839513,LJ771_029,LJ771_029,-,-,-,-,putative phage terminase large subunit B,protein-coding,-,-,-,putative phage terminase large subunit B,20200629,-
139871,5839514,LJ771_015,LJ771_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5839515,LJ771_013,LJ771_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
139871,5845959,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactobacillus johnsonii prophage Lj771).,other,-,-,-,-,20200513,-
