#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1864622,29064908,BI096_gp64,BI096_gp64,-,-,-,-,putative integrase,pseudo,-,-,-,-,20201221,-
1864622,29064909,BI096_gp02,BI096_gp02,-,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201221,-
1864622,29064910,BI096_gp03,BI096_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064911,BI096_gp04,BI096_gp04,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1864622,29064912,BI096_gp05,BI096_gp05,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
1864622,29064913,BI096_gp06,BI096_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064914,BI096_gp07,BI096_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064915,BI096_gp08,BI096_gp08,-,-,-,-,putative head-tail attachment protein,protein-coding,-,-,-,putative head-tail attachment protein,20201221,-
1864622,29064916,BI096_gp09,BI096_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064917,BI096_gp10,BI096_gp10,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201221,-
1864622,29064918,BI096_gp11,BI096_gp11,-,-,-,-,putative baseplate assembly protein V,protein-coding,-,-,-,putative baseplate assembly protein V,20201221,-
1864622,29064919,BI096_gp12,BI096_gp12,-,-,-,-,putative baseplate assembly protein W,protein-coding,-,-,-,putative baseplate assembly protein W,20201221,-
1864622,29064920,BI096_gp13,BI096_gp13,-,-,-,-,putative baseplate J-like protein,protein-coding,-,-,-,putative baseplate J-like protein,20201221,-
1864622,29064921,BI096_gp14,BI096_gp14,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1864622,29064922,BI096_gp15,BI096_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064923,BI096_gp16,BI096_gp16,-,-,-,-,putative tail-collar fiber protein,protein-coding,-,-,-,putative tail-collar fiber protein,20201221,-
1864622,29064924,BI096_gp17,BI096_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064925,BI096_gp18,BI096_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064927,BI096_gp20,BI096_gp20,-,-,-,-,putative tail sheath protein,protein-coding,-,-,-,putative tail sheath protein,20201221,-
1864622,29064928,BI096_gp21,BI096_gp21,-,-,-,-,putative tail tube protein,protein-coding,-,-,-,putative tail tube protein,20201221,-
1864622,29064929,BI096_gp22,BI096_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064930,BI096_gp23,BI096_gp23,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20201221,-
1864622,29064931,BI096_gp24,BI096_gp24,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1864622,29064932,BI096_gp25,BI096_gp25,-,-,-,-,putative tail protein X,protein-coding,-,-,-,putative tail protein X,20201221,-
1864622,29064933,BI096_gp26,BI096_gp26,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201221,-
1864622,29064934,BI096_gp27,BI096_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064935,BI096_gp28,BI096_gp28,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20201221,-
1864622,29064936,BI096_gp29,BI096_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064937,BI096_gp30,BI096_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064938,BI096_gp31,BI096_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064939,BI096_gp32,BI096_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064940,BI096_gt01,BI096_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20201221,-
1864622,29064941,BI096_gp63,BI096_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064942,BI096_gp62,BI096_gp62,-,-,-,-,putative single-stranded DNA-binding protein,protein-coding,-,-,-,putative single-stranded DNA-binding protein,20201221,-
1864622,29064943,BI096_gp61,BI096_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064944,BI096_gp60,BI096_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064945,BI096_gp59,BI096_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064946,BI096_gp58,BI096_gp58,-,-,-,-,putative MerR family transcription regulator,protein-coding,-,-,-,putative MerR family transcription regulator,20201221,-
1864622,29064947,BI096_gp57,BI096_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064948,BI096_gp56,BI096_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064949,BI096_gp55,BI096_gp55,-,-,-,-,putative DNA binding helix-turn helix protein,protein-coding,-,-,-,putative DNA binding helix-turn helix protein,20201221,-
1864622,29064950,BI096_gp54,BI096_gp54,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1864622,29064951,BI096_gp53,BI096_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064952,BI096_gp52,BI096_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064953,BI096_gp51,BI096_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064955,BI096_gp49,BI096_gp49,-,-,-,-,putative VRR-NUC domain-containing protein,protein-coding,-,-,-,putative VRR-NUC domain-containing protein,20201221,-
1864622,29064956,BI096_gp48,BI096_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064957,BI096_gp47,BI096_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064958,BI096_gp46,BI096_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064959,BI096_gp45,BI096_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064960,BI096_gp44,BI096_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064961,BI096_gp43,BI096_gp43,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20201221,-
1864622,29064962,BI096_gp42,BI096_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064963,BI096_gp41,BI096_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064964,BI096_gp40,BI096_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064965,BI096_gp39,BI096_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064966,BI096_gp38,BI096_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064967,BI096_gp37,BI096_gp37,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1864622,29064968,BI096_gp36,BI096_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064969,BI096_gp35,BI096_gp35,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1864622,29064970,BI096_gp34,BI096_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064971,BI096_gp33,BI096_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1864622,29064972,BI096_gp01,BI096_gp01,-,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20201221,-
1864622,29139972,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201028,-
