#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444878,10328116,gp33,Syn33_232,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200629,-
444878,10328117,Syn33_231,Syn33_231,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
444878,10328118,phoH,Syn33_230,-,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20210129,-
444878,10328119,Syn33_229,Syn33_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328120,Syn33_228,Syn33_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328121,td,Syn33_227,-,-,-,-,Td thymidylate synthetase,protein-coding,-,-,-,Td thymidylate synthetase,20200629,-
444878,10328122,Syn33_226,Syn33_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328123,Syn33_225,Syn33_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328124,Syn33_224,Syn33_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444878,10328125,nrdC,Syn33_223,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200629,-
444878,10328126,Syn33_222,Syn33_222,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200629,-
444878,10328127,Syn33_221,Syn33_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328128,Syn33_220,Syn33_220,-,-,-,-,PA14 domain-containing protein,protein-coding,-,-,-,PA14 domain-containing protein,20200629,-
444878,10328129,purM,Syn33_219,-,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20200629,-
444878,10328130,Syn33_218,Syn33_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328131,Syn33_217,Syn33_217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328132,Syn33_216,Syn33_216,-,-,-,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,protein-coding,-,-,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,20200629,-
444878,10328133,psbD,Syn33_215,-,-,-,-,photosystem II D2 protein,protein-coding,-,-,-,photosystem II D2 protein,20200629,-
444878,10328134,Syn33_214,Syn33_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328135,psbA,Syn33_213,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20200629,-
444878,10328136,Syn33_212,Syn33_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444878,10328137,Syn33_211,Syn33_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328138,hli03,Syn33_210,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200629,-
444878,10328139,hli03,Syn33_209,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200629,-
444878,10328140,Syn33_208,Syn33_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444878,10328141,Syn33_207,Syn33_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328142,Syn33_206,Syn33_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328143,Syn33_205,Syn33_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328144,gp59,Syn33_001,-,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20210129,-
444878,10328145,Syn33_203,Syn33_203,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444878,10328146,Syn33_202,Syn33_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328147,Syn33_201,Syn33_201,-,-,-,-,NAD synthetase,protein-coding,-,-,-,NAD synthetase,20200629,-
444878,10328148,Syn33_200,Syn33_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328149,Syn33_199,Syn33_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
