#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419950,55006498,2,HOU47_gp02,PBI_CONSTANCE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419950,55006499,3,HOU47_gp03,PBI_CONSTANCE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2419950,55006500,4,HOU47_gp04,PBI_CONSTANCE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2419950,55006501,5,HOU47_gp05,PBI_CONSTANCE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2419950,55006502,6,HOU47_gp06,PBI_CONSTANCE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2419950,55006503,7,HOU47_gp07,PBI_CONSTANCE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006504,8,HOU47_gp08,PBI_CONSTANCE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006505,9,HOU47_gp09,PBI_CONSTANCE_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2419950,55006506,10,HOU47_gp10,PBI_CONSTANCE_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
2419950,55006507,11,HOU47_gp11,PBI_CONSTANCE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006508,12,HOU47_gp12,PBI_CONSTANCE_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
2419950,55006509,13,HOU47_gp13,PBI_CONSTANCE_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006510,14,HOU47_gp14,PBI_CONSTANCE_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2419950,55006511,16,HOU47_gp15,PBI_CONSTANCE_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419950,55006512,17,HOU47_gp17,PBI_CONSTANCE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006513,15,HOU47_gp16,PBI_CONSTANCE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419950,55006514,18,HOU47_gp18,PBI_CONSTANCE_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2419950,55006515,19,HOU47_gp19,PBI_CONSTANCE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419950,55006516,20,HOU47_gp20,PBI_CONSTANCE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419950,55006517,21,HOU47_gp21,PBI_CONSTANCE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419950,55006518,22,HOU47_gp22,PBI_CONSTANCE_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419950,55006519,23,HOU47_gp23,PBI_CONSTANCE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006520,24,HOU47_gp24,PBI_CONSTANCE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006521,25,HOU47_gp25,PBI_CONSTANCE_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2419950,55006522,26,HOU47_gp26,PBI_CONSTANCE_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2419950,55006523,27,HOU47_gp27,PBI_CONSTANCE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006524,28,HOU47_gp28,PBI_CONSTANCE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006525,29,HOU47_gp29,PBI_CONSTANCE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006526,30,HOU47_gp30,PBI_CONSTANCE_30,-,-,-,lipase,protein-coding,-,-,-,lipase,20210403,-
2419950,55006527,31,HOU47_gp31,PBI_CONSTANCE_31,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
