#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041207,64471139,KGG78_gp02,KGG78_gp02,SEA_DIANE_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2041207,64471140,KGG78_gp03,KGG78_gp03,SEA_DIANE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041207,64471141,KGG78_gp04,KGG78_gp04,SEA_DIANE_4,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210505,-
2041207,64471142,KGG78_gp05,KGG78_gp05,SEA_DIANE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041207,64471143,KGG78_gp06,KGG78_gp06,SEA_DIANE_6,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210505,-
2041207,64471144,KGG78_gp07,KGG78_gp07,SEA_DIANE_7,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210505,-
2041207,64471145,KGG78_gp08,KGG78_gp08,SEA_DIANE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041207,64471146,KGG78_gp09,KGG78_gp09,SEA_DIANE_9,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210505,-
2041207,64471147,KGG78_gp10,KGG78_gp10,SEA_DIANE_10,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2041207,64471148,KGG78_gp11,KGG78_gp11,SEA_DIANE_11,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210505,-
2041207,64471149,KGG78_gp12,KGG78_gp12,SEA_DIANE_12,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210505,-
2041207,64471150,KGG78_gp13,KGG78_gp13,SEA_DIANE_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041207,64471151,KGG78_gp14,KGG78_gp14,SEA_DIANE_14,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210505,-
2041207,64471152,KGG78_gp15,KGG78_gp15,SEA_DIANE_15,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
