#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2712958,55628279,HWD17_gp002,HWD17_gp002,CPT_Privateer_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2712958,55628280,HWD17_gp003,HWD17_gp003,CPT_Privateer_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628281,HWD17_gp004,HWD17_gp004,CPT_Privateer_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628282,HWD17_gp005,HWD17_gp005,CPT_Privateer_006,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210129,-
2712958,55628283,HWD17_gp007,HWD17_gp007,CPT_Privateer_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628284,HWD17_gp006,HWD17_gp006,CPT_Privateer_005,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210129,-
2712958,55628285,HWD17_gp008,HWD17_gp008,CPT_Privateer_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628286,HWD17_gp009,HWD17_gp009,CPT_Privateer_009,-,-,-,tail tubular protein,protein-coding,-,-,-,tail tubular protein,20200620,-
2712958,55628287,HWD17_gp010,HWD17_gp010,CPT_Privateer_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628288,HWD17_gp011,HWD17_gp011,CPT_Privateer_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628289,HWD17_gp012,HWD17_gp012,CPT_Privateer_012,-,-,-,virion-associated protein,protein-coding,-,-,-,virion-associated protein,20210129,-
2712958,55628290,HWD17_gp013,HWD17_gp013,CPT_Privateer_013,-,-,-,virion-associated protein,protein-coding,-,-,-,virion-associated protein,20200620,-
2712958,55628291,HWD17_gp014,HWD17_gp014,CPT_Privateer_014,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210129,-
