#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
210,2827869,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Campylobacter pylori; Campylobacter pylori subsp. pylori; Campylobacter pyloridis; Helicobacter nemestrinae.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210529,-
210,39457571,HPATCC43504_RS07940,HPATCC43504_RS07940,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
210,39457572,HPATCC43504_RS07920,HPATCC43504_RS07920,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
210,39457583,D8X56_RS00010,D8X56_RS00010,D8X56_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
210,39457589,D8X56_RS00065,D8X56_RS00065,D8X56_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
210,39457591,D8X56_RS00020,D8X56_RS00020,D8X56_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
210,39457596,D8X56_RS00075,D8X56_RS00075,D8X56_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
210,42590193,D2C82_RS08095,D2C82_RS08095,D2C82_08115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
210,42590205,D2C82_RS08200,D2C82_RS08200,D2C82_08225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
210,42590209,D2C82_RS08160,D2C82_RS08160,D2C82_08185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
210,42590210,D2C82_RS08150,D2C82_RS08150,D2C82_08170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
210,42590212,D2C82_RS08135,D2C82_RS08135,D2C82_08155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
210,42590217,D2C82_RS08085,D2C82_RS08085,D2C82_08100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
210,42590222,D2C73_RS08215,D2C73_RS08215,D2C73_08235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
210,42590225,D2C73_RS08200,D2C73_RS08200,D2C73_08215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
210,42590230,D2C73_RS08175,D2C73_RS08175,D2C73_08190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
210,42590235,D2C72_RS08010,D2C72_RS08010,D2C72_08015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
210,42590236,D2C72_RS08005,D2C72_RS08005,D2C72_08010,-,-,-,-,pseudo,-,-,-,-,20191203,-
210,42590237,D2C72_RS08015,D2C72_RS08015,D2C72_08020,-,-,-,RepB family plasmid replication initiator protein,protein-coding,-,-,-,RepB family plasmid replication initiator protein,20201217,-
