#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1399942,18158469,phiLdb_00045,phiLdb_00045,-,-,-,-,PKD domain containing protein,protein-coding,-,-,-,PKD domain containing protein,20201221,-
1399942,18158470,phiLdb_00046,phiLdb_00046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158471,phiLdb_00031,phiLdb_00031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158472,phiLdb_00043,phiLdb_00043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158473,phiLdb_00047,phiLdb_00047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158474,phiLdb_00033,phiLdb_00033,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1399942,18158475,phiLdb_00049,phiLdb_00049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158476,phiLdb_00058,phiLdb_00058,-,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1399942,18158477,phiLdb_00040,phiLdb_00040,-,-,-,-,putative DnaC,protein-coding,-,-,-,putative DnaC,20201221,-
1399942,18158478,phiLdb_00057,phiLdb_00057,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1399942,18158479,phiLdb_00052,phiLdb_00052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158480,phiLdb_00054,phiLdb_00054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158481,phiLdb_00013,phiLdb_00013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158482,phiLdb_00044,phiLdb_00044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158483,phiLdb_00027,phiLdb_00027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158484,phiLdb_00053,phiLdb_00053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158485,phiLdb_00050,phiLdb_00050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158486,phiLdb_00037,phiLdb_00037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158487,phiLdb_00059,phiLdb_00059,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1399942,18158488,phiLdb_0002,phiLdb_0002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158489,phiLdb_0003,phiLdb_0003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158490,phiLdb_0004,phiLdb_0004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158491,phiLdb_00041,phiLdb_00041,-,-,-,-,prophage antirepressor,protein-coding,-,-,-,prophage antirepressor,20201221,-
1399942,18158492,phiLdb_0005,phiLdb_0005,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1399942,18158493,phiLdb_00042,phiLdb_00042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158494,phiLdb_00038,phiLdb_00038,-,-,-,-,putative DNA replication protein,protein-coding,-,-,-,putative DNA replication protein,20201221,-
1399942,18158495,phiLdb_0006,phiLdb_0006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158496,phiLdb_0007,phiLdb_0007,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1399942,18158497,phiLdb_0008,phiLdb_0008,-,-,-,-,putative ClpP protease,protein-coding,-,-,-,putative ClpP protease,20201221,-
1399942,18158498,phiLdb_0009,phiLdb_0009,-,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1399942,18158499,phiLdb_00010,phiLdb_00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158500,phiLdb_00011,phiLdb_00011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158501,phiLdb_00012,phiLdb_00012,-,-,-,-,putative head-tail adaptor,protein-coding,-,-,-,putative head-tail adaptor,20201221,-
1399942,18158502,phiLdb_00014,phiLdb_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158503,phiLdb_00056,phiLdb_00056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158504,phiLdb_00015,phiLdb_00015,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1399942,18158505,phiLdb_00048,phiLdb_00048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158506,phiLdb_00016,phiLdb_00016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158507,phiLdb_00017,phiLdb_00017,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1399942,18158508,phiLdb_00018,phiLdb_00018,-,-,-,-,putative tail component,protein-coding,-,-,-,putative tail component,20201221,-
1399942,18158509,phiLdb_00019,phiLdb_00019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158510,phiLdb_00021,phiLdb_00021,-,-,-,-,glycerophosphoryl diesterphosphodiesterase,protein-coding,-,-,-,glycerophosphoryl diesterphosphodiesterase,20201221,-
1399942,18158511,phiLdb_00022,phiLdb_00022,-,-,-,-,putative antireceptor,protein-coding,-,-,-,putative antireceptor,20201221,-
1399942,18158512,phiLdb_00023,phiLdb_00023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158513,phiLdb_00024,phiLdb_00024,-,-,-,-,putative Cro-like repressor,protein-coding,-,-,-,putative Cro-like repressor,20201221,-
1399942,18158514,phiLdb_00025,phiLdb_00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158515,phiLdb_00026,phiLdb_00026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158516,phiLdb_00028,phiLdb_00028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158517,phiLdb_00029,phiLdb_00029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158518,phiLdb_00030,phiLdb_00030,-,-,-,-,putative single-stranded DNA binding protein,protein-coding,-,-,-,putative single-stranded DNA binding protein,20201221,-
1399942,18158519,phiLdb_00032,phiLdb_00032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158520,phiLdb_00020,phiLdb_00020,-,-,-,-,glycerophosphoryl diesterphosphodiesterase,protein-coding,-,-,-,glycerophosphoryl diesterphosphodiesterase,20201221,-
1399942,18158521,phiLdb_00034,phiLdb_00034,-,-,-,-,putative Holliday junction resolvase,protein-coding,-,-,-,putative Holliday junction resolvase,20201221,-
1399942,18158522,phiLdb_00055,phiLdb_00055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158523,phiLdb_0001,phiLdb_0001,-,-,-,-,putative ParB nuclease,protein-coding,-,-,-,putative ParB nuclease,20201221,-
1399942,18158524,phiLdb_00035,phiLdb_00035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158525,phiLdb_00036,phiLdb_00036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18158526,phiLdb_00039,phiLdb_00039,-,-,-,-,putative DNA replication protein,protein-coding,-,-,-,putative DNA replication protein,20201221,-
1399942,18158527,phiLdb_00051,phiLdb_00051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1399942,18194574,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactobacillus delbrueckii bacteriophage phiLdb).,other,-,-,-,-,20200513,-
