#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1486403,19685936,2,HL05_gp002,PBI_MANAD_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1486403,19685937,3,HL05_gp003,PBI_MANAD_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685938,4,HL05_gp004,PBI_MANAD_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685939,5,HL05_gp005,PBI_MANAD_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685940,6,HL05_gp006,PBI_MANAD_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210212,-
1486403,19685941,7,HL05_gp007,PBI_MANAD_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1486403,19685942,8,HL05_gp008,PBI_MANAD_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1486403,19685943,9,HL05_gp009,PBI_MANAD_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20200927,-
1486403,19685944,10,HL05_gp010,PBI_MANAD_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685945,11,HL05_gp011,PBI_MANAD_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1486403,19685946,12,HL05_gp012,PBI_MANAD_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685947,13,HL05_gp013,PBI_MANAD_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685948,14,HL05_gp014,PBI_MANAD_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685949,15,HL05_gp015,PBI_MANAD_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685950,16,HL05_gp016,PBI_MANAD_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685951,17,HL05_gp017,PBI_MANAD_17,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1486403,19685952,18,HL05_gp018,PBI_MANAD_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685953,19,HL05_gp019,PBI_MANAD_19,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20200927,-
1486403,19685954,20,HL05_gp020,PBI_MANAD_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685955,21,HL05_gp021,PBI_MANAD_21,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
