#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094335,33352493,ND4L,CGU63_mgp11,-,-,mt|MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
1094335,33352494,CGU63_mgt03,CGU63_mgt03,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352495,ATP6,CGU63_mgp09,-,-,mt|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
1094335,33352496,CGU63_mgt08,CGU63_mgt08,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352497,CGU63_mgt11,CGU63_mgt11,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352498,CGU63_mgt15,CGU63_mgt15,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352499,CGU63_mgt16,CGU63_mgt16,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352500,COX1,CGU63_mgp04,-,-,mt|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
1094335,33352501,CGU63_mgt17,CGU63_mgt17,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352502,CGU63_mgt21,CGU63_mgt21,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352503,ND5,CGU63_mgp01,-,-,mt|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
1094335,33352504,CGU63_mgt22,CGU63_mgt22,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352505,CGU63_mgt01,CGU63_mgt01,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352506,CGU63_mgt02,CGU63_mgt02,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352507,ND6,CGU63_mgp12,-,-,mt|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
1094335,33352508,CGU63_mgt04,CGU63_mgt04,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352509,CGU63_mgr02,CGU63_mgr02,-,-,mt|MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094335,33352510,CGU63_mgt05,CGU63_mgt05,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352511,CGU63_mgt06,CGU63_mgt06,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352512,CGU63_mgt07,CGU63_mgt07,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352513,ND1,CGU63_mgp10,-,-,mt|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
1094335,33352514,CGU63_mgt09,CGU63_mgt09,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352515,CGU63_mgt10,CGU63_mgt10,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352516,ND2,CGU63_mgp08,-,-,mt|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
1094335,33352517,CGU63_mgt12,CGU63_mgt12,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352518,CGU63_mgt13,CGU63_mgt13,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352519,CGU63_mgt14,CGU63_mgt14,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352520,CYTB,CGU63_mgp07,-,-,mt|MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
1094335,33352521,COX3,CGU63_mgp06,-,-,mt|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
1094335,33352522,ND4,CGU63_mgp05,-,-,mt|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
1094335,33352523,CGU63_mgt18,CGU63_mgt18,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352524,CGU63_mgt19,CGU63_mgt19,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352525,CGU63_mgt20,CGU63_mgt20,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094335,33352526,COX2,CGU63_mgp03,-,-,mt|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
1094335,33352527,CGU63_mgr01,CGU63_mgr01,-,-,mt|MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094335,33352528,ND3,CGU63_mgp02,-,-,mt|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
