#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
673832,8676535,gp02,EP-phiFL1Ap02,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20201220,-
673832,8676536,gp03,EP-phiFL1Ap03,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
673832,8676537,gp04,EP-phiFL1Ap04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676538,gp05,EP-phiFL1Ap05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676539,gp06,EP-phiFL1Ap06,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
673832,8676540,gp07,EP-phiFL1Ap07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676541,gp08,EP-phiFL1Ap08,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20201220,-
673832,8676542,gp09,EP-phiFL1Ap09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676543,gp10,EP-phiFL1Ap10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676544,gp11,EP-phiFL1Ap11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676545,gp12,EP-phiFL1Ap12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676546,gp13,EP-phiFL1Ap13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676547,gp14,EP-phiFL1Ap14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676548,gp15,EP-phiFL1Ap15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676549,gp16,EP-phiFL1Ap16,-,-,-,-,YqaJ viral recombinase family protein,protein-coding,-,-,-,YqaJ viral recombinase family protein,20201220,-
673832,8676550,gp17,EP-phiFL1Ap17,-,-,-,-,recombinase RecT,protein-coding,-,-,-,recombinase RecT,20210123,-
673832,8676551,gp18,EP-phiFL1Ap18,-,-,-,-,DUF4373 domain-containing protein,protein-coding,-,-,-,DUF4373 domain-containing protein,20210406,-
673832,8676552,gp19,EP-phiFL1Ap19,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
673832,8676553,gp20,EP-phiFL1Ap20,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201220,-
673832,8676554,gp21,EP-phiFL1Ap21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676555,gp22,EP-phiFL1Ap22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676556,gp23,EP-phiFL1Ap23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676557,gp24,EP-phiFL1Ap24,-,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20201220,-
673832,8676558,gp25,EP-phiFL1Ap25,-,-,-,-,PcfU,protein-coding,-,-,-,PcfU,20200629,-
673832,8676559,gp26,EP-phiFL1Ap26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676560,gp27,EP-phiFL1Ap27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676561,gp28,EP-phiFL1Ap28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676562,gp29,EP-phiFL1Ap29,-,-,-,-,DUF1642 domain-containing protein,protein-coding,-,-,-,DUF1642 domain-containing protein,20201220,-
673832,8676563,gp30,EP-phiFL1Ap30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676564,gp31,EP-phiFL1Ap31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676565,gp32,EP-phiFL1Ap32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676566,gp33,EP-phiFL1Ap33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
