#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
63577,25877183,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Hypocrea atroviridis).,other,-,-,-,-,20181022,-
63577,55288511,nad4L,HRV09_mgp21,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210129,-
63577,55288512,nad5,HRV09_mgp20,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210327,-
63577,55288513,orf115,HRV09_mgp19,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
63577,55288514,LAGLIDADG endonuclease,HRV09_mgp18,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200908,-
63577,55288515,cob,HRV09_mgp17,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20200908,-
63577,55288516,orf320,HRV09_mgp16,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
63577,55288517,trnC,HRV09_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288518,cox1,HRV09_mgp15,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20200908,-
63577,55288519,GIY-YIG endonuclease,HRV09_mgp14,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20200908,-
63577,55288520,orf421,HRV09_mgp13,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
63577,55288521,trnR,HRV09_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288522,nad1,HRV09_mgp12,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20200908,-
63577,55288523,nad4,HRV09_mgp11,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210327,-
63577,55288524,trnF,HRV09_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288525,atp8,HRV09_mgp10,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20210327,-
63577,55288526,atp6,HRV09_mgp09,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20210327,-
63577,55288527,rns,HRV09_mgr02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
63577,55288528,trnY,HRV09_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288529,trnD,HRV09_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288530,trnS,HRV09_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288531,trnN,HRV09_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288532,cox3,HRV09_mgp08,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20200908,-
63577,55288533,trnG,HRV09_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288534,nad6,HRV09_mgp07,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210327,-
63577,55288535,trnI,HRV09_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288536,trnS,HRV09_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288537,trnW,HRV09_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288538,trnP,HRV09_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288539,rrnL,HRV09_mgr01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
63577,55288540,rps3,HRV09_mgp06,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20200908,-
63577,55288541,orf455,HRV09_mgp05,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
63577,55288542,trnT,HRV09_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288543,trnE,HRV09_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288544,trnM,HRV09_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288545,trnM,HRV09_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288546,trnL,HRV09_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288547,trnA,HRV09_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288548,trnF,HRV09_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288549,trnK,HRV09_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288550,trnM,HRV09_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288551,trnL,HRV09_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288552,trnR,HRV09_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288553,trnQ,HRV09_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288554,trnH,HRV09_mgt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288555,trnM,HRV09_mgt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
63577,55288556,nad2,HRV09_mgp04,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20200908,-
63577,55288557,nad3,HRV09_mgp03,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210116,-
63577,55288558,atp9,HRV09_mgp02,-,-,MT,-,ATP synthase F0 subunit 9,protein-coding,-,-,-,ATP synthase F0 subunit 9,20210327,-
63577,55288559,cox2,HRV09_mgp01,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210327,-
63577,55288560,trnR,HRV09_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
