#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
566270,7057036,SlnV2_gp002,SlnV2_gp002,-,-,-,-,orf1629,protein-coding,-,-,-,orf1629,20180816,-
566270,7057037,SlnV2_gp003,SlnV2_gp003,-,-,-,-,PK-1,protein-coding,-,-,-,PK-1,20180816,-
566270,7057038,SlnV2_gp004,SlnV2_gp004,-,-,-,-,hoar,protein-coding,-,-,-,hoar,20180816,-
566270,7057039,SlnV2_gp005,SlnV2_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057040,SlnV2_gp006,SlnV2_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057041,SlnV2_gp007,SlnV2_gp007,-,-,-,-,ODV-E56,protein-coding,-,-,-,ODV-E56,20180816,-
566270,7057042,SlnV2_gp008,SlnV2_gp008,-,-,-,-,ME53,protein-coding,-,-,-,ME53,20180816,-
566270,7057043,SlnV2_gp009,SlnV2_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057044,SlnV2_gp010,SlnV2_gp010,-,-,-,-,F protein,protein-coding,-,-,-,F protein,20180816,-
566270,7057045,SlnV2_gp011,SlnV2_gp011,-,-,-,-,GP16,protein-coding,-,-,-,GP16,20180816,-
566270,7057046,SlnV2_gp012,SlnV2_gp012,-,-,-,-,P24 capsid,protein-coding,-,-,-,P24 capsid,20180816,-
566270,7057047,SlnV2_gp013,SlnV2_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057048,SlnV2_gp014,SlnV2_gp014,-,-,-,-,LEF-2,protein-coding,-,-,-,LEF-2,20180816,-
566270,7057049,SlnV2_gp015,SlnV2_gp015,-,-,-,-,38.7 kDa protein,protein-coding,-,-,-,38.7 kDa protein,20180816,-
566270,7057050,SlnV2_gp016,SlnV2_gp016,-,-,-,-,LEF-1,protein-coding,-,-,-,LEF-1,20180816,-
566270,7057051,SlnV2_gp017,SlnV2_gp017,-,-,-,-,cathepsin,protein-coding,-,-,-,cathepsin,20180816,-
566270,7057052,SlnV2_gp018,SlnV2_gp018,-,-,-,-,chitinase,protein-coding,-,-,-,chitinase,20180816,-
566270,7057053,SlnV2_gp019,SlnV2_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057054,SlnV2_gp020,SlnV2_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057055,SlnV2_gp021,SlnV2_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057056,SlnV2_gp022,SlnV2_gp022,-,-,-,-,Gp37,protein-coding,-,-,-,Gp37,20180816,-
566270,7057057,SlnV2_gp023,SlnV2_gp023,-,-,-,-,PTP2,protein-coding,-,-,-,PTP2,20180816,-
566270,7057058,SlnV2_gp024,SlnV2_gp024,-,-,-,-,EGT,protein-coding,-,-,-,EGT,20180816,-
566270,7057059,SlnV2_gp025,SlnV2_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057060,SlnV2_gp026,SlnV2_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057061,SlnV2_gp027,SlnV2_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057062,SlnV2_gp028,SlnV2_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057063,SlnV2_gp029,SlnV2_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057064,SlnV2_gp030,SlnV2_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057065,SlnV2_gp032,SlnV2_gp032,-,-,-,-,PKIP,protein-coding,-,-,-,PKIP,20180816,-
566270,7057066,SlnV2_gp031,SlnV2_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057067,SlnV2_gp033,SlnV2_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057068,SlnV2_gp034,SlnV2_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057069,SlnV2_gp035,SlnV2_gp035,-,-,-,-,ARIF-1,protein-coding,-,-,-,ARIF-1,20180816,-
566270,7057070,SlnV2_gp036,SlnV2_gp036,-,-,-,-,PIF-1,protein-coding,-,-,-,PIF-1,20180816,-
566270,7057071,SlnV2_gp037,SlnV2_gp037,-,-,-,-,PIF-2,protein-coding,-,-,-,PIF-2,20180816,-
566270,7057072,SlnV2_gp038,SlnV2_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057073,SlnV2_gp039,SlnV2_gp039,-,-,-,-,FGF,protein-coding,-,-,-,FGF,20180816,-
566270,7057074,SlnV2_gp040,SlnV2_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057075,SlnV2_gp041,SlnV2_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057076,SlnV2_gp042,SlnV2_gp042,-,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20180816,-
566270,7057077,SlnV2_gp043,SlnV2_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057078,SlnV2_gp044,SlnV2_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057079,SlnV2_gp045,SlnV2_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057080,SlnV2_gp046,SlnV2_gp046,-,-,-,-,RR2b,protein-coding,-,-,-,RR2b,20181103,-
566270,7057081,SlnV2_gp047,SlnV2_gp047,-,-,-,-,calyx,protein-coding,-,-,-,calyx,20181103,-
566270,7057082,SlnV2_gp048,SlnV2_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057083,SlnV2_gp049,SlnV2_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057084,SlnV2_gp050,SlnV2_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057085,SlnV2_gp051,SlnV2_gp051,-,-,-,-,SOD,protein-coding,-,-,-,SOD,20180816,-
566270,7057086,SlnV2_gp052,SlnV2_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057087,SlnV2_gp053,SlnV2_gp053,-,-,-,-,PIF-3,protein-coding,-,-,-,PIF-3,20180816,-
566270,7057088,SlnV2_gp054,SlnV2_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057089,SlnV2_gp055,SlnV2_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057090,SlnV2_gp056,SlnV2_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057091,SlnV2_gp057,SlnV2_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057092,SlnV2_gp058,SlnV2_gp058,-,-,-,-,dutpase,protein-coding,-,-,-,dutpase,20180816,-
566270,7057093,SlnV2_gp059,SlnV2_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057094,SlnV2_gp060,SlnV2_gp060,-,-,-,-,P13,protein-coding,-,-,-,P13,20180816,-
566270,7057095,SlnV2_gp061,SlnV2_gp061,-,-,-,-,ODV-E66,protein-coding,-,-,-,ODV-E66,20180816,-
566270,7057096,SlnV2_gp062,SlnV2_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057097,SlnV2_gp063,SlnV2_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057098,SlnV2_gp064,SlnV2_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057099,SlnV2_gp065,SlnV2_gp065,-,-,-,-,P87 capsid,protein-coding,-,-,-,P87 capsid,20180816,-
566270,7057100,SlnV2_gp066,SlnV2_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
