#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229789,13827503,2,D291_gp02,P100D_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229789,13827504,3,D291_gp03,P100D_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1229789,13827505,4,D291_gp04,P100D_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827506,5,D291_gp05,P100D_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229789,13827507,6,D291_gp06,P100D_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229789,13827508,7,D291_gp07,P100D_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229789,13827509,8,D291_gp08,P100D_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827510,9,D291_gp09,P100D_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827511,10,D291_gp10,P100D_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827512,11,D291_gp11,P100D_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229789,13827513,13,D291_gp12,P100D_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229789,13827514,14,D291_gp14,P100D_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1229789,13827515,12,D291_gp13,P100D_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229789,13827516,15,D291_gp15,P100D_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229789,13827517,16,D291_gp16,P100D_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229789,13827518,17,D291_gp17,P100D_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229789,13827519,18,D291_gp18,P100D_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827520,19,D291_gp19,P100D_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229789,13827521,20,D291_gp20,P100D_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
1229789,13827522,21,D291_gp21,P100D_21,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1229789,13827523,22,D291_gp22,P100D_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827524,23,D291_gp23,P100D_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827525,24,D291_gp24,P100D_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827526,25,D291_gp25,P100D_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827527,26,D291_gp26,P100D_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827528,27,D291_gp27,P100D_27,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1229789,13827529,28,D291_gp28,P100D_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827530,29,D291_gp29,P100D_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827531,30,D291_gp30,P100D_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827532,31,D291_gp31,P100D_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827533,33,D291_gp33,P100D_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827534,34,D291_gp34,P100D_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
