#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391456,26660908,nblA,AV945_gp55,-,-,-,-,phycobilisome degredation protein,protein-coding,-,-,-,phycobilisome degredation protein,20201221,-
1391456,26672966,AV945_gp56,AV945_gp56,-,-,-,-,Virulence Associated E Protein,protein-coding,-,-,-,Virulence Associated E Protein,20201221,-
1391456,26672967,AV945_gp02,AV945_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672968,AV945_gp03,AV945_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672969,AV945_gp04,AV945_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672970,AV945_gp05,AV945_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672971,AV945_gp06,AV945_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672972,AV945_gp07,AV945_gp07,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1391456,26672973,AV945_gp08,AV945_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672974,AV945_gp09,AV945_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672975,AV945_gp10,AV945_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672976,AV945_gp11,AV945_gp11,-,-,-,-,HNH Endonuclease,protein-coding,-,-,-,HNH Endonuclease,20201221,-
1391456,26672977,AV945_gp12,AV945_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672978,AV945_gp13,AV945_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672979,AV945_gp14,AV945_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672980,AV945_gp15,AV945_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672981,AV945_gp16,AV945_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672982,AV945_gp17,AV945_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672983,AV945_gp18,AV945_gp18,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201221,-
1391456,26672984,AV945_gp19,AV945_gp19,-,-,-,-,nucleoid DNA binding protein,protein-coding,-,-,-,nucleoid DNA binding protein,20201221,-
1391456,26672985,AV945_gp20,AV945_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672986,AV945_gp21,AV945_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672987,AV945_gp22,AV945_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672988,AV945_gp23,AV945_gp23,-,-,-,-,DNA repair protein,protein-coding,-,-,-,DNA repair protein,20201221,-
1391456,26672989,AV945_gp24,AV945_gp24,-,-,-,-,ProB,protein-coding,-,-,-,ProB|gamma-glutamyl kinase,20201221,-
1391456,26672990,AV945_gp25,AV945_gp25,-,-,-,-,Methyltransferase,protein-coding,-,-,-,Methyltransferase,20201221,-
1391456,26672991,AV945_gp26,AV945_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672992,AV945_gp27,AV945_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672993,AV945_gp28,AV945_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672994,AV945_gp29,AV945_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672995,AV945_gp30,AV945_gp30,-,-,-,-,Phage Protein 7.7 Like,protein-coding,-,-,-,Phage Protein 7.7 Like,20201221,-
1391456,26672996,AV945_gp31,AV945_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672997,AV945_gp32,AV945_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672998,AV945_gp33,AV945_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26672999,AV945_gp34,AV945_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673000,AV945_gp35,AV945_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673001,AV945_gp36,AV945_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673002,AV945_gp37,AV945_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673003,AV945_gp38,AV945_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673004,AV945_gp39,AV945_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673005,AV945_gp40,AV945_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673006,AV945_gp41,AV945_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673007,AV945_gp42,AV945_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673008,AV945_gp43,AV945_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673009,AV945_gp44,AV945_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673010,AV945_gp45,AV945_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673011,AV945_gp46,AV945_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673012,AV945_gp47,AV945_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673013,AV945_gp48,AV945_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673014,AV945_gp49,AV945_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673015,AV945_gp50,AV945_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673016,AV945_gp51,AV945_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673017,AV945_gp52,AV945_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673018,AV945_gp53,AV945_gp53,-,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20201221,-
1391456,26673019,AV945_gp54,AV945_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673020,AV945_gp57,AV945_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391456,26673021,AV945_gp01,AV945_gp01,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20201221,-
