#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647284,26516873,AU105_gp002,AU105_gp002,GMA3_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201221,-
1647284,26516874,AU105_gp003,AU105_gp003,GMA3_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516875,AU105_gp004,AU105_gp004,GMA3_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516876,AU105_gp005,AU105_gp005,GMA3_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516877,AU105_gp006,AU105_gp006,GMA3_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516878,AU105_gp007,AU105_gp007,GMA3_7,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
1647284,26516879,AU105_gp008,AU105_gp008,GMA3_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516880,AU105_gp009,AU105_gp009,GMA3_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516881,AU105_gp010,AU105_gp010,GMA3_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516882,AU105_gp011,AU105_gp011,GMA3_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516883,AU105_gp012,AU105_gp012,GMA3_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516884,AU105_gp013,AU105_gp013,GMA3_13,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1647284,26516885,AU105_gp014,AU105_gp014,GMA3_15,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201221,-
1647284,26516886,AU105_gp016,AU105_gp016,GMA3_16,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1647284,26516887,AU105_gp015,AU105_gp015,GMA3_14,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201221,-
1647284,26516888,AU105_gp017,AU105_gp017,GMA3_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516889,AU105_gp018,AU105_gp018,GMA3_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516890,AU105_gp019,AU105_gp019,GMA3_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516891,AU105_gp020,AU105_gp020,GMA3_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516892,AU105_gp021,AU105_gp021,GMA3_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516893,AU105_gp022,AU105_gp022,GMA3_22,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1647284,26516894,AU105_gp023,AU105_gp023,GMA3_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516895,AU105_gp024,AU105_gp024,GMA3_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516896,AU105_gp025,AU105_gp025,GMA3_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516897,AU105_gp026,AU105_gp026,GMA3_26,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1647284,26516898,AU105_gp028,AU105_gp028,GMA3_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516899,AU105_gp027,AU105_gp027,GMA3_27,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1647284,26516900,AU105_gp029,AU105_gp029,GMA3_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516901,AU105_gp030,AU105_gp030,GMA3_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516902,AU105_gp031,AU105_gp031,GMA3_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516903,AU105_gp032,AU105_gp032,GMA3_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516904,AU105_gp033,AU105_gp033,GMA3_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516905,AU105_gp034,AU105_gp034,GMA3_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516906,AU105_gp035,AU105_gp035,GMA3_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516907,AU105_gp036,AU105_gp036,GMA3_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516908,AU105_gp037,AU105_gp037,GMA3_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516909,AU105_gp038,AU105_gp038,GMA3_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516910,AU105_gp039,AU105_gp039,GMA3_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516911,AU105_gp040,AU105_gp040,GMA3_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516912,AU105_gp041,AU105_gp041,GMA3_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516913,AU105_gp042,AU105_gp042,GMA3_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516914,AU105_gp043,AU105_gp043,GMA3_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516915,AU105_gp044,AU105_gp044,GMA3_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516916,AU105_gp045,AU105_gp045,GMA3_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516917,AU105_gp046,AU105_gp046,GMA3_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516918,AU105_gp047,AU105_gp047,GMA3_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516919,AU105_gp048,AU105_gp048,GMA3_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516920,AU105_gp049,AU105_gp049,GMA3_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516921,AU105_gp050,AU105_gp050,GMA3_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516922,AU105_gp051,AU105_gp051,GMA3_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516923,AU105_gp052,AU105_gp052,GMA3_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516924,AU105_gp053,AU105_gp053,GMA3_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516925,AU105_gp054,AU105_gp054,GMA3_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516926,AU105_gp055,AU105_gp055,GMA3_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516927,AU105_gp056,AU105_gp056,GMA3_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516928,AU105_gp057,AU105_gp057,GMA3_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516929,AU105_gp058,AU105_gp058,GMA3_58,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1647284,26516930,AU105_gp059,AU105_gp059,GMA3_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516931,AU105_gp060,AU105_gp060,GMA3_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516932,AU105_gp061,AU105_gp061,GMA3_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516933,AU105_gp062,AU105_gp062,GMA3_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516934,AU105_gp063,AU105_gp063,GMA3_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516935,AU105_gp064,AU105_gp064,GMA3_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516936,AU105_gp065,AU105_gp065,GMA3_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516937,AU105_gp066,AU105_gp066,GMA3_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516938,AU105_gp067,AU105_gp067,GMA3_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516939,AU105_gp068,AU105_gp068,GMA3_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516940,AU105_gp069,AU105_gp069,GMA3_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516941,AU105_gp070,AU105_gp070,GMA3_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516942,AU105_gp071,AU105_gp071,GMA3_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516943,AU105_gp072,AU105_gp072,GMA3_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516944,AU105_gp073,AU105_gp073,GMA3_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516945,AU105_gp074,AU105_gp074,GMA3_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516946,AU105_gp075,AU105_gp075,GMA3_75,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20201221,-
1647284,26516947,AU105_gp076,AU105_gp076,GMA3_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516948,AU105_gp077,AU105_gp077,GMA3_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516949,AU105_gp078,AU105_gp078,GMA3_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516950,AU105_gp079,AU105_gp079,GMA3_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516951,AU105_gp080,AU105_gp080,GMA3_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516952,AU105_gp081,AU105_gp081,GMA3_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516953,AU105_gp082,AU105_gp082,GMA3_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516954,AU105_gp083,AU105_gp083,GMA3_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516955,AU105_gp084,AU105_gp084,GMA3_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516956,AU105_gp085,AU105_gp085,GMA3_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516957,AU105_gp086,AU105_gp086,GMA3_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516958,AU105_gp087,AU105_gp087,GMA3_87,-,-,-,putative von Willebrand factor protein,protein-coding,-,-,-,putative von Willebrand factor protein,20201221,-
1647284,26516959,AU105_gp088,AU105_gp088,GMA3_88,-,-,-,putative ATPase family protein,protein-coding,-,-,-,putative ATPase family protein,20201221,-
1647284,26516960,AU105_gp089,AU105_gp089,GMA3_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516961,AU105_gp090,AU105_gp090,GMA3_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
