#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772327,40077407,2,FDH48_gp02,JAWNSKI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772327,40077408,3,FDH48_gp03,JAWNSKI_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1772327,40077409,4,FDH48_gp04,JAWNSKI_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077410,5,FDH48_gp05,JAWNSKI_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077411,6,FDH48_gp06,JAWNSKI_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1772327,40077412,7,FDH48_gp07,JAWNSKI_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077413,8,FDH48_gp08,JAWNSKI_8,-,-,-,major capsid subunit,protein-coding,-,-,-,major capsid subunit,20201221,-
1772327,40077414,9,FDH48_gp09,JAWNSKI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077415,10,FDH48_gp10,JAWNSKI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077416,11,FDH48_gp11,JAWNSKI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077417,12,FDH48_gp12,JAWNSKI_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077418,13,FDH48_gp13,JAWNSKI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077419,14,FDH48_gp14,JAWNSKI_14,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20201221,-
1772327,40077420,15,FDH48_gp15,JAWNSKI_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077421,16,FDH48_gp16,JAWNSKI_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077422,17,FDH48_gp17,JAWNSKI_17,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1772327,40077423,18,FDH48_gp18,JAWNSKI_18,-,-,-,LysM domain protein,protein-coding,-,-,-,LysM domain protein,20201221,-
1772327,40077424,19,FDH48_gp19,JAWNSKI_19,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1772327,40077425,20,FDH48_gp20,JAWNSKI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077426,21,FDH48_gp21,JAWNSKI_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772327,40077427,22,FDH48_gp22,JAWNSKI_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772327,40077428,23,FDH48_gp23,JAWNSKI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077429,24,FDH48_gp24,JAWNSKI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077430,25,FDH48_gp25,JAWNSKI_25,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1772327,40077431,26,FDH48_gp26,JAWNSKI_26,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1772327,40077432,27,FDH48_gp27,JAWNSKI_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1772327,40077433,28,FDH48_gp28,JAWNSKI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077434,29,FDH48_gp29,JAWNSKI_29,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20201221,-
1772327,40077435,30,FDH48_gp30,JAWNSKI_30,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1772327,40077436,31,FDH48_gp31,JAWNSKI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077437,32,FDH48_gp32,JAWNSKI_32,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1772327,40077438,33,FDH48_gp33,JAWNSKI_33,-,-,-,RecT-like protein,protein-coding,-,-,-,RecT-like protein,20201221,-
1772327,40077439,34,FDH48_gp34,JAWNSKI_34,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772327,40077440,35,FDH48_gp35,JAWNSKI_35,-,-,-,ssDNA binding domain protein,protein-coding,-,-,-,ssDNA binding domain protein,20201221,-
1772327,40077441,36,FDH48_gp36,JAWNSKI_36,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20201221,-
1772327,40077442,37,FDH48_gp37,JAWNSKI_37,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772327,40077443,38,FDH48_gp38,JAWNSKI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077444,39,FDH48_gp39,JAWNSKI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077445,41,FDH48_gp41,JAWNSKI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077446,42,FDH48_gp42,JAWNSKI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077447,43,FDH48_gp43,JAWNSKI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077448,44,FDH48_gp44,JAWNSKI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077449,45,FDH48_gp45,JAWNSKI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077450,46,FDH48_gp46,JAWNSKI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077451,47,FDH48_gp47,JAWNSKI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077452,48,FDH48_gp48,JAWNSKI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077453,49,FDH48_gp49,JAWNSKI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077454,50,FDH48_gp50,JAWNSKI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077455,51,FDH48_gp51,JAWNSKI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077456,52,FDH48_gp52,JAWNSKI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077457,53,FDH48_gp53,JAWNSKI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077458,54,FDH48_gp54,JAWNSKI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077459,55,FDH48_gp55,JAWNSKI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077460,56,FDH48_gp56,JAWNSKI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077461,57,FDH48_gp57,JAWNSKI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077462,58,FDH48_gp58,JAWNSKI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077463,59,FDH48_gp59,JAWNSKI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077464,60,FDH48_gp60,JAWNSKI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077465,61,FDH48_gp61,JAWNSKI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077466,62,FDH48_gp62,JAWNSKI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077467,63,FDH48_gp63,JAWNSKI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077468,64,FDH48_gp64,JAWNSKI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077469,65,FDH48_gp65,JAWNSKI_65,-,-,-,ParB-like domain protein,protein-coding,-,-,-,ParB-like domain protein,20201221,-
1772327,40077470,66,FDH48_gp66,JAWNSKI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077471,67,FDH48_gp67,JAWNSKI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077472,68,FDH48_gp68,JAWNSKI_68,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772327,40077473,69,FDH48_gp69,JAWNSKI_69,-,-,-,DNA polymerase III beta subunit,protein-coding,-,-,-,DNA polymerase III beta subunit,20201221,-
1772327,40077474,70,FDH48_gp70,JAWNSKI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077475,71,FDH48_gp71,JAWNSKI_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077476,72,FDH48_gp72,JAWNSKI_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077477,73,FDH48_gp73,JAWNSKI_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772327,40077478,40,FDH48_gp40,JAWNSKI_40,-,-,-,RusA,protein-coding,-,-,-,RusA,20201221,-
1772327,40077479,1,FDH48_gp01,JAWNSKI_1,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772327,40120280,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
