#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1063,3759992,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Luteovulum sphaeroides; Rhodobacter sphaeroides; Rhodococcus capsulatus; Rhodococcus minor; Rhodopseudomonas sphaeroides; Rhodopseudomonas spheroides; Rhodorhagus capsulatus; Rhodorhagus minor; Rhodorrhagus capsulatus; Rhodorrhagus spheroides; Rhodosphaera capsulata; Rhodosphaera minor.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210515,-
1063,39511644,EBL87_RS22185,EBL87_RS22185,EBL87_22145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511648,EBL87_RS21885,EBL87_RS21885,EBL87_21840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511649,EBL87_RS22355,EBL87_RS22355,EBL87_22310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511660,EBL87_RS21920,EBL87_RS21920,EBL87_21875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511673,EBL87_RS22425,EBL87_RS22425,EBL87_22380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511680,EBL87_RS22065,EBL87_RS22065,EBL87_22025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511685,EBL87_RS22270,EBL87_RS22270,EBL87_22230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511692,EBL88_RS21050,EBL88_RS21050,EBL88_20950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511705,EBL88_RS21060,EBL88_RS21060,EBL88_20960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1063,39511734,EBL86_RS22470,EBL86_RS22470,EBL86_22470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1063,39511735,EBL86_RS22360,EBL86_RS22360,EBL86_22360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511753,EBL88_RS21040,EBL88_RS21040,EBL88_20940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511760,EBL88_RS21435,EBL88_RS21435,EBL88_21335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511777,EBL88_RS20805,EBL88_RS20805,EBL88_20700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511821,EBL88_RS20895,EBL88_RS20895,EBL88_20795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511834,EBL86_RS22855,EBL86_RS22855,EBL86_22855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1063,39511880,EBL86_RS22135,EBL86_RS22135,EBL86_22135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511914,EBL88_RS21410,EBL88_RS21410,EBL88_21310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511933,EBL88_RS20850,EBL88_RS20850,EBL88_20745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511937,EBL88_RS21090,EBL88_RS21090,EBL88_20990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511940,EBL88_RS21415,EBL88_RS21415,EBL88_21315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511946,EBL88_RS21575,EBL88_RS21575,EBL88_21475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511949,EBL88_RS21880,EBL88_RS21880,EBL88_21780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511951,EBL88_RS21590,EBL88_RS21590,EBL88_21490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511955,EBL88_RS21595,EBL88_RS21595,EBL88_21495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511964,EBL88_RS21560,EBL88_RS21560,EBL88_21460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
