#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767557,60329037,2,I5H42_gp002,SEA_GANDALPH_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2767557,60329038,3,I5H42_gp003,SEA_GANDALPH_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767557,60329039,4,I5H42_gp004,SEA_GANDALPH_4,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20201129,-
2767557,60329040,5,I5H42_gp005,SEA_GANDALPH_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2767557,60329041,6,I5H42_gp006,SEA_GANDALPH_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2767557,60329042,7,I5H42_gp007,SEA_GANDALPH_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2767557,60329043,8,I5H42_gp008,SEA_GANDALPH_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2767557,60329044,9,I5H42_gp009,SEA_GANDALPH_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767557,60329045,10,I5H42_gp010,SEA_GANDALPH_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2767557,60329046,11,I5H42_gp011,SEA_GANDALPH_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2767557,60329047,13,I5H42_gp012,SEA_GANDALPH_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2767557,60329048,14,I5H42_gp014,SEA_GANDALPH_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2767557,60329049,12,I5H42_gp013,SEA_GANDALPH_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2767557,60329050,15,I5H42_gp015,SEA_GANDALPH_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767557,60329051,16,I5H42_gp016,SEA_GANDALPH_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767557,60329052,17,I5H42_gp017,SEA_GANDALPH_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767557,60329053,18,I5H42_gp018,SEA_GANDALPH_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767557,60329054,19,I5H42_gp019,SEA_GANDALPH_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767557,60329055,20,I5H42_gp020,SEA_GANDALPH_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767557,60329056,21,I5H42_gp021,SEA_GANDALPH_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329057,22,I5H42_gp022,SEA_GANDALPH_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329058,23,I5H42_gp023,SEA_GANDALPH_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329059,24,I5H42_gp024,SEA_GANDALPH_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329060,25,I5H42_gp025,SEA_GANDALPH_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2767557,60329061,26,I5H42_gp026,SEA_GANDALPH_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329062,27,I5H42_gp027,SEA_GANDALPH_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329063,28,I5H42_gp028,SEA_GANDALPH_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329064,29,I5H42_gp029,SEA_GANDALPH_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2767557,60329065,30,I5H42_gp030,SEA_GANDALPH_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329066,31,I5H42_gp031,SEA_GANDALPH_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210529,-
2767557,60329067,32,I5H42_gp032,SEA_GANDALPH_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2767557,60329068,33,I5H42_gp033,SEA_GANDALPH_33,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2767557,60329069,34,I5H42_gp034,SEA_GANDALPH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767557,60329070,35,I5H42_gp035,SEA_GANDALPH_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329071,36,I5H42_gp036,SEA_GANDALPH_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20201129,-
2767557,60329072,37,I5H42_gp037,SEA_GANDALPH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329073,38,I5H42_gp038,SEA_GANDALPH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329074,39,I5H42_gp039,SEA_GANDALPH_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329075,40,I5H42_gp040,SEA_GANDALPH_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329076,41,I5H42_gp041,SEA_GANDALPH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329077,42,I5H42_gp042,SEA_GANDALPH_42,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2767557,60329078,43,I5H42_gp043,SEA_GANDALPH_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329079,44,I5H42_gp044,SEA_GANDALPH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
