#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1463809,18506052,CG91_gp002,CG91_gp002,39HC_02,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20201221,-
1463809,18506053,CG91_gp003,CG91_gp003,39HC_03,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1463809,18506054,CG91_gp004,CG91_gp004,39HC_04,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1463809,18506055,CG91_gp005,CG91_gp005,39HC_05,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20201221,-
1463809,18506056,CG91_gp006,CG91_gp006,39HC_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506057,CG91_gp007,CG91_gp007,39HC_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506058,CG91_gp008,CG91_gp008,39HC_08,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1463809,18506059,CG91_gp009,CG91_gp009,39HC_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506060,CG91_gp010,CG91_gp010,39HC_010,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1463809,18506061,CG91_gp011,CG91_gp011,39HC_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506062,CG91_gp012,CG91_gp012,39HC_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506063,CG91_gp013,CG91_gp013,39HC_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506064,CG91_gp014,CG91_gp014,39HC_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506065,CG91_gp015,CG91_gp015,39HC_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506066,CG91_gp016,CG91_gp016,39HC_016,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1463809,18506067,CG91_gp017,CG91_gp017,39HC_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506068,CG91_gp018,CG91_gp018,39HC_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506069,CG91_gp019,CG91_gp019,39HC_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506070,CG91_gp020,CG91_gp020,39HC_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506071,CG91_gp021,CG91_gp021,39HC_021,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1463809,18506072,CG91_gp022,CG91_gp022,39HC_022,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1463809,18506073,CG91_gp023,CG91_gp023,39HC_023,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1463809,18506074,CG91_gp024,CG91_gp024,39HC_024,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1463809,18506075,CG91_gp025,CG91_gp025,39HC_025,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1463809,18506076,CG91_gp026,CG91_gp026,39HC_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506077,CG91_gp027,CG91_gp027,39HC_027,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1463809,18506078,CG91_gp028,CG91_gp028,39HC_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506079,CG91_gp029,CG91_gp029,39HC_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506080,CG91_gp030,CG91_gp030,39HC_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506081,CG91_gp031,CG91_gp031,39HC_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506082,CG91_gp032,CG91_gp032,39HC_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506083,CG91_gp033,CG91_gp033,39HC_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506084,CG91_gp034,CG91_gp034,39HC_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506085,CG91_gp035,CG91_gp035,39HC_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506086,CG91_gp036,CG91_gp036,39HC_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506087,CG91_gp037,CG91_gp037,39HC_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
