#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591211,63027395,2,J1776_gp02,SEA_VERITY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2591211,63027396,3,J1776_gp03,SEA_VERITY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027397,4,J1776_gp04,SEA_VERITY_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027398,5,J1776_gp05,SEA_VERITY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027399,6,J1776_gp06,SEA_VERITY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027400,7,J1776_gp07,SEA_VERITY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027401,8,J1776_gp08,SEA_VERITY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027402,9,J1776_gp09,SEA_VERITY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027403,10,J1776_gp10,SEA_VERITY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027404,11,J1776_gp11,SEA_VERITY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027405,12,J1776_gp12,SEA_VERITY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027406,13,J1776_gp13,SEA_VERITY_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591211,63027407,14,J1776_gp14,SEA_VERITY_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2591211,63027408,15,J1776_gp15,SEA_VERITY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027409,16,J1776_gp16,SEA_VERITY_16,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210424,-
2591211,63027410,17,J1776_gp17,SEA_VERITY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027411,18,J1776_gp18,SEA_VERITY_18,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2591211,63027412,19,J1776_gp19,SEA_VERITY_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027413,20,J1776_gp20,SEA_VERITY_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027414,21,J1776_gp21,SEA_VERITY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591211,63027415,22,J1776_gp22,SEA_VERITY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027416,23,J1776_gp23,SEA_VERITY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591211,63027417,24,J1776_gp24,SEA_VERITY_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2591211,63027418,25,J1776_gp25,SEA_VERITY_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591211,63027419,26,J1776_gp26,SEA_VERITY_26,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2591211,63027420,27,J1776_gp27,SEA_VERITY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027421,28,J1776_gp28,SEA_VERITY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027422,29,J1776_gp29,SEA_VERITY_29,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2591211,63027423,30,J1776_gp30,SEA_VERITY_30,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2591211,63027424,31,J1776_gp31,SEA_VERITY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027425,32,J1776_gp32,SEA_VERITY_32,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2591211,63027426,33,J1776_gp33,SEA_VERITY_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591211,63027427,34,J1776_gp34,SEA_VERITY_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591211,63027428,35,J1776_gp35,SEA_VERITY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027429,36,J1776_gp36,SEA_VERITY_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591211,63027430,37,J1776_gp37,SEA_VERITY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027431,38,J1776_gp38,SEA_VERITY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027432,39,J1776_gp39,SEA_VERITY_39,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591211,63027433,40,J1776_gp40,SEA_VERITY_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591211,63027434,41,J1776_gp41,SEA_VERITY_41,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2591211,63027435,42,J1776_gp42,SEA_VERITY_42,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2591211,63027436,43,J1776_gp43,SEA_VERITY_43,-,-,-,holin,protein-coding,-,-,-,holin,20210309,-
2591211,63027437,44,J1776_gp44,SEA_VERITY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027438,45,J1776_gp45,SEA_VERITY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027439,46,J1776_gp46,SEA_VERITY_46,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210424,-
