#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2052822,40236537,FGG66_gp02,FGG66_gp02,phi674_gp02,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
2052822,40236538,FGG66_gp03,FGG66_gp03,phi674_gp03,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
2052822,40236539,FGG66_gp04,FGG66_gp04,phi674_gp04,-,-,-,putative head maturation protease,protein-coding,-,-,-,putative head maturation protease,20201221,-
2052822,40236540,FGG66_gp05,FGG66_gp05,phi674_gp05,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
2052822,40236541,FGG66_gp06,FGG66_gp06,phi674_gp06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236542,FGG66_gp07,FGG66_gp07,phi674_gp07,-,-,-,putative head-to-tail connector,protein-coding,-,-,-,putative head-to-tail connector,20201221,-
2052822,40236543,FGG66_gp08,FGG66_gp08,phi674_gp08,-,-,-,putative head-to-tail connector,protein-coding,-,-,-,putative head-to-tail connector,20201221,-
2052822,40236544,FGG66_gp09,FGG66_gp09,phi674_gp09,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
2052822,40236545,FGG66_gp10,FGG66_gp10,phi674_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236546,FGG66_gp11,FGG66_gp11,phi674_gp11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
2052822,40236547,FGG66_gp12,FGG66_gp12,phi674_gp12,-,-,-,putative tail assembly chaperone,protein-coding,-,-,-,putative tail assembly chaperone,20201221,-
2052822,40236548,FGG66_gp13,FGG66_gp13,phi674_gp13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236549,FGG66_gp14,FGG66_gp14,phi674_gp14,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
2052822,40236550,FGG66_gp15,FGG66_gp15,phi674_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236551,FGG66_gp16,FGG66_gp16,phi674_gp16,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
2052822,40236552,FGG66_gp17,FGG66_gp17,phi674_gp17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236553,FGG66_gp18,FGG66_gp18,phi674_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236554,FGG66_gp19,FGG66_gp19,phi674_gp19,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
2052822,40236555,FGG66_gp20,FGG66_gp20,phi674_gp20,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2052822,40236556,FGG66_gp21,FGG66_gp21,phi674_gp21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
2052822,40236557,FGG66_gp22,FGG66_gp22,phi674_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236558,FGG66_gp23,FGG66_gp23,phi674_gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236559,FGG66_gp24,FGG66_gp24,phi674_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236560,FGG66_gp25,FGG66_gp25,phi674_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236561,FGG66_gp26,FGG66_gp26,phi674_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236562,FGG66_gp27,FGG66_gp27,phi674_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236563,FGG66_gp28,FGG66_gp28,phi674_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236564,FGG66_gp29,FGG66_gp29,phi674_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236565,FGG66_gp30,FGG66_gp30,phi674_gp30,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
2052822,40236566,FGG66_gp31,FGG66_gp31,phi674_gp31,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
2052822,40236567,FGG66_gp32,FGG66_gp32,phi674_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236568,FGG66_gp33,FGG66_gp33,phi674_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236569,FGG66_gp34,FGG66_gp34,phi674_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236570,FGG66_gp35,FGG66_gp35,phi674_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236571,FGG66_gp36,FGG66_gp36,phi674_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236572,FGG66_gp37,FGG66_gp37,phi674_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236573,FGG66_gp38,FGG66_gp38,phi674_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236574,FGG66_gp39,FGG66_gp39,phi674_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236575,FGG66_gp40,FGG66_gp40,phi674_gp40,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
2052822,40236576,FGG66_gp41,FGG66_gp41,phi674_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236577,FGG66_gp42,FGG66_gp42,phi674_gp42,-,-,-,putative RepA-like protein,protein-coding,-,-,-,putative RepA-like protein,20201221,-
2052822,40236578,FGG66_gp43,FGG66_gp43,phi674_gp43,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
2052822,40236579,FGG66_gp44,FGG66_gp44,phi674_gp44,-,-,-,putative DNA polymerase I,protein-coding,-,-,-,putative DNA polymerase I,20201221,-
2052822,40236580,FGG66_gp45,FGG66_gp45,phi674_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236581,FGG66_gp46,FGG66_gp46,phi674_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236582,FGG66_gp47,FGG66_gp47,phi674_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236583,FGG66_gp48,FGG66_gp48,phi674_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236584,FGG66_gp49,FGG66_gp49,phi674_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236585,FGG66_gp50,FGG66_gp50,phi674_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236586,FGG66_gp51,FGG66_gp51,phi674_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236587,FGG66_gp52,FGG66_gp52,phi674_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236588,FGG66_gp53,FGG66_gp53,phi674_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236589,FGG66_gp54,FGG66_gp54,phi674_gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2052822,40236590,FGG66_gp01,FGG66_gp01,phi674_gp01,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
2052822,40340755,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
