#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
56641,44803841,rps3,HCT12_mgp52,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20200908,-
56641,44803842,trnT(tgt),HCT12_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803843,trnE(ttc),HCT12_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803844,trnM(cat),HCT12_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803845,trnM(cat),HCT12_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803846,trnG(acc),HCT12_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803847,trnL(taa),HCT12_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803848,trnG(tcc),HCT12_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803849,orf1668,HCT12_mgp51,-,-,MT,-,LV-uORF,protein-coding,-,-,-,LV-uORF,20200327,-
56641,44803850,trnA(tgc),HCT12_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803851,trnF(gaa),HCT12_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803852,trnK(ttt),HCT12_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803853,trnL(tag),HCT12_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803854,trnQ(ttg),HCT12_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803855,trnH(gtg),HCT12_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803856,trnI(tat),HCT12_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803857,nad2,HCT12_mgp50,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210129,-
56641,44803858,iorf425,HCT12_mgp49,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803859,iorf418,HCT12_mgp48,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803860,nad3,HCT12_mgp47,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210129,-
