#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445685,10329137,SSSM5_229,SSSM5_229,-,-,-,-,tryptophan halogenase,protein-coding,-,-,-,tryptophan halogenase,20200909,-
445685,10329138,gp33,SSSM5_228,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
445685,10329139,SSSM5_227,SSSM5_227,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200909,-
445685,10329140,phoH,SSSM5_226,-,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20200909,-
445685,10329141,SSSM5_225,SSSM5_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329142,td,SSSM5_224,-,-,-,-,Td thymidylate synthetase,protein-coding,-,-,-,Td thymidylate synthetase,20200909,-
445685,10329143,SSSM5_223,SSSM5_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329144,SSSM5_222,SSSM5_222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329145,SSSM5_221,SSSM5_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329146,SSSM5_220,SSSM5_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329147,SSSM5_219,SSSM5_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329148,nrdC,SSSM5_218,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200909,-
445685,10329149,SSSM5_217,SSSM5_217,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
445685,10329150,SSSM5_216,SSSM5_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329151,SSSM5_215,SSSM5_215,-,-,-,-,PA14 domain-containing protein,protein-coding,-,-,-,PA14 domain-containing protein,20200909,-
445685,10329152,SSSM5_214,SSSM5_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329153,psbD,SSSM5_213,-,-,-,-,photosystem II D2 protein,protein-coding,-,-,-,photosystem II D2 protein,20200909,-
445685,10329154,SSSM5_212,SSSM5_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329155,psbA,SSSM5_211,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20200909,-
445685,10329156,SSSM5_210,SSSM5_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329157,SSSM5_209,SSSM5_209,-,-,-,-,peptidase domain-containing protein,protein-coding,-,-,-,peptidase domain-containing protein,20200909,-
445685,10329158,SSSM5_208,SSSM5_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
