#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026814,55808042,HYP43_gp02,HYP43_gp02,LP8511_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2026814,55808043,HYP43_gp03,HYP43_gp03,LP8511_03,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200912,-
2026814,55808044,HYP43_gp04,HYP43_gp04,LP8511_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2026814,55808045,HYP43_gp05,HYP43_gp05,LP8511_05,-,-,-,protease,protein-coding,-,-,-,protease,20210424,-
2026814,55808046,HYP43_gp06,HYP43_gp06,LP8511_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2026814,55808047,HYP43_gp07,HYP43_gp07,LP8511_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808048,HYP43_gp08,HYP43_gp08,LP8511_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808049,HYP43_gp09,HYP43_gp09,LP8511_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808050,HYP43_gp10,HYP43_gp10,LP8511_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808051,HYP43_gp11,HYP43_gp11,LP8511_11,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210424,-
2026814,55808052,HYP43_gp12,HYP43_gp12,LP8511_13,-,-,-,major tail protein extension,protein-coding,-,-,-,major tail protein extension,20210424,-
2026814,55808053,HYP43_gp14,HYP43_gp14,LP8511_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808054,HYP43_gp13,HYP43_gp13,LP8511_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2026814,55808055,HYP43_gp15,HYP43_gp15,LP8511_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808056,HYP43_gp16,HYP43_gp16,LP8511_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2026814,55808057,HYP43_gp17,HYP43_gp17,LP8511_17,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210424,-
2026814,55808058,HYP43_gp18,HYP43_gp18,LP8511_18,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210424,-
2026814,55808059,HYP43_gp19,HYP43_gp19,LP8511_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808060,HYP43_gp20,HYP43_gp20,LP8511_20,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210424,-
2026814,55808061,HYP43_gp21,HYP43_gp21,LP8511_21,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2026814,55808062,HYP43_gp22,HYP43_gp22,LP8511_22,-,-,-,lysin,protein-coding,-,-,-,lysin,20210424,-
2026814,55808063,HYP43_gp23,HYP43_gp23,LP8511_23,-,-,-,putative transglycosylase,protein-coding,-,-,-,putative transglycosylase,20200704,-
2026814,55808064,HYP43_gp24,HYP43_gp24,LP8511_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808065,HYP43_gp25,HYP43_gp25,LP8511_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808066,HYP43_gp26,HYP43_gp26,LP8511_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808067,HYP43_gp27,HYP43_gp27,LP8511_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808068,HYP43_gp28,HYP43_gp28,LP8511_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808069,HYP43_gp29,HYP43_gp29,LP8511_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
