#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094326,33352382,ND4L,CGU66_mgp11,-,-,mt|MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
1094326,33352383,CGU66_mgt03,CGU66_mgt03,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352384,ATP6,CGU66_mgp09,-,-,mt|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
1094326,33352385,CGU66_mgt08,CGU66_mgt08,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352386,CGU66_mgt11,CGU66_mgt11,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352387,CGU66_mgt15,CGU66_mgt15,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352388,CGU66_mgt16,CGU66_mgt16,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352389,COX1,CGU66_mgp04,-,-,mt|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
1094326,33352390,CGU66_mgt17,CGU66_mgt17,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352391,CGU66_mgt21,CGU66_mgt21,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352392,ND5,CGU66_mgp01,-,-,mt|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
1094326,33352393,CGU66_mgt22,CGU66_mgt22,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352394,CGU66_mgt01,CGU66_mgt01,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352395,CGU66_mgt02,CGU66_mgt02,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352396,ND6,CGU66_mgp12,-,-,mt|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
1094326,33352397,CGU66_mgt04,CGU66_mgt04,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352398,CGU66_mgr02,CGU66_mgr02,-,-,mt|MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094326,33352399,CGU66_mgt05,CGU66_mgt05,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352400,CGU66_mgt06,CGU66_mgt06,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352401,CGU66_mgt07,CGU66_mgt07,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352402,ND1,CGU66_mgp10,-,-,mt|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
1094326,33352403,CGU66_mgt09,CGU66_mgt09,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352404,CGU66_mgt10,CGU66_mgt10,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352405,ND2,CGU66_mgp08,-,-,mt|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
1094326,33352406,CGU66_mgt12,CGU66_mgt12,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352407,CGU66_mgt13,CGU66_mgt13,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352408,CGU66_mgt14,CGU66_mgt14,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352409,CYTB,CGU66_mgp07,-,-,mt|MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
1094326,33352410,COX3,CGU66_mgp06,-,-,mt|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
1094326,33352411,ND4,CGU66_mgp05,-,-,mt|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
1094326,33352412,CGU66_mgt18,CGU66_mgt18,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352413,CGU66_mgt19,CGU66_mgt19,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352414,CGU66_mgt20,CGU66_mgt20,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094326,33352415,COX2,CGU66_mgp03,-,-,mt|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
1094326,33352416,CGU66_mgr01,CGU66_mgr01,-,-,mt|MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094326,33352417,ND3,CGU66_mgp02,-,-,mt|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
