#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2510525,64470899,2,KGG75_gp02,SEA_JANUS_2,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210505,-
2510525,64470900,3,KGG75_gp03,SEA_JANUS_3,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2510525,64470901,4,KGG75_gp04,SEA_JANUS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470902,5,KGG75_gp05,SEA_JANUS_5,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210505,-
2510525,64470903,6,KGG75_gp06,SEA_JANUS_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470904,7,KGG75_gp07,SEA_JANUS_7,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210505,-
2510525,64470905,8,KGG75_gp08,SEA_JANUS_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210505,-
2510525,64470906,9,KGG75_gp09,SEA_JANUS_9,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210505,-
2510525,64470907,10,KGG75_gp10,SEA_JANUS_10,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210505,-
2510525,64470908,11,KGG75_gp11,SEA_JANUS_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2510525,64470909,12,KGG75_gp12,SEA_JANUS_12,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210505,-
2510525,64470910,13,KGG75_gp13,SEA_JANUS_13,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210505,-
2510525,64470911,14,KGG75_gp14,SEA_JANUS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470912,15,KGG75_gp15,SEA_JANUS_15,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210505,-
2510525,64470913,16,KGG75_gp16,SEA_JANUS_16,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2510525,64470914,18,KGG75_gp17,SEA_JANUS_18,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2510525,64470915,19,KGG75_gp19,SEA_JANUS_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210505,-
2510525,64470916,17,KGG75_gp18,SEA_JANUS_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2510525,64470917,20,KGG75_gp20,SEA_JANUS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2510525,64470918,21,KGG75_gp21,SEA_JANUS_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2510525,64470919,22,KGG75_gp22,SEA_JANUS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470920,23,KGG75_gp23,SEA_JANUS_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
