#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059858,65068467,KMC62_gp02,KMC62_gp02,HSA84_gp002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2059858,65068468,KMC62_gp03,KMC62_gp03,HSA84_gp003,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2059858,65068469,KMC62_gp04,KMC62_gp04,HSA84_gp004,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210607,-
2059858,65068470,KMC62_gp05,KMC62_gp05,HSA84_gp005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068471,KMC62_gp06,KMC62_gp06,HSA84_gp006,-,-,-,capsid/scaffold protein,protein-coding,-,-,-,capsid/scaffold protein,20210612,-
2059858,65068472,KMC62_gp07,KMC62_gp07,HSA84_gp007,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2059858,65068473,KMC62_gp08,KMC62_gp08,HSA84_gp008,-,-,-,transcriptional terminator,protein-coding,-,-,-,transcriptional terminator,20210607,-
2059858,65068474,KMC62_gp09,KMC62_gp09,HSA84_gp009,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210612,-
2059858,65068475,KMC62_gp10,KMC62_gp10,HSA84_gp010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068476,KMC62_gp11,KMC62_gp11,HSA84_gp011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068477,KMC62_gp12,KMC62_gp12,HSA84_gp012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068478,KMC62_gp13,KMC62_gp13,HSA84_gp013,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210612,-
2059858,65068479,KMC62_gp14,KMC62_gp14,HSA84_gp014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068480,KMC62_gp15,KMC62_gp15,HSA84_gp015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068481,KMC62_gp16,KMC62_gp16,HSA84_gp016,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210607,-
2059858,65068482,KMC62_gp17,KMC62_gp17,HSA84_gp017,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2059858,65068483,KMC62_gp18,KMC62_gp18,HSA84_gp018,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210607,-
2059858,65068484,KMC62_gp19,KMC62_gp19,HSA84_gp019,-,-,-,putative major teichoic acid biosynthesis protein C,protein-coding,-,-,-,putative major teichoic acid biosynthesis protein C,20210607,-
2059858,65068485,KMC62_gp20,KMC62_gp20,HSA84_gp020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068486,KMC62_gp21,KMC62_gp21,HSA84_gp021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068487,KMC62_gp22,KMC62_gp22,HSA84_gp022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2059858,65068488,KMC62_gp23,KMC62_gp23,HSA84_gp023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068489,KMC62_gp24,KMC62_gp24,HSA84_gp024,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210607,-
2059858,65068490,KMC62_gp25,KMC62_gp25,HSA84_gp025,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
2059858,65068491,KMC62_gp26,KMC62_gp26,HSA84_gp026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068492,KMC62_gp27,KMC62_gp27,HSA84_gp027,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2059858,65068493,KMC62_gp28,KMC62_gp28,HSA84_gp028,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210607,-
2059858,65068494,KMC62_gp29,KMC62_gp29,HSA84_gp029,-,-,-,DNA invertase,protein-coding,-,-,-,DNA invertase,20210607,-
2059858,65068495,KMC62_gp30,KMC62_gp30,HSA84_gp030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068496,KMC62_gp31,KMC62_gp31,HSA84_gp031,-,-,-,CI-like repressor,protein-coding,-,-,-,CI-like repressor,20210612,-
2059858,65068497,KMC62_gp32,KMC62_gp32,HSA84_gp032,-,-,-,Cro-like repressor,protein-coding,-,-,-,Cro-like repressor,20210612,-
2059858,65068498,KMC62_gp33,KMC62_gp33,HSA84_gp033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068499,KMC62_gp34,KMC62_gp34,HSA84_gp034,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20210607,-
2059858,65068500,KMC62_gp35,KMC62_gp35,HSA84_gp035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068501,KMC62_gp36,KMC62_gp36,HSA84_gp036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068502,KMC62_gp37,KMC62_gp37,HSA84_gp037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068503,KMC62_gp38,KMC62_gp38,HSA84_gp038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068504,KMC62_gp39,KMC62_gp39,HSA84_gp039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068505,KMC62_gp40,KMC62_gp40,HSA84_gp040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068506,KMC62_gp41,KMC62_gp41,HSA84_gp041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068507,KMC62_gp42,KMC62_gp42,HSA84_gp042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068508,KMC62_gp43,KMC62_gp43,HSA84_gp043,-,-,-,DNA repair protein,protein-coding,-,-,-,DNA repair protein,20210607,-
2059858,65068509,KMC62_gp44,KMC62_gp44,HSA84_gp044,-,-,-,recombinational DNA repair protein,protein-coding,-,-,-,recombinational DNA repair protein,20210607,-
2059858,65068510,KMC62_gp45,KMC62_gp45,HSA84_gp045,-,-,-,metallo-beta-lactamase superfamily domain-containing protein,protein-coding,-,-,-,metallo-beta-lactamase superfamily domain-containing protein,20210607,-
2059858,65068511,KMC62_gp46,KMC62_gp46,HSA84_gp046,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210607,-
2059858,65068512,KMC62_gp47,KMC62_gp47,HSA84_gp047,-,-,-,replication initiation protein,protein-coding,-,-,-,replication initiation protein,20210607,-
2059858,65068513,KMC62_gp48,KMC62_gp48,HSA84_gp048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068514,KMC62_gp49,KMC62_gp49,HSA84_gp049,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210607,-
2059858,65068515,KMC62_gp50,KMC62_gp50,HSA84_gp050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068516,KMC62_gp51,KMC62_gp51,HSA84_gp051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068517,KMC62_gp52,KMC62_gp52,HSA84_gp052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068518,KMC62_gp53,KMC62_gp53,HSA84_gp053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068519,KMC62_gp54,KMC62_gp54,HSA84_gp054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068520,KMC62_gp55,KMC62_gp55,HSA84_gp055,-,-,-,dimeric dUTPase,protein-coding,-,-,-,dimeric dUTPase,20210609,-
2059858,65068521,KMC62_gp56,KMC62_gp56,HSA84_gp056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068522,KMC62_gp57,KMC62_gp57,HSA84_gp057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068523,KMC62_gp58,KMC62_gp58,HSA84_gp058,-,-,-,transcriptional activator,protein-coding,-,-,-,transcriptional activator,20210607,-
2059858,65068524,KMC62_gp59,KMC62_gp59,HSA84_gp059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2059858,65068525,KMC62_gp60,KMC62_gp60,HSA84_gp060,-,-,-,integrase regulator,protein-coding,-,-,-,integrase regulator,20210607,-
2059858,65068526,KMC62_gp01,KMC62_gp01,HSA84_gp001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210612,-
2059858,65242681,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
