#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887648,29056449,2,BIZ71_gp02,SEA_HEDWIG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1887648,29056450,3,BIZ71_gp03,SEA_HEDWIG_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1887648,29056451,4,BIZ71_gp04,SEA_HEDWIG_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056452,5,BIZ71_gp05,SEA_HEDWIG_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1887648,29056453,6,BIZ71_gp06,SEA_HEDWIG_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1887648,29056454,7,BIZ71_gp07,SEA_HEDWIG_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1887648,29056455,8,BIZ71_gp08,SEA_HEDWIG_8,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200927,-
1887648,29056456,9,BIZ71_gp09,SEA_HEDWIG_9,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200927,-
1887648,29056457,10,BIZ71_gp10,SEA_HEDWIG_10,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200927,-
1887648,29056458,11,BIZ71_gp11,SEA_HEDWIG_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056459,12,BIZ71_gp12,SEA_HEDWIG_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056460,13,BIZ71_gp13,SEA_HEDWIG_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1887648,29056461,14,BIZ71_gp14,SEA_HEDWIG_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056462,15,BIZ71_gp15,SEA_HEDWIG_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1887648,29056463,16,BIZ71_gp16,SEA_HEDWIG_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1887648,29056464,17,BIZ71_gp17,SEA_HEDWIG_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056465,18,BIZ71_gp18,SEA_HEDWIG_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1887648,29056466,19,BIZ71_gp19,SEA_HEDWIG_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1887648,29056467,20,BIZ71_gp20,SEA_HEDWIG_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
