#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647309,26625175,2,AVT46_gp02,SEA_MOORETHEMARYER_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210208,-
1647309,26625176,3,AVT46_gp03,SEA_MOORETHEMARYER_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210208,-
1647309,26625177,4,AVT46_gp04,SEA_MOORETHEMARYER_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625178,5,AVT46_gp05,SEA_MOORETHEMARYER_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625179,6,AVT46_gp06,SEA_MOORETHEMARYER_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210208,-
1647309,26625180,7,AVT46_gp07,SEA_MOORETHEMARYER_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210208,-
1647309,26625181,8,AVT46_gp08,SEA_MOORETHEMARYER_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625182,9,AVT46_gp09,SEA_MOORETHEMARYER_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625183,10,AVT46_gp10,SEA_MOORETHEMARYER_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210208,-
1647309,26625184,11,AVT46_gp11,SEA_MOORETHEMARYER_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625185,12,AVT46_gp12,SEA_MOORETHEMARYER_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210208,-
1647309,26625186,13,AVT46_gp13,SEA_MOORETHEMARYER_13,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20210208,-
1647309,26625187,15,AVT46_gp14,SEA_MOORETHEMARYER_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210208,-
1647309,26625188,16,AVT46_gp16,SEA_MOORETHEMARYER_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210208,-
1647309,26625189,14,AVT46_gp15,SEA_MOORETHEMARYER_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210208,-
1647309,26625190,17,AVT46_gp17,SEA_MOORETHEMARYER_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647309,26625191,18,AVT46_gp18,SEA_MOORETHEMARYER_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647309,26625192,19,AVT46_gp19,SEA_MOORETHEMARYER_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625193,20,AVT46_gp20,SEA_MOORETHEMARYER_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647309,26625194,21,AVT46_gp21,SEA_MOORETHEMARYER_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647309,26625195,22,AVT46_gp22,SEA_MOORETHEMARYER_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625196,23,AVT46_gp23,SEA_MOORETHEMARYER_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647309,26625197,24,AVT46_gp24,SEA_MOORETHEMARYER_24,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20210208,-
1647309,26625198,25,AVT46_gp25,SEA_MOORETHEMARYER_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625199,26,AVT46_gp26,SEA_MOORETHEMARYER_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625200,27,AVT46_gp27,SEA_MOORETHEMARYER_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625201,28,AVT46_gp28,SEA_MOORETHEMARYER_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210208,-
1647309,26625202,29,AVT46_gp29,SEA_MOORETHEMARYER_29,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210208,-
1647309,26625203,30,AVT46_gp30,SEA_MOORETHEMARYER_30,-,-,-,holin,protein-coding,-,-,-,holin,20210208,-
1647309,26625204,31,AVT46_gp31,SEA_MOORETHEMARYER_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625205,32,AVT46_gp32,SEA_MOORETHEMARYER_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625206,33,AVT46_gp33,SEA_MOORETHEMARYER_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625207,34,AVT46_gp34,SEA_MOORETHEMARYER_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625208,35,AVT46_gp35,SEA_MOORETHEMARYER_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625209,36,AVT46_gp36,SEA_MOORETHEMARYER_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625210,37,AVT46_gp37,SEA_MOORETHEMARYER_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625211,38,AVT46_gp38,SEA_MOORETHEMARYER_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625212,39,AVT46_gp39,SEA_MOORETHEMARYER_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625213,40,AVT46_gp40,SEA_MOORETHEMARYER_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625214,41,AVT46_gp41,SEA_MOORETHEMARYER_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625215,42,AVT46_gp42,SEA_MOORETHEMARYER_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625216,43,AVT46_gp43,SEA_MOORETHEMARYER_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625217,44,AVT46_gp44,SEA_MOORETHEMARYER_44,-,-,-,RecE,protein-coding,-,-,-,RecE,20210208,-
1647309,26625218,45,AVT46_gp45,SEA_MOORETHEMARYER_45,-,-,-,RecT,protein-coding,-,-,-,RecT,20210208,-
1647309,26625219,46,AVT46_gp46,SEA_MOORETHEMARYER_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625220,47,AVT46_gp47,SEA_MOORETHEMARYER_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625221,48,AVT46_gp48,SEA_MOORETHEMARYER_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
