#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2793696,65132652,2,KNV70_gp02,SEA_BLINO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2793696,65132653,3,KNV70_gp03,SEA_BLINO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210609,-
2793696,65132654,4,KNV70_gp04,SEA_BLINO_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210608,-
2793696,65132655,5,KNV70_gp05,SEA_BLINO_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210608,-
2793696,65132656,6,KNV70_gp06,SEA_BLINO_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2793696,65132657,7,KNV70_gp07,SEA_BLINO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2793696,65132658,8,KNV70_gp08,SEA_BLINO_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2793696,65132659,9,KNV70_gp09,SEA_BLINO_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210608,-
2793696,65132660,10,KNV70_gp10,SEA_BLINO_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132661,11,KNV70_gp11,SEA_BLINO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132662,12,KNV70_gp12,SEA_BLINO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132663,13,KNV70_gp13,SEA_BLINO_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210608,-
2793696,65132664,14,KNV70_gp14,SEA_BLINO_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2793696,65132665,16,KNV70_gp15,SEA_BLINO_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
